index,Retrieval Time (ms),Size (Bytes)
0,161.0296,4096
35,142.7911,4096
70,142.4638,4096
77,41.5202,4096
84,40.3534,4096
91,31.0201,4096
98,86.2282,4096
105,143.7731,4096
112,35.1239,4096
119,35.7453,4096
126,80.8555,4096
133,40.1464,4096
147,83.5974,4096
161,51.7427,4096
168,62.8781,4096
196,61.591,4096
203,64.1605,4096
210,142.0376,4096
71,138.8961,16384
78,33.0992,16384
85,39.4664,16384
92,30.1124,16384
106,88.7324,16384
120,35.3661,16384
127,71.0689,16384
134,28.6618,16384
141,39.0448,16384
148,112.3433,16384
190,36.7048,16384
197,193.2429,16384
204,76.2101,16384
232,243.8767,16384
72,2523.6532,65536
79,53.0021,65536
86,54.8242,65536
93,1314.9561,65536
107,1265.2388,65536
128,1281.4258,65536
135,38.1693,65536
142,655.6153,65536
149,66.6455,65536
156,49.2698,65536
163,2630.4978,65536
177,1355.8658,65536
191,45.897,65536
198,142.759,65536
233,51.8023,65536
73,1415.2147,262144
80,67.3846,262144
87,67.292,262144
94,341.1973,262144
108,1459.2499,262144
115,75.547,262144
122,76.4368,262144
129,1199.8973,262144
143,1497.0385,262144
157,62.0891,262144
164,114.456,262144
171,1221.945,262144
178,1949.4183,262144
185,378.0565,262144
199,168.8175,262144
234,771.2161,262144
74,1772.9316,1048576
81,2025.5174,1048576
88,63.9685,1048576
95,331.9764,1048576
102,105.8237,1048576
109,1494.0862,1048576
116,74.9052,1048576
123,109.7598,1048576
130,1513.312,1048576
137,4240.3893,1048576
144,1823.292,1048576
151,103.5202,1048576
158,70.5371,1048576
165,343.4512,1048576
172,1226.0796,1048576
179,1742.0104,1048576
186,3080.2078,1048576
193,2836.115,1048576
200,151.394,1048576
235,1503.1744,1048576
75,194.9397,4194304
82,110.5496,4194304
89,135.6991,4194304
96,420.777,4194304
103,144.1801,4194304
110,690.612,4194304
117,150.0645,4194304
124,2956.856,4194304
131,1197.1148,4194304
138,105.3602,4194304
145,1882.4852,4194304
152,1551.2343,4194304
159,147.2089,4194304
173,1526.2381,4194304
180,2082.6262,4194304
187,415.6954,4194304
194,107.383,4194304
201,305.6589,4194304
236,1465.9635,4194304
76,422.5995,16777216
83,432.057,16777216
90,334.1909,16777216
97,1275.2588,16777216
104,2679.362,16777216
111,2393.7531,16777216
118,440.3468,16777216
125,389.0332,16777216
132,1564.8617,16777216
146,2327.4882,16777216
153,360.9046,16777216
160,500.7485,16777216
167,482.4576,16777216
174,1383.3896,16777216
181,2631.8863,16777216
188,917.0415,16777216
202,1172.836,16777216
237,1939.2442,16777216
