index,Retrieval Time (ms),Size (Bytes)
0,144.3139,4096
7,38.0006,4096
28,50.7323,4096
35,140.7087,4096
56,33.9452,4096
70,142.2284,4096
77,38.9322,4096
98,55.0355,4096
105,147.7175,4096
112,35.9067,4096
119,38.3865,4096
140,144.2034,4096
147,37.0314,4096
154,44.1466,4096
175,147.106,4096
196,33.7944,4096
210,161.4863,4096
22,149.4256,16384
36,141.9872,16384
71,140.1584,16384
78,34.8208,16384
85,37.3098,16384
92,40.7994,16384
106,111.6039,16384
127,43.915,16384
134,53.136,16384
141,142.1915,16384
148,97.3787,16384
162,33.7279,16384
176,151.2017,16384
190,41.452,16384
197,31.7616,16384
211,104.728,16384
23,2991.2379,65536
44,215.1955,65536
72,2555.1207,65536
79,54.8712,65536
86,47.2026,65536
93,57.8496,65536
107,1294.8098,65536
114,290.5741,65536
121,57.0393,65536
135,58.8515,65536
142,1508.5792,65536
149,36.4039,65536
163,1265.211,65536
170,1425.0401,65536
177,2270.4018,65536
24,307.5803,262144
45,278.8493,262144
73,1418.0067,262144
87,71.0842,262144
94,73.7173,262144
101,107.4231,262144
108,1552.3809,262144
115,1474.1928,262144
122,345.9198,262144
129,80.1638,262144
136,4018.4187,262144
143,1657.0821,262144
150,3059.2409,262144
164,64.8061,262144
171,1355.9383,262144
178,1724.5023,262144
192,70.7337,262144
199,42.8294,262144
25,3168.0325,1048576
46,306.1237,1048576
60,319.0434,1048576
74,1833.2181,1048576
81,1796.4988,1048576
88,68.9719,1048576
95,3095.7622,1048576
109,1398.1217,1048576
116,2589.1017,1048576
123,337.1588,1048576
130,80.9252,1048576
137,110.7054,1048576
144,1651.4809,1048576
151,324.8953,1048576
165,78.209,1048576
172,1380.8505,1048576
179,1896.5066,1048576
186,100.9343,1048576
193,104.0742,1048576
200,56.5571,1048576
12,848.3763,4194304
19,2177.3341,4194304
26,468.2266,4194304
47,409.7824,4194304
75,806.9758,4194304
96,130.2075,4194304
103,155.6867,4194304
110,684.3112,4194304
117,481.4125,4194304
124,433.2988,4194304
131,125.1378,4194304
138,3626.792,4194304
145,1912.4121,4194304
152,410.2008,4194304
166,133.179,4194304
173,1550.0292,4194304
180,1919.1074,4194304
187,105.0597,4194304
194,99.6536,4194304
201,138.6716,4194304
13,1392.4431,16777216
20,3140.5929,16777216
48,952.2134,16777216
62,1042.636,16777216
76,2653.033,16777216
90,373.2841,16777216
97,3521.819,16777216
104,588.4926,16777216
111,2341.7762,16777216
118,3066.854,16777216
125,944.7471,16777216
132,377.7762,16777216
139,463.8066,16777216
146,2341.28,16777216
153,950.9697,16777216
167,478.5752,16777216
174,1700.3476,16777216
181,3371.9091,16777216
188,491.052,16777216
195,297.5038,16777216
202,448.4121,16777216
