Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 22:05:37,3078.7536,4107,string,4096
Sun Jun 11 2023 22:05:37,164.0561,16398,string,16384
Sun Jun 11 2023 22:05:40,3274.2038,65550,string,65536
Sun Jun 11 2023 22:05:40,313.9558,262158,string,262144
Sun Jun 11 2023 22:05:44,3388.6618,1048832,string,1048576
Sun Jun 11 2023 22:05:44,494.2413,4195305,string,4194304
Sun Jun 11 2023 22:05:50,5302.1775,16781194,string,16777216
Sun Jun 11 2023 22:15:33,1817.9503,4107,string,4096
Sun Jun 11 2023 22:15:38,5038.2589,16398,string,16384
-,-,-
Sun Jun 11 2023 22:17:03,5293.0916,262158,string,262144
-,-,-
Sun Jun 11 2023 22:18:26,2185.6172,4195305,string,4194304
Sun Jun 11 2023 22:18:29,3002.5892,16781194,string,16777216
Sun Jun 11 2023 22:25:31,3732.2852,4107,string,4096
Sun Jun 11 2023 22:25:31,137.7984,16398,string,16384
Sun Jun 11 2023 22:25:34,2965.4071,65550,string,65536
Sun Jun 11 2023 22:25:35,261.8682,262158,string,262144
Sun Jun 11 2023 22:25:38,3234.9441,1048832,string,1048576
Sun Jun 11 2023 22:25:38,412.9475,4195305,string,4194304
Sun Jun 11 2023 22:25:46,7446.7617,16781194,string,16777216
Sun Jun 11 2023 22:35:25,173.7355,4107,string,4096
Sun Jun 11 2023 22:35:32,6866.9728,16398,string,16384
Sun Jun 11 2023 22:35:32,244.1276,65550,string,65536
Sun Jun 11 2023 22:35:37,4627.3122,262158,string,262144
Sun Jun 11 2023 22:35:37,385.4188,1048832,string,1048576
Sun Jun 11 2023 22:35:42,4810.4542,4195305,string,4194304
Sun Jun 11 2023 22:35:44,1186.4038,16781194,string,16777216
Sun Jun 11 2023 22:45:25,3629.5930,4107,string,4096
Sun Jun 11 2023 22:45:25,170.4041,16398,string,16384
Sun Jun 11 2023 22:45:28,3264.7562,65550,string,65536
Sun Jun 11 2023 22:45:28,305.0549,262158,string,262144
Sun Jun 11 2023 22:45:32,3479.1261,1048832,string,1048576
Sun Jun 11 2023 22:45:32,487.1200,4195305,string,4194304
Sun Jun 11 2023 22:45:39,6350.8308,16781194,string,16777216
Sun Jun 11 2023 23:04:03,1551.0897,4107,string,4096
Sun Jun 11 2023 23:04:05,1402.5652,16398,string,16384
Sun Jun 11 2023 23:04:07,1802.8102,65550,string,65536
Sun Jun 11 2023 23:04:08,1707.0900,262158,string,262144
Sun Jun 11 2023 23:04:10,1830.7452,1048832,string,1048576
