Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 20:56:21,140.3394,4107,string,4096
-,-,-
Sun Jun 11 2023 20:58:00,19047.5651,65550,string,65536
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 21:05:34,34.8323,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 21:25:31,3777.9701,4107,string,4096
Sun Jun 11 2023 21:25:32,139.1849,16398,string,16384
Sun Jun 11 2023 21:25:35,3030.6891,65550,string,65536
Sun Jun 11 2023 21:25:35,348.9304,262158,string,262144
Sun Jun 11 2023 21:25:38,3151.0479,1048832,string,1048576
Sun Jun 11 2023 21:25:39,416.4944,4195305,string,4194304
Sun Jun 11 2023 21:25:46,7338.9650,16781194,string,16777216
Sun Jun 11 2023 21:35:25,215.7957,4107,string,4096
Sun Jun 11 2023 21:35:32,6877.4112,16398,string,16384
Sun Jun 11 2023 21:35:32,248.0006,65550,string,65536
Sun Jun 11 2023 21:35:37,4617.7677,262158,string,262144
Sun Jun 11 2023 21:35:37,351.5647,1048832,string,1048576
Sun Jun 11 2023 21:35:42,4824.3743,4195305,string,4194304
Sun Jun 11 2023 21:35:44,1147.8619,16781194,string,16777216
Sun Jun 11 2023 21:45:25,3676.7609,4107,string,4096
Sun Jun 11 2023 21:45:25,195.0056,16398,string,16384
Sun Jun 11 2023 21:45:28,3282.8311,65550,string,65536
Sun Jun 11 2023 21:45:28,310.8188,262158,string,262144
Sun Jun 11 2023 21:45:32,3451.5896,1048832,string,1048576
Sun Jun 11 2023 21:45:32,470.8884,4195305,string,4194304
Sun Jun 11 2023 21:45:39,6348.3799,16781194,string,16777216
Sun Jun 11 2023 21:55:27,139.5244,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Thu Jun 15 2023 23:59:13,144.6623,4107,string,4096
-,-,-
Fri Jun 16 2023 00:00:33,45.4667,65550,string,65536
Fri Jun 16 2023 00:00:33,56.0840,262158,string,262144
Fri Jun 16 2023 00:00:33,81.6303,1048832,string,1048576
Fri Jun 16 2023 00:00:33,200.9738,4195305,string,4194304
Fri Jun 16 2023 00:00:34,480.1872,16781194,string,16777216
-,-,-
Fri Jun 16 2023 00:12:24,39.6768,16398,string,16384
