index,Retrieval Time (ms),Size (Bytes)
0,1493.2776,4096
7,5303.7438,4096
14,1275.5834,4096
21,5407.6436,4096
28,1817.8016,4096
42,174.2003,4096
49,223.0396,4096
56,147.5599,4096
63,216.6974,4096
70,200.0256,4096
77,197.1011,4096
84,293.5567,4096
91,254.0181,4096
98,202.5033,4096
105,202.2048,4096
112,5108.5128,4096
119,1782.0534,4096
126,2207.1338,4096
1,1385.6874,16384
8,155.1396,16384
15,1721.1465,16384
22,170.0595,16384
29,1516.6426,16384
43,162.6601,16384
50,3505.89,16384
57,147.4583,16384
64,175.0922,16384
71,4955.4295,16384
78,4808.2155,16384
85,1404.7911,16384
106,164.5173,16384
120,515.9515,16384
127,2088.2146,16384
134,182.8348,16384
2,1776.0225,65536
9,244.8678,65536
16,1619.7705,65536
23,4266.7602,65536
30,1666.931,65536
44,266.254,65536
51,266.6026,65536
58,3561.7639,65536
65,232.0171,65536
72,232.7193,65536
79,202.8578,65536
86,4034.5836,65536
114,3067.5097,65536
121,1702.6883,65536
128,1423.9586,65536
135,263.2249,65536
3,1807.8653,262144
10,283.9813,262144
17,1688.5398,262144
24,313.846,262144
31,1788.8388,262144
38,3658.5467,262144
45,308.9845,262144
52,3173.7058,262144
59,279.7158,262144
66,375.6274,262144
73,4414.4665,262144
80,4535.8408,262144
87,286.8516,262144
94,2186.3248,262144
108,333.4991,262144
115,243.82,262144
122,307.7461,262144
129,1541.781,262144
136,380.4543,262144
4,2249.7731,1048576
11,2661.0092,1048576
18,1925.6405,1048576
25,4797.458,1048576
32,657.649,1048576
39,371.5549,1048576
46,2754.4474,1048576
53,387.2726,1048576
60,3186.2437,1048576
67,379.299,1048576
74,813.2554,1048576
81,333.8098,1048576
88,3298.817,1048576
95,2061.6607,1048576
116,2880.5115,1048576
123,2044.201,1048576
130,2055.4313,1048576
137,3254.7975,1048576
5,2100.7409,4194304
12,560.1241,4194304
19,1422.1558,4194304
26,509.9733,4194304
33,2273.6565,4194304
40,3528.1182,4194304
47,2832.8774,4194304
54,4901.5706,4194304
61,421.3617,4194304
68,7154.5204,4194304
75,5015.0618,4194304
82,3788.3348,4194304
89,469.8766,4194304
96,14949.5801,4194304
103,2164.2668,4194304
110,2754.6353,4194304
117,410.5575,4194304
124,541.8634,4194304
131,2395.7259,4194304
138,526.2111,4194304
6,3089.5549,16777216
13,3988.9798,16777216
20,2729.1499,16777216
27,5696.6691,16777216
34,3179.8535,16777216
41,1257.4124,16777216
48,1447.0155,16777216
55,1460.9455,16777216
62,4143.2788,16777216
69,1521.357,16777216
76,1694.7069,16777216
83,1209.3717,16777216
90,4976.2623,16777216
104,3221.0675,16777216
111,1262.027,16777216
118,3957.8006,16777216
125,3042.9065,16777216
132,2856.2239,16777216
