index,Retrieval Time (ms),Size (Bytes)
0,155.1484,4096
35,161.766,4096
56,45.8938,4096
63,50.7102,4096
70,1369.5338,4096
77,33.9315,4096
84,49.7724,4096
91,1302.3065,4096
98,292.8839,4096
105,151.6321,4096
112,44.7603,4096
1,155.3925,16384
36,159.3245,16384
71,1649.3613,16384
92,30.6984,16384
106,1377.5702,16384
37,1303.1826,65536
72,1738.1582,65536
79,3933.9688,65536
86,63.7139,65536
93,41.0437,65536
38,1850.8941,262144
73,1543.2629,262144
80,92.1853,262144
87,93.398,262144
94,1525.8008,262144
39,1237.8071,1048576
74,1785.7814,1048576
81,4065.6565,1048576
88,3064.5631,1048576
95,1200.5595,1048576
40,2034.4224,4194304
75,2335.7939,4194304
82,381.0636,4194304
89,344.311,4194304
96,1715.6235,4194304
41,1364.1309,16777216
76,3006.8361,16777216
83,4592.4332,16777216
97,1801.9613,16777216
