Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 12 2023 00:03:12,1493.2776,4107,string,4096
Mon Jun 12 2023 00:03:13,1385.6874,16398,string,16384
Mon Jun 12 2023 00:03:15,1776.0225,65550,string,65536
Mon Jun 12 2023 00:03:17,1807.8653,262158,string,262144
Mon Jun 12 2023 00:03:19,2249.7731,1048832,string,1048576
Mon Jun 12 2023 00:03:21,2100.7409,4195305,string,4194304
Mon Jun 12 2023 00:03:25,3089.5549,16781194,string,16777216
Mon Jun 12 2023 00:12:35,5303.7438,4107,string,4096
Mon Jun 12 2023 00:12:36,155.1396,16398,string,16384
Mon Jun 12 2023 00:13:16,244.8678,65550,string,65536
Mon Jun 12 2023 00:13:16,283.9813,262158,string,262144
Mon Jun 12 2023 00:13:19,2661.0092,1048832,string,1048576
Mon Jun 12 2023 00:13:20,560.1241,4195305,string,4194304
Mon Jun 12 2023 00:13:24,3988.9798,16781194,string,16777216
Mon Jun 12 2023 00:22:30,1275.5834,4107,string,4096
Mon Jun 12 2023 00:22:32,1721.1465,16398,string,16384
Mon Jun 12 2023 00:22:34,1619.7705,65550,string,65536
Mon Jun 12 2023 00:22:35,1688.5398,262158,string,262144
Mon Jun 12 2023 00:22:37,1925.6405,1048832,string,1048576
Mon Jun 12 2023 00:22:39,1422.1558,4195305,string,4194304
Mon Jun 12 2023 00:22:42,2729.1499,16781194,string,16777216
Mon Jun 12 2023 00:32:34,5407.6436,4107,string,4096
Mon Jun 12 2023 00:32:34,170.0595,16398,string,16384
Mon Jun 12 2023 00:32:39,4266.7602,65550,string,65536
Mon Jun 12 2023 00:32:39,313.8460,262158,string,262144
Mon Jun 12 2023 00:32:44,4797.4580,1048832,string,1048576
Mon Jun 12 2023 00:32:44,509.9733,4195305,string,4194304
Mon Jun 12 2023 00:32:50,5696.6691,16781194,string,16777216
Mon Jun 12 2023 00:42:27,1817.8016,4107,string,4096
Mon Jun 12 2023 00:42:29,1516.6426,16398,string,16384
Mon Jun 12 2023 00:42:31,1666.9310,65550,string,65536
Mon Jun 12 2023 00:42:33,1788.8388,262158,string,262144
Mon Jun 12 2023 00:42:33,657.6490,1048832,string,1048576
Mon Jun 12 2023 00:42:36,2273.6565,4195305,string,4194304
Mon Jun 12 2023 00:42:39,3179.8535,16781194,string,16777216
-,-,-
-,-,-
-,-,-
Tue Jun 13 2023 00:16:01,3658.5467,262158,string,262144
Tue Jun 13 2023 00:16:02,371.5549,1048832,string,1048576
Tue Jun 13 2023 00:16:05,3528.1182,4195305,string,4194304
Tue Jun 13 2023 00:16:07,1257.4124,16781194,string,16777216
Tue Jun 13 2023 00:22:36,174.2003,4107,string,4096
Tue Jun 13 2023 00:22:37,162.6601,16398,string,16384
Tue Jun 13 2023 00:23:17,266.2540,65550,string,65536
Tue Jun 13 2023 00:23:17,308.9845,262158,string,262144
Tue Jun 13 2023 00:23:20,2754.4474,1048832,string,1048576
Tue Jun 13 2023 00:24:03,2832.8774,4195305,string,4194304
Tue Jun 13 2023 00:24:05,1447.0155,16781194,string,16777216
Tue Jun 13 2023 00:31:57,223.0396,4107,string,4096
Tue Jun 13 2023 00:32:00,3505.8900,16398,string,16384
Tue Jun 13 2023 00:32:00,266.6026,65550,string,65536
Tue Jun 13 2023 00:32:04,3173.7058,262158,string,262144
Tue Jun 13 2023 00:32:04,387.2726,1048832,string,1048576
Tue Jun 13 2023 00:32:09,4901.5706,4195305,string,4194304
Tue Jun 13 2023 00:32:11,1460.9455,16781194,string,16777216
Tue Jun 13 2023 00:41:14,147.5599,4107,string,4096
Tue Jun 13 2023 00:41:14,147.4583,16398,string,16384
Tue Jun 13 2023 00:41:17,3561.7639,65550,string,65536
Tue Jun 13 2023 00:41:18,279.7158,262158,string,262144
Tue Jun 13 2023 00:41:21,3186.2437,1048832,string,1048576
Tue Jun 13 2023 00:41:21,421.3617,4195305,string,4194304
Tue Jun 13 2023 00:41:26,4143.2788,16781194,string,16777216
Tue Jun 13 2023 00:49:52,216.6974,4107,string,4096
Tue Jun 13 2023 00:50:32,175.0922,16398,string,16384
Tue Jun 13 2023 00:50:32,232.0171,65550,string,65536
Tue Jun 13 2023 00:51:13,375.6274,262158,string,262144
Tue Jun 13 2023 00:51:13,379.2990,1048832,string,1048576
Tue Jun 13 2023 00:51:20,7154.5204,4195305,string,4194304
Tue Jun 13 2023 00:51:22,1521.3570,16781194,string,16777216
Fri Jun 16 2023 02:31:05,200.0256,4107,string,4096
Fri Jun 16 2023 02:31:10,4955.4295,16398,string,16384
Fri Jun 16 2023 02:31:10,232.7193,65550,string,65536
Fri Jun 16 2023 02:31:15,4414.4665,262158,string,262144
Fri Jun 16 2023 02:31:16,813.2554,1048832,string,1048576
Fri Jun 16 2023 02:31:21,5015.0618,4195305,string,4194304
Fri Jun 16 2023 02:31:23,1694.7069,16781194,string,16777216
Fri Jun 16 2023 02:34:39,197.1011,4107,string,4096
Fri Jun 16 2023 02:35:24,4808.2155,16398,string,16384
Fri Jun 16 2023 02:35:24,202.8578,65550,string,65536
Fri Jun 16 2023 02:35:29,4535.8408,262158,string,262144
Fri Jun 16 2023 02:35:29,333.8098,1048832,string,1048576
Fri Jun 16 2023 02:35:33,3788.3348,4195305,string,4194304
Fri Jun 16 2023 02:35:35,1209.3717,16781194,string,16777216
Fri Jun 16 2023 02:38:50,293.5567,4107,string,4096
Fri Jun 16 2023 02:39:31,1404.7911,16398,string,16384
Fri Jun 16 2023 02:39:35,4034.5836,65550,string,65536
Fri Jun 16 2023 02:39:36,286.8516,262158,string,262144
Fri Jun 16 2023 02:39:39,3298.8170,1048832,string,1048576
Fri Jun 16 2023 02:39:40,469.8766,4195305,string,4194304
Fri Jun 16 2023 02:39:45,4976.2623,16781194,string,16777216
Fri Jun 16 2023 02:40:35,254.0181,4107,string,4096
-,-,-
-,-,-
Fri Jun 16 2023 02:43:18,2186.3248,262158,string,262144
Fri Jun 16 2023 02:43:20,2061.6607,1048832,string,1048576
Fri Jun 16 2023 02:43:35,14949.5801,4195305,string,4194304
-,-,-
Fri Jun 16 2023 02:48:47,202.5033,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
Fri Jun 16 2023 02:54:49,2164.2668,4195305,string,4194304
Fri Jun 16 2023 02:54:52,3221.0675,16781194,string,16777216
Sun Jun 18 2023 21:39:37,202.2048,4107,string,4096
Sun Jun 18 2023 21:40:17,164.5173,16398,string,16384
-,-,-
Sun Jun 18 2023 21:42:17,333.4991,262158,string,262144
-,-,-
Sun Jun 18 2023 21:43:40,2754.6353,4195305,string,4194304
Sun Jun 18 2023 21:43:42,1262.0270,16781194,string,16777216
Sun Jun 18 2023 21:49:50,5108.5128,4107,string,4096
-,-,-
Sun Jun 18 2023 21:51:13,3067.5097,65550,string,65536
Sun Jun 18 2023 21:51:13,243.8200,262158,string,262144
Sun Jun 18 2023 21:51:16,2880.5115,1048832,string,1048576
Sun Jun 18 2023 21:51:17,410.5575,4195305,string,4194304
Sun Jun 18 2023 21:51:21,3957.8006,16781194,string,16777216
Sun Jun 18 2023 21:59:15,1782.0534,4107,string,4096
Sun Jun 18 2023 21:59:16,515.9515,16398,string,16384
Sun Jun 18 2023 21:59:18,1702.6883,65550,string,65536
Sun Jun 18 2023 21:59:18,307.7461,262158,string,262144
Sun Jun 18 2023 21:59:20,2044.2010,1048832,string,1048576
Sun Jun 18 2023 21:59:21,541.8634,4195305,string,4194304
Sun Jun 18 2023 21:59:24,3042.9065,16781194,string,16777216
Sun Jun 18 2023 22:08:04,2207.1338,4107,string,4096
Sun Jun 18 2023 22:08:06,2088.2146,16398,string,16384
Sun Jun 18 2023 22:08:48,1423.9586,65550,string,65536
Sun Jun 18 2023 22:08:50,1541.7810,262158,string,262144
Sun Jun 18 2023 22:08:52,2055.4313,1048832,string,1048576
Sun Jun 18 2023 22:08:54,2395.7259,4195305,string,4194304
Sun Jun 18 2023 22:08:57,2856.2239,16781194,string,16777216
-,-,-
Sun Jun 18 2023 22:18:53,182.8348,16398,string,16384
Sun Jun 18 2023 22:19:34,263.2249,65550,string,65536
Sun Jun 18 2023 22:20:14,380.4543,262158,string,262144
Sun Jun 18 2023 22:20:17,3254.7975,1048832,string,1048576
Sun Jun 18 2023 22:20:18,526.2111,4195305,string,4194304
-,-,-
