Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 12 2023 22:43:57,10806.7520,4107,string,4096
Mon Jun 12 2023 22:43:58,28.4820,16398,string,16384
Mon Jun 12 2023 22:43:58,40.1650,65550,string,65536
Mon Jun 12 2023 22:43:58,70.8688,262158,string,262144
Mon Jun 12 2023 22:43:58,61.2838,1048832,string,1048576
Mon Jun 12 2023 22:43:58,130.9538,4195305,string,4194304
Mon Jun 12 2023 22:43:59,354.4027,16781194,string,16777216
Mon Jun 12 2023 22:44:56,56.0720,4107,string,4096
Mon Jun 12 2023 22:44:56,129.3447,16398,string,16384
Mon Jun 12 2023 22:44:56,99.9666,65550,string,65536
Mon Jun 12 2023 22:44:57,120.6320,262158,string,262144
Mon Jun 12 2023 22:44:57,100.4145,1048832,string,1048576
Mon Jun 12 2023 22:44:57,246.9929,4195305,string,4194304
Mon Jun 12 2023 22:44:58,633.2104,16781194,string,16777216
-,-,-
-,-,-
Mon Jun 12 2023 22:49:07,70.6143,65550,string,65536
Mon Jun 12 2023 22:49:07,79.5365,262158,string,262144
Mon Jun 12 2023 22:49:07,93.0823,1048832,string,1048576
Mon Jun 12 2023 22:49:09,1957.7492,4195305,string,4194304
-,-,-
Mon Jun 12 2023 22:53:02,59.7559,4107,string,4096
Mon Jun 12 2023 22:53:02,33.5313,16398,string,16384
Mon Jun 12 2023 22:53:02,47.9502,65550,string,65536
Mon Jun 12 2023 22:53:03,64.4209,262158,string,262144
Mon Jun 12 2023 22:53:03,79.1219,1048832,string,1048576
Mon Jun 12 2023 22:53:03,120.6483,4195305,string,4194304
Mon Jun 12 2023 22:53:04,397.0498,16781194,string,16777216
Mon Jun 12 2023 22:55:40,132.7688,4107,string,4096
Mon Jun 12 2023 22:55:41,130.9426,16398,string,16384
Mon Jun 12 2023 22:55:41,191.2082,65550,string,65536
Mon Jun 12 2023 22:55:41,253.3555,262158,string,262144
Mon Jun 12 2023 22:55:42,291.5224,1048832,string,1048576
Mon Jun 12 2023 22:55:42,365.8175,4195305,string,4194304
Mon Jun 12 2023 22:55:43,891.1413,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Tue Jun 13 2023 00:36:32,950.4655,4107,string,4096
Tue Jun 13 2023 00:36:32,30.7127,16398,string,16384
Tue Jun 13 2023 00:36:32,43.0563,65550,string,65536
Tue Jun 13 2023 00:36:32,55.3084,262158,string,262144
Tue Jun 13 2023 00:36:33,70.4908,1048832,string,1048576
Tue Jun 13 2023 00:36:33,157.8798,4195305,string,4194304
Tue Jun 13 2023 00:36:34,503.3826,16781194,string,16777216
Tue Jun 13 2023 00:37:11,55.0932,4107,string,4096
Tue Jun 13 2023 00:37:11,35.5995,16398,string,16384
Tue Jun 13 2023 00:37:11,90.7185,65550,string,65536
Tue Jun 13 2023 00:37:11,78.7318,262158,string,262144
Tue Jun 13 2023 00:37:12,112.3169,1048832,string,1048576
Tue Jun 13 2023 00:37:12,134.4683,4195305,string,4194304
Tue Jun 13 2023 00:37:13,533.3010,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 18 2023 21:27:08,119.3776,4107,string,4096
Sun Jun 18 2023 21:27:08,122.1090,16398,string,16384
Sun Jun 18 2023 21:27:08,181.9017,65550,string,65536
Sun Jun 18 2023 21:27:09,236.6151,262158,string,262144
Sun Jun 18 2023 21:27:09,258.5075,1048832,string,1048576
Sun Jun 18 2023 21:27:10,347.0867,4195305,string,4194304
Sun Jun 18 2023 21:27:11,846.3970,16781194,string,16777216
Sun Jun 18 2023 21:27:21,298.5829,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 18 2023 21:46:21,125.3334,16398,string,16384
Sun Jun 18 2023 21:46:22,72.6578,65550,string,65536
Sun Jun 18 2023 21:46:22,121.4898,262158,string,262144
Sun Jun 18 2023 21:46:22,160.7734,1048832,string,1048576
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 18 2023 22:03:54,43.9598,4107,string,4096
Sun Jun 18 2023 22:03:54,41.8396,16398,string,16384
Sun Jun 18 2023 22:03:55,60.1034,65550,string,65536
Sun Jun 18 2023 22:03:55,76.2745,262158,string,262144
Sun Jun 18 2023 22:03:55,94.6627,1048832,string,1048576
Sun Jun 18 2023 22:03:56,142.2460,4195305,string,4194304
Sun Jun 18 2023 22:03:56,434.9627,16781194,string,16777216
