Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 12 2023 22:43:54,7483.9935,4107,string,4096
Mon Jun 12 2023 22:43:54,34.0610,16398,string,16384
Mon Jun 12 2023 22:43:54,47.0890,65550,string,65536
Mon Jun 12 2023 22:43:55,61.0819,262158,string,262144
Mon Jun 12 2023 22:43:55,68.4617,1048832,string,1048576
Mon Jun 12 2023 22:43:55,144.3807,4195305,string,4194304
Mon Jun 12 2023 22:43:55,376.4027,16781194,string,16777216
Mon Jun 12 2023 22:44:56,47.4508,4107,string,4096
Mon Jun 12 2023 22:44:56,162.3946,16398,string,16384
Mon Jun 12 2023 22:44:56,130.2908,65550,string,65536
Mon Jun 12 2023 22:44:57,138.0579,262158,string,262144
Mon Jun 12 2023 22:44:57,94.7598,1048832,string,1048576
Mon Jun 12 2023 22:44:57,301.7180,4195305,string,4194304
Mon Jun 12 2023 22:44:58,585.8722,16781194,string,16777216
-,-,-
-,-,-
Mon Jun 12 2023 22:49:47,42.5504,65550,string,65536
Mon Jun 12 2023 22:49:47,49.5200,262158,string,262144
Mon Jun 12 2023 22:49:47,57.0700,1048832,string,1048576
Mon Jun 12 2023 22:49:47,115.2286,4195305,string,4194304
Mon Jun 12 2023 22:49:48,359.8992,16781194,string,16777216
-,-,-
Mon Jun 12 2023 22:52:26,32.4711,16398,string,16384
Mon Jun 12 2023 22:52:26,44.0482,65550,string,65536
Mon Jun 12 2023 22:52:26,57.7695,262158,string,262144
Mon Jun 12 2023 22:52:26,62.0998,1048832,string,1048576
Mon Jun 12 2023 22:52:26,103.3173,4195305,string,4194304
Mon Jun 12 2023 22:52:27,330.7193,16781194,string,16777216
Mon Jun 12 2023 22:55:41,171.9858,4107,string,4096
Mon Jun 12 2023 22:55:42,1470.1347,16398,string,16384
Mon Jun 12 2023 22:55:42,229.1942,65550,string,65536
Mon Jun 12 2023 22:55:43,291.3843,262158,string,262144
Mon Jun 12 2023 22:55:43,327.3401,1048832,string,1048576
Mon Jun 12 2023 22:55:44,428.2305,4195305,string,4194304
Mon Jun 12 2023 22:55:45,1048.2147,16781194,string,16777216
Tue Jun 13 2023 00:26:32,144.3810,4107,string,4096
Tue Jun 13 2023 00:26:32,145.1050,16398,string,16384
Tue Jun 13 2023 00:26:32,219.3970,65550,string,65536
Tue Jun 13 2023 00:26:33,285.2779,262158,string,262144
Tue Jun 13 2023 00:26:33,311.5045,1048832,string,1048576
Tue Jun 13 2023 00:26:34,413.8113,4195305,string,4194304
Tue Jun 13 2023 00:26:35,932.8543,16781194,string,16777216
Tue Jun 13 2023 00:36:32,1211.9889,4107,string,4096
Tue Jun 13 2023 00:36:32,33.2950,16398,string,16384
Tue Jun 13 2023 00:36:32,50.7388,65550,string,65536
Tue Jun 13 2023 00:36:33,64.5333,262158,string,262144
Tue Jun 13 2023 00:36:33,72.4316,1048832,string,1048576
Tue Jun 13 2023 00:36:33,149.1261,4195305,string,4194304
Tue Jun 13 2023 00:36:34,538.4464,16781194,string,16777216
Tue Jun 13 2023 00:37:11,37.3019,4107,string,4096
Tue Jun 13 2023 00:37:11,72.9867,16398,string,16384
Tue Jun 13 2023 00:37:11,123.7516,65550,string,65536
Tue Jun 13 2023 00:37:11,124.6099,262158,string,262144
Tue Jun 13 2023 00:37:12,145.7024,1048832,string,1048576
Tue Jun 13 2023 00:37:12,166.9198,4195305,string,4194304
Tue Jun 13 2023 00:37:13,639.9821,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 18 2023 21:27:08,140.6900,4107,string,4096
Sun Jun 18 2023 21:27:08,141.3722,16398,string,16384
Sun Jun 18 2023 21:27:08,214.6526,65550,string,65536
Sun Jun 18 2023 21:27:09,283.2021,262158,string,262144
Sun Jun 18 2023 21:27:09,308.2528,1048832,string,1048576
Sun Jun 18 2023 21:27:10,395.1564,4195305,string,4194304
Sun Jun 18 2023 21:27:11,997.3868,16781194,string,16777216
Sun Jun 18 2023 21:27:21,275.7756,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Sun Jun 18 2023 21:36:52,31.6304,16398,string,16384
Sun Jun 18 2023 21:36:52,45.7981,65550,string,65536
Sun Jun 18 2023 21:36:52,57.8780,262158,string,262144
Sun Jun 18 2023 21:36:52,62.4684,1048832,string,1048576
Sun Jun 18 2023 21:36:52,101.6905,4195305,string,4194304
Sun Jun 18 2023 21:36:53,318.2871,16781194,string,16777216
-,-,-
Sun Jun 18 2023 21:46:21,154.2830,16398,string,16384
Sun Jun 18 2023 21:46:22,110.2237,65550,string,65536
Sun Jun 18 2023 21:46:22,167.6253,262158,string,262144
Sun Jun 18 2023 21:46:22,160.2888,1048832,string,1048576
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
