index,Retrieval Time (ms),Size (Bytes)
7,47.4508,4096
28,171.9858,4096
35,144.381,4096
49,37.3019,4096
70,140.69,4096
77,275.7756,4096
1,34.061,16384
8,162.3946,16384
22,32.4711,16384
36,145.105,16384
43,33.295,16384
50,72.9867,16384
71,141.3722,16384
85,31.6304,16384
92,154.283,16384
2,47.089,65536
9,130.2908,65536
16,42.5504,65536
23,44.0482,65536
30,229.1942,65536
37,219.397,65536
44,50.7388,65536
51,123.7516,65536
72,214.6526,65536
86,45.7981,65536
93,110.2237,65536
3,61.0819,262144
10,138.0579,262144
17,49.52,262144
24,57.7695,262144
31,291.3843,262144
38,285.2779,262144
45,64.5333,262144
52,124.6099,262144
73,283.2021,262144
87,57.878,262144
94,167.6253,262144
4,68.4617,1048576
11,94.7598,1048576
18,57.07,1048576
25,62.0998,1048576
32,327.3401,1048576
39,311.5045,1048576
46,72.4316,1048576
53,145.7024,1048576
74,308.2528,1048576
88,62.4684,1048576
95,160.2888,1048576
5,144.3807,4194304
12,301.718,4194304
19,115.2286,4194304
26,103.3173,4194304
33,428.2305,4194304
40,413.8113,4194304
47,149.1261,4194304
54,166.9198,4194304
75,395.1564,4194304
89,101.6905,4194304
6,376.4027,16777216
13,585.8722,16777216
20,359.8992,16777216
27,330.7193,16777216
34,1048.2147,16777216
41,932.8543,16777216
48,538.4464,16777216
55,639.9821,16777216
76,997.3868,16777216
90,318.2871,16777216
