index,Retrieval Time (ms),Size (Bytes)
0,47.9684,4096
14,313.5332,4096
21,101.1056,4096
28,145.4969,4096
35,147.6491,4096
42,43.4205,4096
56,50.6258,4096
63,1254.3389,4096
70,141.6895,4096
1,41.8546,16384
8,50.9764,16384
15,33.0075,16384
22,40.2734,16384
29,146.6606,16384
36,147.4959,16384
43,45.3284,16384
50,31.4884,16384
57,48.3432,16384
64,38.2041,16384
71,141.8775,16384
78,31.294,16384
85,37.0916,16384
99,47.3524,16384
2,58.15,65536
9,69.23,65536
16,44.7681,65536
23,49.6888,65536
44,56.1069,65536
51,42.3449,65536
58,70.3162,65536
65,51.8038,65536
79,43.9262,65536
86,53.186,65536
93,53.3468,65536
100,66.8648,65536
3,75.8981,262144
10,93.2627,262144
17,58.1915,262144
24,65.3649,262144
45,73.2812,262144
52,57.1562,262144
59,90.9157,262144
66,82.052,262144
80,54.3347,262144
87,68.3996,262144
94,68.1247,262144
101,88.3282,262144
4,99.9114,1048576
11,132.241,1048576
18,98.2143,1048576
25,59.0986,1048576
32,110.7008,1048576
46,103.7652,1048576
53,70.2147,1048576
60,124.495,1048576
67,79.1494,1048576
81,65.7036,1048576
88,87.8894,1048576
95,77.7485,1048576
102,101.897,1048576
5,201.5598,4194304
12,165.4028,4194304
19,146.7171,4194304
26,141.6685,4194304
47,148.5153,4194304
54,111.2885,4194304
61,159.5994,4194304
68,147.3293,4194304
82,114.3693,4194304
89,153.6907,4194304
96,164.8373,4194304
103,150.8167,4194304
6,550.3727,16777216
13,661.3801,16777216
20,384.0775,16777216
27,404.9187,16777216
48,477.5085,16777216
55,429.1844,16777216
62,523.7464,16777216
69,425.9442,16777216
83,477.5715,16777216
90,473.2003,16777216
97,531.9387,16777216
104,441.2978,16777216
