index,Retrieval Time (ms),Size (Bytes)
7,57.0023,4096
14,35.5063,4096
28,1347.2399,4096
35,1821.2326,4096
42,38.0158,4096
56,4546.5112,4096
63,1354.8875,4096
70,141.93,4096
77,285.5761,4096
1,35.1869,16384
8,51.9616,16384
15,34.0982,16384
22,44.1871,16384
29,150.5888,16384
36,151.4868,16384
43,34.5404,16384
50,31.723,16384
57,48.7292,16384
64,37.8718,16384
71,139.2651,16384
2,50.0748,65536
9,73.0714,65536
16,47.5589,65536
23,57.6895,65536
30,223.5858,65536
37,222.7949,65536
44,49.8307,65536
51,47.4028,65536
58,72.0357,65536
65,54.1121,65536
72,212.366,65536
3,63.0987,262144
10,94.6215,262144
17,62.9963,262144
24,75.0401,262144
31,290.0716,262144
38,284.1678,262144
45,64.1217,262144
52,55.9623,262144
59,90.321,262144
66,69.1717,262144
73,279.2501,262144
4,85.7536,1048576
11,137.7128,1048576
18,72.9578,1048576
25,85.3952,1048576
32,319.1514,1048576
39,314.0114,1048576
46,79.2129,1048576
53,66.2917,1048576
60,103.4119,1048576
67,77.8031,1048576
74,307.773,1048576
5,118.3819,4194304
12,161.2926,4194304
19,121.5313,4194304
26,154.9859,4194304
33,414.8476,4194304
40,426.262,4194304
47,147.7543,4194304
54,110.159,4194304
61,149.5868,4194304
68,137.8778,4194304
75,411.8423,4194304
6,415.7212,16777216
13,457.5914,16777216
20,372.184,16777216
27,392.8966,16777216
34,1018.3288,16777216
41,1012.8022,16777216
48,399.7944,16777216
55,323.2057,16777216
62,445.9933,16777216
69,355.5269,16777216
76,911.9084,16777216
