index,Retrieval Time (ms),Size (Bytes)
0,10806.752,4096
7,56.072,4096
21,59.7559,4096
28,132.7688,4096
42,950.4655,4096
49,55.0932,4096
70,119.3776,4096
77,298.5829,4096
98,43.9598,4096
1,28.482,16384
8,129.3447,16384
22,33.5313,16384
29,130.9426,16384
43,30.7127,16384
50,35.5995,16384
71,122.109,16384
85,125.3334,16384
99,41.8396,16384
2,40.165,65536
9,99.9666,65536
16,70.6143,65536
23,47.9502,65536
30,191.2082,65536
44,43.0563,65536
51,90.7185,65536
72,181.9017,65536
86,72.6578,65536
100,60.1034,65536
3,70.8688,262144
10,120.632,262144
17,79.5365,262144
24,64.4209,262144
31,253.3555,262144
45,55.3084,262144
52,78.7318,262144
73,236.6151,262144
87,121.4898,262144
101,76.2745,262144
4,61.2838,1048576
11,100.4145,1048576
18,93.0823,1048576
25,79.1219,1048576
32,291.5224,1048576
46,70.4908,1048576
53,112.3169,1048576
74,258.5075,1048576
88,160.7734,1048576
102,94.6627,1048576
5,130.9538,4194304
12,246.9929,4194304
19,1957.7492,4194304
26,120.6483,4194304
33,365.8175,4194304
47,157.8798,4194304
54,134.4683,4194304
75,347.0867,4194304
103,142.246,4194304
6,354.4027,16777216
13,633.2104,16777216
27,397.0498,16777216
34,891.1413,16777216
48,503.3826,16777216
55,533.301,16777216
76,846.397,16777216
104,434.9627,16777216
