index,Retrieval Time (ms),Size (Bytes)
0,244.051,4096
7,252.4991,4096
14,3475.845,4096
21,212.5823,4096
28,194.3725,4096
35,182.1671,4096
42,241.8625,4096
49,2862.1889,4096
56,224.6132,4096
63,1426.8741,4096
70,245.61,4096
77,5784.9753,4096
98,3598.1859,4096
1,159.3156,16384
8,173.4253,16384
15,180.4858,16384
22,158.2363,16384
29,138.9627,16384
36,154.6343,16384
43,162.2892,16384
50,169.0737,16384
57,183.6799,16384
64,154.2458,16384
71,154.6203,16384
78,139.4581,16384
85,173.9726,16384
92,1806.6717,16384
99,179.9467,16384
2,244.973,65536
9,253.6794,65536
16,260.1457,65536
23,214.946,65536
30,268.8735,65536
37,159.4136,65536
44,14766.2521,65536
51,209.089,65536
58,260.3019,65536
65,241.1087,65536
72,224.8956,65536
79,209.1167,65536
86,224.1372,65536
93,228.4037,65536
100,249.0425,65536
3,331.2186,262144
10,322.7521,262144
17,325.496,262144
24,280.5021,262144
31,316.0327,262144
38,171.9974,262144
45,326.8707,262144
52,247.7637,262144
59,336.7926,262144
66,307.0423,262144
73,291.2223,262144
80,249.8267,262144
87,295.185,262144
94,298.4709,262144
101,324.4528,262144
4,359.0561,1048576
11,358.416,1048576
18,378.2881,1048576
25,323.0221,1048576
32,371.5016,1048576
39,254.402,1048576
46,367.6115,1048576
53,331.3585,1048576
60,386.5615,1048576
67,236.7687,1048576
74,409.1396,1048576
81,308.3456,1048576
88,384.0318,1048576
95,342.324,1048576
102,381.3271,1048576
5,495.8308,4194304
12,536.0569,4194304
19,487.8108,4194304
26,419.8947,4194304
33,464.2857,4194304
40,411.6842,4194304
47,510.4083,4194304
54,444.6851,4194304
61,552.0577,4194304
68,569.8301,4194304
75,508.2491,4194304
82,396.8832,4194304
89,469.9538,4194304
96,449.4046,4194304
103,482.1084,4194304
6,1376.3942,16777216
13,1422.7617,16777216
20,1330.7124,16777216
27,1174.878,16777216
34,1421.488,16777216
41,1329.8644,16777216
48,1379.081,16777216
55,1288.4053,16777216
62,1473.2376,16777216
69,1366.7225,16777216
76,1334.6055,16777216
83,1396.3231,16777216
90,1561.4641,16777216
97,1235.2541,16777216
104,1457.0874,16777216
