Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 12 2023 23:43:47,244.0510,4107,string,4096
Mon Jun 12 2023 23:43:47,159.3156,16398,string,16384
Mon Jun 12 2023 23:43:47,244.9730,65550,string,65536
Mon Jun 12 2023 23:43:48,331.2186,262158,string,262144
Mon Jun 12 2023 23:43:48,359.0561,1048832,string,1048576
Mon Jun 12 2023 23:43:49,495.8308,4195305,string,4194304
Mon Jun 12 2023 23:43:50,1376.3942,16781194,string,16777216
Mon Jun 12 2023 23:44:56,252.4991,4107,string,4096
Mon Jun 12 2023 23:45:36,173.4253,16398,string,16384
Mon Jun 12 2023 23:45:37,253.6794,65550,string,65536
Mon Jun 12 2023 23:45:37,322.7521,262158,string,262144
Mon Jun 12 2023 23:45:37,358.4160,1048832,string,1048576
Mon Jun 12 2023 23:45:38,536.0569,4195305,string,4194304
Mon Jun 12 2023 23:45:39,1422.7617,16781194,string,16777216
Mon Jun 12 2023 23:47:10,3475.8450,4107,string,4096
Mon Jun 12 2023 23:47:10,180.4858,16398,string,16384
Mon Jun 12 2023 23:47:11,260.1457,65550,string,65536
Mon Jun 12 2023 23:47:11,325.4960,262158,string,262144
Mon Jun 12 2023 23:47:11,378.2881,1048832,string,1048576
Mon Jun 12 2023 23:47:12,487.8108,4195305,string,4194304
Mon Jun 12 2023 23:47:13,1330.7124,16781194,string,16777216
Mon Jun 12 2023 23:51:06,212.5823,4107,string,4096
Mon Jun 12 2023 23:51:06,158.2363,16398,string,16384
Mon Jun 12 2023 23:51:06,214.9460,65550,string,65536
Mon Jun 12 2023 23:51:06,280.5021,262158,string,262144
Mon Jun 12 2023 23:51:07,323.0221,1048832,string,1048576
Mon Jun 12 2023 23:51:07,419.8947,4195305,string,4194304
Mon Jun 12 2023 23:51:09,1174.8780,16781194,string,16777216
Mon Jun 12 2023 23:53:02,194.3725,4107,string,4096
Mon Jun 12 2023 23:53:02,138.9627,16398,string,16384
Mon Jun 12 2023 23:53:43,268.8735,65550,string,65536
Mon Jun 12 2023 23:53:43,316.0327,262158,string,262144
Mon Jun 12 2023 23:53:43,371.5016,1048832,string,1048576
Mon Jun 12 2023 23:53:44,464.2857,4195305,string,4194304
Mon Jun 12 2023 23:53:45,1421.4880,16781194,string,16777216
Tue Jun 13 2023 01:36:31,182.1671,4107,string,4096
Tue Jun 13 2023 01:36:31,154.6343,16398,string,16384
Tue Jun 13 2023 01:36:31,159.4136,65550,string,65536
Tue Jun 13 2023 01:36:32,171.9974,262158,string,262144
Tue Jun 13 2023 01:36:32,254.4020,1048832,string,1048576
Tue Jun 13 2023 01:36:32,411.6842,4195305,string,4194304
Tue Jun 13 2023 01:36:34,1329.8644,16781194,string,16777216
Tue Jun 13 2023 01:37:11,241.8625,4107,string,4096
Tue Jun 13 2023 01:37:11,162.2892,16398,string,16384
Tue Jun 13 2023 01:37:26,14766.2521,65550,string,65536
Tue Jun 13 2023 01:37:26,326.8707,262158,string,262144
Tue Jun 13 2023 01:37:26,367.6115,1048832,string,1048576
Tue Jun 13 2023 01:37:27,510.4083,4195305,string,4194304
Tue Jun 13 2023 01:37:29,1379.0810,16781194,string,16777216
Tue Jun 13 2023 01:45:52,2862.1889,4107,string,4096
Tue Jun 13 2023 01:45:52,169.0737,16398,string,16384
Tue Jun 13 2023 01:45:53,209.0890,65550,string,65536
Tue Jun 13 2023 01:45:53,247.7637,262158,string,262144
Tue Jun 13 2023 01:45:53,331.3585,1048832,string,1048576
Tue Jun 13 2023 01:45:54,444.6851,4195305,string,4194304
Tue Jun 13 2023 01:45:55,1288.4053,16781194,string,16777216
Tue Jun 13 2023 01:55:48,224.6132,4107,string,4096
Tue Jun 13 2023 01:56:18,183.6799,16398,string,16384
Tue Jun 13 2023 01:56:18,260.3019,65550,string,65536
Tue Jun 13 2023 01:56:19,336.7926,262158,string,262144
Tue Jun 13 2023 01:56:19,386.5615,1048832,string,1048576
Tue Jun 13 2023 01:56:20,552.0577,4195305,string,4194304
Tue Jun 13 2023 01:56:21,1473.2376,16781194,string,16777216
Tue Jun 13 2023 02:05:45,1426.8741,4107,string,4096
Tue Jun 13 2023 02:05:45,154.2458,16398,string,16384
Tue Jun 13 2023 02:05:46,241.1087,65550,string,65536
Tue Jun 13 2023 02:05:46,307.0423,262158,string,262144
Tue Jun 13 2023 02:05:46,236.7687,1048832,string,1048576
Tue Jun 13 2023 02:05:47,569.8301,4195305,string,4194304
Tue Jun 13 2023 02:05:48,1366.7225,16781194,string,16777216
Sun Jun 18 2023 22:27:21,245.6100,4107,string,4096
Sun Jun 18 2023 22:27:22,154.6203,16398,string,16384
Sun Jun 18 2023 22:27:22,224.8956,65550,string,65536
Sun Jun 18 2023 22:27:22,291.2223,262158,string,262144
Sun Jun 18 2023 22:27:23,409.1396,1048832,string,1048576
Sun Jun 18 2023 22:27:23,508.2491,4195305,string,4194304
Sun Jun 18 2023 22:27:25,1334.6055,16781194,string,16777216
Sun Jun 18 2023 22:35:37,5784.9753,4107,string,4096
Sun Jun 18 2023 22:35:37,139.4581,16398,string,16384
Sun Jun 18 2023 22:35:38,209.1167,65550,string,65536
Sun Jun 18 2023 22:35:38,249.8267,262158,string,262144
Sun Jun 18 2023 22:35:38,308.3456,1048832,string,1048576
Sun Jun 18 2023 22:35:39,396.8832,4195305,string,4194304
Sun Jun 18 2023 22:35:40,1396.3231,16781194,string,16777216
-,-,-
Sun Jun 18 2023 22:46:21,173.9726,16398,string,16384
Sun Jun 18 2023 22:46:22,224.1372,65550,string,65536
Sun Jun 18 2023 22:46:22,295.1850,262158,string,262144
Sun Jun 18 2023 22:46:22,384.0318,1048832,string,1048576
Sun Jun 18 2023 22:46:23,469.9538,4195305,string,4194304
Sun Jun 18 2023 22:46:24,1561.4641,16781194,string,16777216
-,-,-
Sun Jun 18 2023 22:55:45,1806.6717,16398,string,16384
Sun Jun 18 2023 22:55:45,228.4037,65550,string,65536
Sun Jun 18 2023 22:55:45,298.4709,262158,string,262144
Sun Jun 18 2023 22:55:46,342.3240,1048832,string,1048576
Sun Jun 18 2023 22:55:46,449.4046,4195305,string,4194304
Sun Jun 18 2023 22:55:48,1235.2541,16781194,string,16777216
Sun Jun 18 2023 23:04:38,3598.1859,4107,string,4096
Sun Jun 18 2023 23:04:38,179.9467,16398,string,16384
Sun Jun 18 2023 23:04:38,249.0425,65550,string,65536
Sun Jun 18 2023 23:04:39,324.4528,262158,string,262144
Sun Jun 18 2023 23:04:39,381.3271,1048832,string,1048576
Sun Jun 18 2023 23:04:40,482.1084,4195305,string,4194304
Sun Jun 18 2023 23:04:41,1457.0874,16781194,string,16777216
