Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 12 2023 22:44:56,47.9684,4107,string,4096
Mon Jun 12 2023 22:44:56,41.8546,16398,string,16384
Mon Jun 12 2023 22:44:56,58.1500,65550,string,65536
Mon Jun 12 2023 22:44:57,75.8981,262158,string,262144
Mon Jun 12 2023 22:44:57,99.9114,1048832,string,1048576
Mon Jun 12 2023 22:44:57,201.5598,4195305,string,4194304
Mon Jun 12 2023 22:44:58,550.3727,16781194,string,16777216
-,-,-
Mon Jun 12 2023 22:48:27,50.9764,16398,string,16384
Mon Jun 12 2023 22:48:27,69.2300,65550,string,65536
Mon Jun 12 2023 22:48:27,93.2627,262158,string,262144
Mon Jun 12 2023 22:48:28,132.2410,1048832,string,1048576
Mon Jun 12 2023 22:48:28,165.4028,4195305,string,4194304
Mon Jun 12 2023 22:48:29,661.3801,16781194,string,16777216
Mon Jun 12 2023 22:51:06,313.5332,4107,string,4096
Mon Jun 12 2023 22:51:46,33.0075,16398,string,16384
Mon Jun 12 2023 22:51:46,44.7681,65550,string,65536
Mon Jun 12 2023 22:51:46,58.1915,262158,string,262144
Mon Jun 12 2023 22:51:46,98.2143,1048832,string,1048576
Mon Jun 12 2023 22:51:47,146.7171,4195305,string,4194304
Mon Jun 12 2023 22:51:47,384.0775,16781194,string,16777216
Mon Jun 12 2023 22:53:02,101.1056,4107,string,4096
Mon Jun 12 2023 22:53:02,40.2734,16398,string,16384
Mon Jun 12 2023 22:53:02,49.6888,65550,string,65536
Mon Jun 12 2023 22:53:03,65.3649,262158,string,262144
Mon Jun 12 2023 22:53:03,59.0986,1048832,string,1048576
Mon Jun 12 2023 22:53:03,141.6685,4195305,string,4194304
Mon Jun 12 2023 22:53:04,404.9187,16781194,string,16777216
Mon Jun 12 2023 22:55:40,145.4969,4107,string,4096
Mon Jun 12 2023 22:55:41,146.6606,16398,string,16384
Mon Jun 12 2023 22:55:41,222.2005,65550,string,65536
Mon Jun 12 2023 22:55:42,294.2239,262158,string,262144
Mon Jun 12 2023 22:55:42,110.7008,1048832,string,1048576
Mon Jun 12 2023 22:55:42,318.7295,4195305,string,4194304
Mon Jun 12 2023 22:55:43,885.1166,16781194,string,16777216
Tue Jun 13 2023 00:26:32,147.6491,4107,string,4096
Tue Jun 13 2023 00:26:32,147.4959,16398,string,16384
Tue Jun 13 2023 00:26:33,219.3644,65550,string,65536
Tue Jun 13 2023 00:26:33,292.0102,262158,string,262144
Tue Jun 13 2023 00:26:33,326.4238,1048832,string,1048576
Tue Jun 13 2023 00:26:34,445.9052,4195305,string,4194304
Tue Jun 13 2023 00:26:35,1027.7141,16781194,string,16777216
Tue Jun 13 2023 00:37:11,43.4205,4107,string,4096
Tue Jun 13 2023 00:37:11,45.3284,16398,string,16384
Tue Jun 13 2023 00:37:11,56.1069,65550,string,65536
Tue Jun 13 2023 00:37:11,73.2812,262158,string,262144
Tue Jun 13 2023 00:37:11,103.7652,1048832,string,1048576
Tue Jun 13 2023 00:37:12,148.5153,4195305,string,4194304
Tue Jun 13 2023 00:37:13,477.5085,16781194,string,16777216
Tue Jun 13 2023 00:45:52,2695.1000,4107,string,4096
Tue Jun 13 2023 00:45:52,31.4884,16398,string,16384
Tue Jun 13 2023 00:45:52,42.3449,65550,string,65536
Tue Jun 13 2023 00:45:53,57.1562,262158,string,262144
Tue Jun 13 2023 00:45:53,70.2147,1048832,string,1048576
Tue Jun 13 2023 00:45:53,111.2885,4195305,string,4194304
Tue Jun 13 2023 00:45:54,429.1844,16781194,string,16777216
Tue Jun 13 2023 00:55:48,50.6258,4107,string,4096
