Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 12 2023 22:43:57,10633.8145,4107,string,4096
Mon Jun 12 2023 22:43:57,35.1869,16398,string,16384
Mon Jun 12 2023 22:43:58,50.0748,65550,string,65536
Mon Jun 12 2023 22:43:58,63.0987,262158,string,262144
Mon Jun 12 2023 22:43:58,85.7536,1048832,string,1048576
Mon Jun 12 2023 22:43:58,118.3819,4195305,string,4194304
Mon Jun 12 2023 22:43:59,415.7212,16781194,string,16777216
Mon Jun 12 2023 22:46:27,57.0023,4107,string,4096
Mon Jun 12 2023 22:46:27,51.9616,16398,string,16384
Mon Jun 12 2023 22:46:27,73.0714,65550,string,65536
Mon Jun 12 2023 22:46:27,94.6215,262158,string,262144
Mon Jun 12 2023 22:46:28,137.7128,1048832,string,1048576
Mon Jun 12 2023 22:46:28,161.2926,4195305,string,4194304
Mon Jun 12 2023 22:46:28,457.5914,16781194,string,16777216
Mon Jun 12 2023 22:51:45,35.5063,4107,string,4096
Mon Jun 12 2023 22:51:46,34.0982,16398,string,16384
Mon Jun 12 2023 22:51:46,47.5589,65550,string,65536
Mon Jun 12 2023 22:51:46,62.9963,262158,string,262144
Mon Jun 12 2023 22:51:46,72.9578,1048832,string,1048576
Mon Jun 12 2023 22:51:46,121.5313,4195305,string,4194304
Mon Jun 12 2023 22:51:47,372.1840,16781194,string,16777216
-,-,-
Mon Jun 12 2023 22:54:22,44.1871,16398,string,16384
Mon Jun 12 2023 22:54:22,57.6895,65550,string,65536
Mon Jun 12 2023 22:54:22,75.0401,262158,string,262144
Mon Jun 12 2023 22:54:23,85.3952,1048832,string,1048576
Mon Jun 12 2023 22:54:23,154.9859,4195305,string,4194304
Mon Jun 12 2023 22:54:23,392.8966,16781194,string,16777216
Mon Jun 12 2023 22:55:42,1347.2399,4107,string,4096
Mon Jun 12 2023 22:55:42,150.5888,16398,string,16384
Mon Jun 12 2023 22:55:42,223.5858,65550,string,65536
Mon Jun 12 2023 22:55:43,290.0716,262158,string,262144
Mon Jun 12 2023 22:55:43,319.1514,1048832,string,1048576
Mon Jun 12 2023 22:55:44,414.8476,4195305,string,4194304
Mon Jun 12 2023 22:55:45,1018.3288,16781194,string,16777216
Tue Jun 13 2023 00:26:34,1821.2326,4107,string,4096
Tue Jun 13 2023 00:26:34,151.4868,16398,string,16384
Tue Jun 13 2023 00:26:34,222.7949,65550,string,65536
Tue Jun 13 2023 00:26:35,284.1678,262158,string,262144
Tue Jun 13 2023 00:26:35,314.0114,1048832,string,1048576
Tue Jun 13 2023 00:26:36,426.2620,4195305,string,4194304
Tue Jun 13 2023 00:26:37,1012.8022,16781194,string,16777216
Tue Jun 13 2023 00:36:31,38.0158,4107,string,4096
Tue Jun 13 2023 00:36:31,34.5404,16398,string,16384
Tue Jun 13 2023 00:36:31,49.8307,65550,string,65536
Tue Jun 13 2023 00:36:31,64.1217,262158,string,262144
Tue Jun 13 2023 00:36:32,79.2129,1048832,string,1048576
Tue Jun 13 2023 00:36:32,147.7543,4195305,string,4194304
Tue Jun 13 2023 00:36:33,399.7944,16781194,string,16777216
Tue Jun 13 2023 00:45:57,7938.4657,4107,string,4096
Tue Jun 13 2023 00:45:57,31.7230,16398,string,16384
Tue Jun 13 2023 00:45:58,47.4028,65550,string,65536
Tue Jun 13 2023 00:45:58,55.9623,262158,string,262144
Tue Jun 13 2023 00:45:58,66.2917,1048832,string,1048576
Tue Jun 13 2023 00:45:58,110.1590,4195305,string,4194304
Tue Jun 13 2023 00:45:59,323.2057,16781194,string,16777216
Tue Jun 13 2023 00:55:52,4546.5112,4107,string,4096
Tue Jun 13 2023 00:55:52,48.7292,16398,string,16384
Tue Jun 13 2023 00:55:52,72.0357,65550,string,65536
Tue Jun 13 2023 00:55:53,90.3210,262158,string,262144
Tue Jun 13 2023 00:55:53,103.4119,1048832,string,1048576
Tue Jun 13 2023 00:55:53,149.5868,4195305,string,4194304
Tue Jun 13 2023 00:55:54,445.9933,16781194,string,16777216
Tue Jun 13 2023 01:05:45,1354.8875,4107,string,4096
Tue Jun 13 2023 01:05:45,37.8718,16398,string,16384
Tue Jun 13 2023 01:05:46,54.1121,65550,string,65536
Tue Jun 13 2023 01:05:46,69.1717,262158,string,262144
Tue Jun 13 2023 01:05:46,77.8031,1048832,string,1048576
Tue Jun 13 2023 01:05:46,137.8778,4195305,string,4194304
Tue Jun 13 2023 01:05:47,355.5269,16781194,string,16777216
Sun Jun 18 2023 21:27:08,141.9300,4107,string,4096
Sun Jun 18 2023 21:27:08,139.2651,16398,string,16384
Sun Jun 18 2023 21:27:08,212.3660,65550,string,65536
Sun Jun 18 2023 21:27:09,279.2501,262158,string,262144
Sun Jun 18 2023 21:27:09,307.7730,1048832,string,1048576
Sun Jun 18 2023 21:27:10,411.8423,4195305,string,4194304
Sun Jun 18 2023 21:27:11,911.9084,16781194,string,16777216
Sun Jun 18 2023 21:27:21,285.5761,4107,string,4096
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
