Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 18:51:24,123.0611,4107,string,4096
Sun Jun 11 2023 18:51:25,121.8269,16398,string,16384
Sun Jun 11 2023 18:51:25,182.4563,65550,string,65536
Sun Jun 11 2023 18:51:25,239.9207,262158,string,262144
Sun Jun 11 2023 18:51:25,258.3190,1048832,string,1048576
Sun Jun 11 2023 18:51:26,368.7919,4195305,string,4194304
Sun Jun 11 2023 18:51:27,839.1225,16781194,string,16777216
Sun Jun 11 2023 18:52:48,228.4905,4107,string,4096
Sun Jun 11 2023 18:52:48,199.0266,16398,string,16384
Sun Jun 11 2023 18:52:48,380.3094,65550,string,65536
Sun Jun 11 2023 18:52:49,703.3721,262158,string,262144
Sun Jun 11 2023 18:52:50,1348.0580,1048832,string,1048576
Sun Jun 11 2023 18:52:53,3050.2089,4195305,string,4194304
Sun Jun 11 2023 18:53:03,9521.4383,16781194,string,16777216
Sun Jun 11 2023 18:57:26,1232.2942,4107,string,4096
Sun Jun 11 2023 18:57:26,37.2397,16398,string,16384
Sun Jun 11 2023 18:57:26,47.8830,65550,string,65536
Sun Jun 11 2023 18:57:26,63.8047,262158,string,262144
Sun Jun 11 2023 18:57:26,74.9363,1048832,string,1048576
Sun Jun 11 2023 18:57:27,124.3416,4195305,string,4194304
Sun Jun 11 2023 18:57:27,367.0657,16781194,string,16777216
Sun Jun 11 2023 18:59:28,292.8632,4107,string,4096
Sun Jun 11 2023 18:59:28,183.8625,16398,string,16384
Sun Jun 11 2023 18:59:29,315.9008,65550,string,65536
Sun Jun 11 2023 18:59:29,416.6504,262158,string,262144
Sun Jun 11 2023 18:59:29,282.6238,1048832,string,1048576
Sun Jun 11 2023 18:59:30,587.3372,4195305,string,4194304
Sun Jun 11 2023 18:59:33,2394.1282,16781194,string,16777216
Sun Jun 11 2023 19:00:11,260.4829,4107,string,4096
Sun Jun 11 2023 19:00:11,171.6459,16398,string,16384
Sun Jun 11 2023 19:00:11,251.9757,65550,string,65536
Sun Jun 11 2023 19:00:12,332.9325,262158,string,262144
