index,Retrieval Time (ms),Size (Bytes)
0,123.0611,4096
7,228.4905,4096
21,292.8632,4096
28,260.4829,4096
70,218.0961,4096
77,216.333,4096
84,285.317,4096
91,53.5073,4096
98,264.7394,4096
105,131.3505,4096
112,216.486,4096
119,264.4063,4096
126,48.4613,4096
133,243.722,4096
140,130.1764,4096
147,394.8305,4096
154,38.8452,4096
161,224.1255,4096
168,236.8921,4096
1,121.8269,16384
8,199.0266,16384
22,183.8625,16384
29,171.6459,16384
64,158.0577,16384
71,153.1019,16384
78,169.4949,16384
85,201.9213,16384
99,171.6365,16384
106,123.2479,16384
113,194.5074,16384
120,162.3671,16384
134,144.4788,16384
141,122.6445,16384
148,150.841,16384
162,150.647,16384
169,172.0363,16384
2,182.4563,65536
16,47.883,65536
23,315.9008,65536
30,251.9757,65536
65,236.3738,65536
72,158.1328,65536
79,305.0873,65536
86,168.576,65536
93,45.1304,65536
100,167.4037,65536
107,125.7398,65536
114,169.8406,65536
121,166.1438,65536
128,44.1013,65536
135,155.625,65536
142,183.2144,65536
149,222.8308,65536
156,48.5156,65536
163,229.1946,65536
170,295.2527,65536
3,239.9207,262144
17,63.8047,262144
24,416.6504,262144
31,332.9325,262144
66,312.2678,262144
73,214.2896,262144
80,342.435,262144
87,179.3971,262144
94,49.3273,262144
101,174.868,262144
108,130.1133,262144
115,188.0465,262144
122,178.0139,262144
129,50.723,262144
136,183.6062,262144
143,244.4817,262144
150,315.1419,262144
157,61.1071,262144
164,313.2814,262144
4,258.319,1048576
18,74.9363,1048576
25,282.6238,1048576
32,325.3461,1048576
67,331.2981,1048576
74,178.2413,1048576
81,146.8253,1048576
88,234.9544,1048576
95,68.9956,1048576
102,219.4282,1048576
109,140.2496,1048576
116,159.9264,1048576
123,171.8936,1048576
130,66.6659,1048576
137,251.758,1048576
144,272.2732,1048576
151,324.7191,1048576
158,72.1848,1048576
165,349.3519,1048576
5,368.7919,4194304
19,124.3416,4194304
26,587.3372,4194304
33,474.7717,4194304
61,149.5237,4194304
68,538.7591,4194304
75,401.793,4194304
82,556.7377,4194304
89,371.1395,4194304
96,142.6834,4194304
103,468.8192,4194304
110,290.0988,4194304
117,488.6252,4194304
124,599.4064,4194304
131,148.6593,4194304
138,585.6382,4194304
145,391.2021,4194304
152,460.5374,4194304
159,108.6845,4194304
166,584.818,4194304
6,839.1225,16777216
20,367.0657,16777216
27,2394.1282,16777216
34,1375.1495,16777216
62,421.5237,16777216
69,1268.538,16777216
76,1406.1296,16777216
83,1324.554,16777216
90,1372.2665,16777216
97,480.9802,16777216
104,1821.3604,16777216
111,900.2869,16777216
118,2356.891,16777216
125,1546.3534,16777216
132,471.4005,16777216
139,1664.6073,16777216
146,967.302,16777216
153,1536.5491,16777216
160,377.7959,16777216
167,1308.6502,16777216
