index,Retrieval Time (ms),Size (Bytes)
21,291.3622,4096
28,259.7864,4096
35,145.6866,4096
49,37.1519,4096
56,245.6253,4096
63,37.4751,4096
70,154.5304,4096
77,262.9456,4096
84,42.3888,4096
91,248.7321,4096
98,37.0757,4096
105,148.9611,4096
112,208.8709,4096
119,43.7226,4096
126,267.3268,4096
133,71.4834,4096
140,142.5869,4096
147,382.2474,4096
154,198.5767,4096
161,224.1431,4096
168,223.7741,4096
1,144.3122,16384
8,155.2765,16384
15,146.7613,16384
22,183.9571,16384
29,173.3384,16384
36,142.7238,16384
57,197.063,16384
71,155.7726,16384
78,141.1637,16384
92,152.6695,16384
106,145.3586,16384
113,139.4841,16384
127,142.7441,16384
141,142.9644,16384
148,160.0904,16384
155,155.1844,16384
162,135.3906,16384
169,193.9905,16384
2,210.081,65536
9,218.271,65536
16,218.1273,65536
23,261.2181,65536
30,252.9745,65536
37,218.3249,65536
51,51.8901,65536
58,275.9356,65536
65,34.7546,65536
72,225.8684,65536
79,263.8499,65536
86,38.1474,65536
93,146.6439,65536
100,36.3307,65536
107,146.8677,65536
114,141.8449,65536
121,39.0887,65536
128,157.9867,65536
135,34.7947,65536
142,213.7007,65536
149,221.0513,65536
156,241.8045,65536
163,153.4566,65536
170,276.9442,65536
3,272.055,262144
10,254.0067,262144
17,284.2807,262144
24,358.2217,262144
31,327.3209,262144
38,290.2591,262144
52,70.2206,262144
59,364.5679,262144
66,38.8585,262144
73,282.6527,262144
80,305.6797,262144
87,47.4559,262144
94,154.0108,262144
101,53.3742,262144
108,149.8548,262144
115,154.167,262144
122,43.8674,262144
129,152.4875,262144
136,39.4674,262144
143,280.403,262144
150,309.1789,262144
157,549.9823,262144
164,251.1232,262144
4,304.2184,1048576
11,252.5602,1048576
18,316.2121,1048576
25,390.7468,1048576
32,319.5011,1048576
39,314.059,1048576
53,75.7644,1048576
60,365.8529,1048576
67,53.7044,1048576
74,60.1769,1048576
81,127.7099,1048576
88,54.5922,1048576
95,158.3214,1048576
102,93.4148,1048576
109,181.9531,1048576
116,168.1226,1048576
123,88.9085,1048576
130,164.7752,1048576
137,56.2613,1048576
144,305.0232,1048576
151,299.3973,1048576
165,399.5009,1048576
5,403.2628,4194304
12,410.582,4194304
19,405.5148,4194304
26,523.4373,4194304
33,464.3846,4194304
54,115.4677,4194304
61,193.4393,4194304
68,149.64,4194304
75,445.5901,4194304
82,534.4978,4194304
89,142.0059,4194304
96,366.8739,4194304
103,123.9776,4194304
110,282.1027,4194304
117,351.2207,4194304
124,111.1024,4194304
131,389.8364,4194304
138,125.8072,4194304
145,430.7719,4194304
152,480.5508,4194304
6,982.1019,16777216
13,1129.4511,16777216
20,941.9517,16777216
27,2441.6304,16777216
34,1418.0288,16777216
55,400.4338,16777216
62,525.0993,16777216
69,366.0201,16777216
76,1006.719,16777216
83,1219.726,16777216
90,349.4545,16777216
97,1186.3423,16777216
104,440.7871,16777216
111,913.351,16777216
118,1391.3499,16777216
125,363.9137,16777216
132,1353.4868,16777216
139,563.1623,16777216
146,1168.4827,16777216
153,1548.9128,16777216
