index,Retrieval Time (ms),Size (Bytes)
0,145.5936,4096
28,283.3544,4096
35,143.9917,4096
42,30.0419,4096
49,40.7839,4096
56,41.8364,4096
63,195.3784,4096
70,158.8621,4096
77,243.4818,4096
84,46.557,4096
91,54.7752,4096
98,238.4518,4096
105,156.5274,4096
112,193.8998,4096
119,50.0507,4096
126,54.5898,4096
133,247.1958,4096
140,143.4284,4096
147,218.5775,4096
154,251.6601,4096
161,246.4546,4096
168,261.608,4096
1,143.2478,16384
8,145.8417,16384
22,157.524,16384
29,195.5484,16384
36,150.4608,16384
43,30.9062,16384
50,38.5347,16384
57,35.6539,16384
64,186.9107,16384
71,160.5425,16384
78,152.1495,16384
85,40.5796,16384
92,37.693,16384
99,146.9836,16384
106,146.4329,16384
113,147.8483,16384
120,67.0787,16384
127,39.0168,16384
134,144.9922,16384
141,141.5067,16384
148,149.7657,16384
155,141.7469,16384
162,160.9522,16384
169,169.6862,16384
2,216.7601,65536
9,226.6033,65536
23,238.9715,65536
30,245.2359,65536
37,152.3762,65536
44,42.0989,65536
51,51.0424,65536
58,51.2773,65536
65,259.9721,65536
72,154.5493,65536
79,175.6375,65536
86,45.4844,65536
93,45.8152,65536
100,149.5612,65536
107,149.4533,65536
114,176.1882,65536
121,41.1048,65536
128,39.5205,65536
135,159.5039,65536
142,210.6624,65536
149,241.9431,65536
156,146.7309,65536
163,221.1685,65536
170,296.7676,65536
3,283.0119,262144
10,263.0249,262144
17,80.8767,262144
24,305.8296,262144
31,360.8205,262144
38,174.2566,262144
45,56.0547,262144
52,71.868,262144
59,74.1371,262144
66,348.511,262144
73,155.0778,262144
80,247.2202,262144
87,84.851,262144
94,45.3042,262144
101,155.1269,262144
108,165.3166,262144
115,170.3414,262144
122,52.8068,262144
129,48.0148,262144
136,161.6012,262144
143,281.7296,262144
150,566.5471,262144
157,243.6588,262144
164,306.1551,262144
4,320.9997,1048576
11,284.6526,1048576
18,98.8525,1048576
25,324.0529,1048576
32,370.2967,1048576
39,207.5121,1048576
46,64.9236,1048576
53,89.1404,1048576
60,88.0778,1048576
67,396.7344,1048576
74,189.862,1048576
81,234.9176,1048576
88,68.2802,1048576
95,67.3113,1048576
102,174.9446,1048576
109,160.0163,1048576
116,140.1015,1048576
123,147.5833,1048576
130,78.9883,1048576
137,168.769,1048576
144,306.7744,1048576
158,410.3071,1048576
165,364.6593,1048576
5,439.4122,4194304
12,367.1287,4194304
19,159.2981,4194304
26,482.121,4194304
33,537.57,4194304
40,372.4998,4194304
47,199.9016,4194304
54,127.266,4194304
61,138.3732,4194304
68,211.076,4194304
75,379.6544,4194304
82,573.9674,4194304
89,167.7482,4194304
96,217.9974,4194304
103,389.0025,4194304
110,376.7031,4194304
117,330.2438,4194304
124,315.3795,4194304
131,250.4024,4194304
138,376.2154,4194304
145,487.946,4194304
166,578.6194,4194304
6,1080.8989,16777216
13,1144.6546,16777216
20,459.7128,16777216
27,1028.9452,16777216
41,1163.7251,16777216
48,1110.968,16777216
55,462.3825,16777216
62,455.8535,16777216
69,641.5883,16777216
76,1258.2517,16777216
83,1247.6324,16777216
90,535.9599,16777216
97,591.715,16777216
104,1177.4575,16777216
111,817.7658,16777216
118,1380.2421,16777216
125,828.5257,16777216
132,640.4979,16777216
139,1391.7586,16777216
146,1109.978,16777216
167,1329.5522,16777216
