index,Retrieval Time (ms),Size (Bytes)
0,144.0367,4096
7,5408.4445,4096
14,235.6302,4096
21,288.568,4096
35,176.4784,4096
42,33.987,4096
49,37.6584,4096
56,250.6277,4096
63,59.1537,4096
70,157.6141,4096
77,279.6085,4096
84,45.7334,4096
91,268.5367,4096
98,82.6923,4096
105,177.0696,4096
112,232.4328,4096
119,60.6434,4096
126,282.6806,4096
133,90.3933,4096
140,146.0133,4096
147,392.307,4096
154,209.2169,4096
161,227.0061,4096
168,248.3807,4096
1,143.9444,16384
8,46.7767,16384
15,198.1719,16384
22,187.1673,16384
36,153.1339,16384
43,32.5767,16384
50,37.02,16384
57,194.7462,16384
64,36.5788,16384
71,145.2435,16384
78,142.4133,16384
85,39.4372,16384
92,150.6565,16384
99,37.332,16384
106,139.2006,16384
113,134.5797,16384
120,41.8308,16384
127,146.2096,16384
134,38.5289,16384
141,145.0377,16384
148,156.6955,16384
155,152.6143,16384
162,155.2284,16384
169,158.8244,16384
2,215.8245,65536
9,46.2453,65536
16,382.4618,65536
23,328.6559,65536
37,154.402,65536
44,46.2754,65536
51,53.8316,65536
58,276.4178,65536
65,38.2576,65536
72,217.4539,65536
79,263.8536,65536
86,40.3524,65536
93,146.6936,65536
100,38.84,65536
107,148.3701,65536
114,141.7097,65536
121,41.9954,65536
128,159.1116,65536
135,38.4077,65536
142,217.2072,65536
149,224.9917,65536
156,239.8716,65536
163,224.8247,65536
170,302.2243,65536
3,281.435,262144
10,59.7526,262144
17,706.8433,262144
24,429.7355,262144
31,77.5045,262144
38,173.815,262144
45,58.5837,262144
52,93.4078,262144
59,368.9356,262144
66,40.5236,262144
73,283.308,262144
80,311.8347,262144
87,47.2739,262144
94,158.2904,262144
101,42.5493,262144
108,149.5867,262144
115,155.8547,262144
122,44.8145,262144
129,155.3107,262144
136,42.7812,262144
143,285.2747,262144
150,312.8148,262144
157,564.4411,262144
164,311.0916,262144
171,702.1223,262144
4,307.1052,1048576
11,79.7069,1048576
18,1336.0435,1048576
25,249.6973,1048576
32,73.382,1048576
39,198.1789,1048576
46,67.4719,1048576
53,75.3086,1048576
60,357.0204,1048576
67,52.2756,1048576
74,89.0419,1048576
81,114.9898,1048576
88,53.4536,1048576
95,147.0571,1048576
102,60.6023,1048576
109,175.6012,1048576
116,160.9216,1048576
123,86.2872,1048576
130,173.8088,1048576
137,72.1917,1048576
144,310.7643,1048576
151,310.9924,1048576
158,707.1042,1048576
165,313.0077,1048576
172,1520.9175,1048576
5,553.3609,4194304
12,103.3656,4194304
19,3051.2571,4194304
26,594.2707,4194304
33,122.4023,4194304
40,368.346,4194304
47,123.8932,4194304
54,111.5376,4194304
61,170.0989,4194304
68,122.8607,4194304
75,423.4536,4194304
82,545.5291,4194304
89,143.4121,4194304
96,362.7891,4194304
103,122.6083,4194304
110,318.4235,4194304
117,349.7304,4194304
124,135.3585,4194304
131,376.0459,4194304
138,130.8293,4194304
145,438.9481,4194304
152,458.6571,4194304
159,110.1637,4194304
166,626.1287,4194304
173,3255.0237,4194304
6,911.9098,16777216
13,338.3617,16777216
20,9525.1619,16777216
27,2390.2514,16777216
34,394.5413,16777216
41,1176.0081,16777216
55,960.2334,16777216
62,520.3431,16777216
69,366.8537,16777216
76,1011.2398,16777216
83,1211.511,16777216
90,340.3921,16777216
97,1186.1155,16777216
104,443.6215,16777216
111,872.1451,16777216
118,1402.0721,16777216
125,351.6633,16777216
132,1338.4261,16777216
139,516.1229,16777216
146,1028.7954,16777216
153,1549.4296,16777216
160,345.2242,16777216
167,1317.4044,16777216
174,7143.3392,16777216
