Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 19:52:10,4725.0363,4107,string,4096
Sun Jun 11 2023 19:52:10,155.2943,16398,string,16384
Sun Jun 11 2023 19:52:10,207.4512,65550,string,65536
Sun Jun 11 2023 19:52:10,258.5096,262158,string,262144
Sun Jun 11 2023 19:52:11,305.6576,1048832,string,1048576
Sun Jun 11 2023 19:52:11,384.6763,4195305,string,4194304
Sun Jun 11 2023 19:52:12,1125.1792,16781194,string,16777216
Sun Jun 11 2023 19:52:48,184.9845,4107,string,4096
Sun Jun 11 2023 19:52:48,194.9631,16398,string,16384
Sun Jun 11 2023 19:52:48,308.7493,65550,string,65536
Sun Jun 11 2023 19:52:49,647.5315,262158,string,262144
Sun Jun 11 2023 19:52:50,1451.7399,1048832,string,1048576
Sun Jun 11 2023 19:52:53,3100.5366,4195305,string,4194304
Sun Jun 11 2023 19:53:03,9461.0407,16781194,string,16777216
Sun Jun 11 2023 19:57:29,3703.2178,4107,string,4096
Sun Jun 11 2023 19:57:29,158.7823,16398,string,16384
Sun Jun 11 2023 19:57:29,241.8318,65550,string,65536
Sun Jun 11 2023 19:57:29,313.3344,262158,string,262144
Sun Jun 11 2023 19:57:30,374.8190,1048832,string,1048576
Sun Jun 11 2023 19:57:30,458.1423,4195305,string,4194304
Sun Jun 11 2023 19:57:32,1565.3848,16781194,string,16777216
Sun Jun 11 2023 19:59:28,246.1762,4107,string,4096
Sun Jun 11 2023 19:59:28,178.4796,16398,string,16384
Sun Jun 11 2023 19:59:29,257.4219,65550,string,65536
Sun Jun 11 2023 19:59:29,356.4454,262158,string,262144
Sun Jun 11 2023 19:59:29,418.6325,1048832,string,1048576
Sun Jun 11 2023 19:59:30,532.9601,4195305,string,4194304
Sun Jun 11 2023 19:59:32,2450.2782,16781194,string,16777216
Sun Jun 11 2023 20:00:11,210.5902,4107,string,4096
Sun Jun 11 2023 20:00:11,174.7985,16398,string,16384
Sun Jun 11 2023 20:00:11,253.1280,65550,string,65536
Sun Jun 11 2023 20:00:11,319.0387,262158,string,262144
Sun Jun 11 2023 20:00:12,372.9233,1048832,string,1048576
Sun Jun 11 2023 20:00:12,467.6986,4195305,string,4194304
Sun Jun 11 2023 20:00:14,1379.8777,16781194,string,16777216
Sun Jun 11 2023 20:14:57,4899.9938,4107,string,4096
Sun Jun 11 2023 20:14:57,143.9034,16398,string,16384
Sun Jun 11 2023 20:14:58,206.4432,65550,string,65536
Sun Jun 11 2023 20:14:58,275.5913,262158,string,262144
Sun Jun 11 2023 20:14:58,331.1805,1048832,string,1048576
Sun Jun 11 2023 20:14:59,408.8856,4195305,string,4194304
Sun Jun 11 2023 20:15:00,995.3356,16781194,string,16777216
Sun Jun 11 2023 20:24:51,3573.9638,4107,string,4096
Sun Jun 11 2023 20:24:52,158.9053,16398,string,16384
Sun Jun 11 2023 20:24:52,234.0738,65550,string,65536
Sun Jun 11 2023 20:24:52,297.0237,262158,string,262144
Sun Jun 11 2023 20:24:53,364.1518,1048832,string,1048576
Sun Jun 11 2023 20:24:53,511.8214,4195305,string,4194304
Sun Jun 11 2023 20:24:55,1315.7722,16781194,string,16777216
Sun Jun 11 2023 20:34:45,246.4952,4107,string,4096
Sun Jun 11 2023 20:34:45,178.6954,16398,string,16384
Sun Jun 11 2023 20:34:45,183.4510,65550,string,65536
Sun Jun 11 2023 20:34:45,193.5856,262158,string,262144
Sun Jun 11 2023 20:34:46,224.4898,1048832,string,1048576
Sun Jun 11 2023 20:34:46,337.3279,4195305,string,4194304
Sun Jun 11 2023 20:34:47,1305.1431,16781194,string,16777216
Sun Jun 11 2023 20:44:43,221.0509,4107,string,4096
Sun Jun 11 2023 20:44:43,187.3557,16398,string,16384
Sun Jun 11 2023 20:44:43,258.5804,65550,string,65536
Sun Jun 11 2023 20:44:44,344.7765,262158,string,262144
Sun Jun 11 2023 20:44:44,425.7672,1048832,string,1048576
Sun Jun 11 2023 20:44:44,492.3039,4195305,string,4194304
Sun Jun 11 2023 20:44:46,1239.0408,16781194,string,16777216
Sun Jun 11 2023 20:51:09,195.8107,4107,string,4096
Sun Jun 11 2023 20:51:09,154.5133,16398,string,16384
Sun Jun 11 2023 20:51:09,149.8127,65550,string,65536
Sun Jun 11 2023 20:51:09,165.3329,262158,string,262144
