Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 18:51:25,145.5936,4107,string,4096
Sun Jun 11 2023 18:51:25,143.2478,16398,string,16384
Sun Jun 11 2023 18:51:25,216.7601,65550,string,65536
Sun Jun 11 2023 18:51:25,283.0119,262158,string,262144
Sun Jun 11 2023 18:51:26,320.9997,1048832,string,1048576
Sun Jun 11 2023 18:51:26,439.4122,4195305,string,4194304
Sun Jun 11 2023 18:51:27,1080.8989,16781194,string,16777216
Sun Jun 11 2023 18:52:10,4762.4791,4107,string,4096
Sun Jun 11 2023 18:52:10,145.8417,16398,string,16384
Sun Jun 11 2023 18:52:10,226.6033,65550,string,65536
Sun Jun 11 2023 18:52:10,263.0249,262158,string,262144
Sun Jun 11 2023 18:52:11,284.6526,1048832,string,1048576
Sun Jun 11 2023 18:52:11,367.1287,4195305,string,4194304
Sun Jun 11 2023 18:52:12,1144.6546,16781194,string,16777216
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 18:56:48,80.8767,262158,string,262144
Sun Jun 11 2023 18:56:48,98.8525,1048832,string,1048576
Sun Jun 11 2023 18:56:48,159.2981,4195305,string,4194304
Sun Jun 11 2023 18:56:49,459.7128,16781194,string,16777216
-,-,-
Sun Jun 11 2023 18:58:45,157.5240,16398,string,16384
Sun Jun 11 2023 18:58:45,238.9715,65550,string,65536
Sun Jun 11 2023 18:58:46,305.8296,262158,string,262144
Sun Jun 11 2023 18:58:46,324.0529,1048832,string,1048576
Sun Jun 11 2023 18:58:47,482.1210,4195305,string,4194304
Sun Jun 11 2023 18:58:48,1028.9452,16781194,string,16777216
Sun Jun 11 2023 18:59:28,283.3544,4107,string,4096
Sun Jun 11 2023 18:59:28,195.5484,16398,string,16384
Sun Jun 11 2023 18:59:29,245.2359,65550,string,65536
Sun Jun 11 2023 18:59:29,360.8205,262158,string,262144
Sun Jun 11 2023 18:59:29,370.2967,1048832,string,1048576
Sun Jun 11 2023 18:59:30,537.5700,4195305,string,4194304
Sun Jun 11 2023 18:59:33,2631.7062,16781194,string,16777216
Sun Jun 11 2023 19:04:56,143.9917,4107,string,4096
Sun Jun 11 2023 19:04:56,150.4608,16398,string,16384
Sun Jun 11 2023 19:04:56,152.3762,65550,string,65536
Sun Jun 11 2023 19:04:56,174.2566,262158,string,262144
Sun Jun 11 2023 19:04:57,207.5121,1048832,string,1048576
Sun Jun 11 2023 19:04:57,372.4998,4195305,string,4194304
Sun Jun 11 2023 19:04:58,1163.7251,16781194,string,16777216
Sun Jun 11 2023 19:15:33,30.0419,4107,string,4096
Sun Jun 11 2023 19:15:33,30.9062,16398,string,16384
Sun Jun 11 2023 19:15:33,42.0989,65550,string,65536
Sun Jun 11 2023 19:15:33,56.0547,262158,string,262144
Sun Jun 11 2023 19:15:33,64.9236,1048832,string,1048576
Sun Jun 11 2023 19:15:33,199.9016,4195305,string,4194304
Sun Jun 11 2023 19:15:34,1110.9680,16781194,string,16777216
Sun Jun 11 2023 19:25:28,40.7839,4107,string,4096
Sun Jun 11 2023 19:25:28,38.5347,16398,string,16384
Sun Jun 11 2023 19:25:28,51.0424,65550,string,65536
Sun Jun 11 2023 19:25:28,71.8680,262158,string,262144
Sun Jun 11 2023 19:25:28,89.1404,1048832,string,1048576
Sun Jun 11 2023 19:25:28,127.2660,4195305,string,4194304
Sun Jun 11 2023 19:25:29,462.3825,16781194,string,16777216
Sun Jun 11 2023 19:34:45,41.8364,4107,string,4096
Sun Jun 11 2023 19:34:45,35.6539,16398,string,16384
Sun Jun 11 2023 19:34:45,51.2773,65550,string,65536
Sun Jun 11 2023 19:34:45,74.1371,262158,string,262144
Sun Jun 11 2023 19:34:45,88.0778,1048832,string,1048576
Sun Jun 11 2023 19:34:45,138.3732,4195305,string,4194304
Sun Jun 11 2023 19:34:46,455.8535,16781194,string,16777216
Sun Jun 11 2023 19:44:43,195.3784,4107,string,4096
Sun Jun 11 2023 19:44:43,186.9107,16398,string,16384
Sun Jun 11 2023 19:44:43,259.9721,65550,string,65536
Sun Jun 11 2023 19:44:44,348.5110,262158,string,262144
Sun Jun 11 2023 19:44:44,396.7344,1048832,string,1048576
Sun Jun 11 2023 19:44:44,211.0760,4195305,string,4194304
Sun Jun 11 2023 19:44:45,641.5883,16781194,string,16777216
Sun Jun 11 2023 19:52:37,158.8621,4107,string,4096
Sun Jun 11 2023 19:52:37,160.5425,16398,string,16384
Sun Jun 11 2023 19:52:37,154.5493,65550,string,65536
Sun Jun 11 2023 19:52:37,155.0778,262158,string,262144
Sun Jun 11 2023 19:52:37,189.8620,1048832,string,1048576
Sun Jun 11 2023 19:52:38,379.6544,4195305,string,4194304
Sun Jun 11 2023 19:52:39,1258.2517,16781194,string,16777216
Sun Jun 11 2023 19:53:16,243.4818,4107,string,4096
Sun Jun 11 2023 19:53:16,152.1495,16398,string,16384
Sun Jun 11 2023 19:53:16,175.6375,65550,string,65536
Sun Jun 11 2023 19:53:17,247.2202,262158,string,262144
Sun Jun 11 2023 19:53:17,234.9176,1048832,string,1048576
Sun Jun 11 2023 19:53:17,573.9674,4195305,string,4194304
Sun Jun 11 2023 19:53:19,1247.6324,16781194,string,16777216
Sun Jun 11 2023 19:53:55,46.5570,4107,string,4096
Sun Jun 11 2023 19:53:55,40.5796,16398,string,16384
Sun Jun 11 2023 19:53:55,45.4844,65550,string,65536
Sun Jun 11 2023 19:53:55,84.8510,262158,string,262144
Sun Jun 11 2023 19:53:55,68.2802,1048832,string,1048576
Sun Jun 11 2023 19:53:55,167.7482,4195305,string,4194304
Sun Jun 11 2023 19:53:56,535.9599,16781194,string,16777216
Sun Jun 11 2023 19:54:35,54.7752,4107,string,4096
Sun Jun 11 2023 19:54:35,37.6930,16398,string,16384
Sun Jun 11 2023 19:54:35,45.8152,65550,string,65536
Sun Jun 11 2023 19:54:35,45.3042,262158,string,262144
Sun Jun 11 2023 19:54:35,67.3113,1048832,string,1048576
Sun Jun 11 2023 19:54:35,217.9974,4195305,string,4194304
Sun Jun 11 2023 19:54:36,591.7150,16781194,string,16777216
Sun Jun 11 2023 19:55:16,238.4518,4107,string,4096
Sun Jun 11 2023 19:55:16,146.9836,16398,string,16384
Sun Jun 11 2023 19:55:16,149.5612,65550,string,65536
Sun Jun 11 2023 19:55:16,155.1269,262158,string,262144
Sun Jun 11 2023 19:55:17,174.9446,1048832,string,1048576
Sun Jun 11 2023 19:55:17,389.0025,4195305,string,4194304
Sun Jun 11 2023 19:55:18,1177.4575,16781194,string,16777216
Sun Jun 11 2023 19:56:44,156.5274,4107,string,4096
Sun Jun 11 2023 19:56:44,146.4329,16398,string,16384
Sun Jun 11 2023 19:56:44,149.4533,65550,string,65536
Sun Jun 11 2023 19:56:44,165.3166,262158,string,262144
Sun Jun 11 2023 19:56:45,160.0163,1048832,string,1048576
Sun Jun 11 2023 19:56:45,376.7031,4195305,string,4194304
Sun Jun 11 2023 19:56:46,817.7658,16781194,string,16777216
Sun Jun 11 2023 19:57:23,193.8998,4107,string,4096
Sun Jun 11 2023 19:57:23,147.8483,16398,string,16384
Sun Jun 11 2023 19:57:23,176.1882,65550,string,65536
