Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 18:51:25,144.0367,4107,string,4096
Sun Jun 11 2023 18:51:25,143.9444,16398,string,16384
Sun Jun 11 2023 18:51:25,215.8245,65550,string,65536
Sun Jun 11 2023 18:51:25,281.4350,262158,string,262144
Sun Jun 11 2023 18:51:25,307.1052,1048832,string,1048576
Sun Jun 11 2023 18:51:26,553.3609,4195305,string,4194304
Sun Jun 11 2023 18:51:27,911.9098,16781194,string,16777216
Sun Jun 11 2023 18:52:10,5408.4445,4107,string,4096
Sun Jun 11 2023 18:52:10,46.7767,16398,string,16384
Sun Jun 11 2023 18:52:10,46.2453,65550,string,65536
Sun Jun 11 2023 18:52:10,59.7526,262158,string,262144
Sun Jun 11 2023 18:52:11,79.7069,1048832,string,1048576
Sun Jun 11 2023 18:52:11,103.3656,4195305,string,4194304
Sun Jun 11 2023 18:52:11,338.3617,16781194,string,16777216
Sun Jun 11 2023 18:52:48,235.6302,4107,string,4096
Sun Jun 11 2023 18:52:48,198.1719,16398,string,16384
Sun Jun 11 2023 18:52:48,382.4618,65550,string,65536
Sun Jun 11 2023 18:52:49,706.8433,262158,string,262144
Sun Jun 11 2023 18:52:50,1336.0435,1048832,string,1048576
Sun Jun 11 2023 18:52:53,3051.2571,4195305,string,4194304
Sun Jun 11 2023 18:53:03,9525.1619,16781194,string,16777216
Sun Jun 11 2023 18:59:28,288.5680,4107,string,4096
Sun Jun 11 2023 18:59:28,187.1673,16398,string,16384
Sun Jun 11 2023 18:59:29,328.6559,65550,string,65536
Sun Jun 11 2023 18:59:29,429.7355,262158,string,262144
Sun Jun 11 2023 18:59:29,249.6973,1048832,string,1048576
Sun Jun 11 2023 18:59:30,594.2707,4195305,string,4194304
Sun Jun 11 2023 18:59:33,2390.2514,16781194,string,16777216
-,-,-
-,-,-
-,-,-
Sun Jun 11 2023 19:04:11,77.5045,262158,string,262144
Sun Jun 11 2023 19:04:11,73.3820,1048832,string,1048576
Sun Jun 11 2023 19:04:11,122.4023,4195305,string,4194304
Sun Jun 11 2023 19:04:11,394.5413,16781194,string,16777216
Sun Jun 11 2023 19:04:56,176.4784,4107,string,4096
Sun Jun 11 2023 19:04:56,153.1339,16398,string,16384
Sun Jun 11 2023 19:04:56,154.4020,65550,string,65536
Sun Jun 11 2023 19:04:57,173.8150,262158,string,262144
Sun Jun 11 2023 19:04:57,198.1789,1048832,string,1048576
Sun Jun 11 2023 19:04:57,368.3460,4195305,string,4194304
Sun Jun 11 2023 19:04:58,1176.0081,16781194,string,16777216
Sun Jun 11 2023 19:15:33,33.9870,4107,string,4096
Sun Jun 11 2023 19:15:33,32.5767,16398,string,16384
Sun Jun 11 2023 19:15:33,46.2754,65550,string,65536
Sun Jun 11 2023 19:15:33,58.5837,262158,string,262144
Sun Jun 11 2023 19:15:33,67.4719,1048832,string,1048576
Sun Jun 11 2023 19:15:33,123.8932,4195305,string,4194304
-,-,-
Sun Jun 11 2023 19:25:28,37.6584,4107,string,4096
Sun Jun 11 2023 19:25:28,37.0200,16398,string,16384
Sun Jun 11 2023 19:25:28,53.8316,65550,string,65536
Sun Jun 11 2023 19:25:28,93.4078,262158,string,262144
Sun Jun 11 2023 19:25:28,75.3086,1048832,string,1048576
Sun Jun 11 2023 19:25:28,111.5376,4195305,string,4194304
Sun Jun 11 2023 19:25:29,960.2334,16781194,string,16777216
Sun Jun 11 2023 19:44:43,250.6277,4107,string,4096
Sun Jun 11 2023 19:44:43,194.7462,16398,string,16384
Sun Jun 11 2023 19:44:43,276.4178,65550,string,65536
