Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Sun Jun 11 2023 18:51:25,158.4446,4107,string,4096
Sun Jun 11 2023 18:51:25,156.7623,16398,string,16384
Sun Jun 11 2023 18:51:25,233.2301,65550,string,65536
Sun Jun 11 2023 18:51:25,306.7343,262158,string,262144
Sun Jun 11 2023 18:51:26,350.3085,1048832,string,1048576
Sun Jun 11 2023 18:51:26,506.3930,4195305,string,4194304
Sun Jun 11 2023 18:51:27,1163.1128,16781194,string,16777216
Sun Jun 11 2023 18:52:10,4773.9155,4107,string,4096
Sun Jun 11 2023 18:52:10,158.6111,16398,string,16384
Sun Jun 11 2023 18:52:10,217.0544,65550,string,65536
Sun Jun 11 2023 18:52:10,262.5428,262158,string,262144
Sun Jun 11 2023 18:52:11,279.6964,1048832,string,1048576
Sun Jun 11 2023 18:52:11,422.4391,4195305,string,4194304
Sun Jun 11 2023 18:52:12,1106.3274,16781194,string,16777216
Sun Jun 11 2023 18:52:48,229.3118,4107,string,4096
Sun Jun 11 2023 18:52:48,192.0462,16398,string,16384
Sun Jun 11 2023 18:52:48,319.7430,65550,string,65536
Sun Jun 11 2023 18:52:49,656.3073,262158,string,262144
Sun Jun 11 2023 18:52:50,1407.2542,1048832,string,1048576
Sun Jun 11 2023 18:52:53,3076.9853,4195305,string,4194304
Sun Jun 11 2023 18:53:03,9522.8106,16781194,string,16777216
-,-,-
Sun Jun 11 2023 18:58:45,171.7453,16398,string,16384
Sun Jun 11 2023 18:58:45,240.3693,65550,string,65536
Sun Jun 11 2023 18:58:46,315.4181,262158,string,262144
Sun Jun 11 2023 18:58:46,372.1811,1048832,string,1048576
Sun Jun 11 2023 18:58:47,452.8758,4195305,string,4194304
Sun Jun 11 2023 18:58:48,1331.3455,16781194,string,16777216
Sun Jun 11 2023 19:00:11,250.9867,4107,string,4096
Sun Jun 11 2023 19:00:11,184.2823,16398,string,16384
Sun Jun 11 2023 19:00:11,257.1761,65550,string,65536
