index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
21,Sun Jun 11 2023 18:59:28,291.3622,4107.0,string,4096
28,Sun Jun 11 2023 19:00:11,259.7864,4107.0,string,4096
35,Sun Jun 11 2023 19:04:56,145.6866,4107.0,string,4096
49,Sun Jun 11 2023 19:34:45,37.1519,4107.0,string,4096
56,Sun Jun 11 2023 19:44:43,245.6253,4107.0,string,4096
63,Sun Jun 11 2023 19:51:08,37.4751,4107.0,string,4096
70,Sun Jun 11 2023 19:52:37,154.5304,4107.0,string,4096
77,Sun Jun 11 2023 19:53:16,262.9456,4107.0,string,4096
84,Sun Jun 11 2023 19:54:35,42.3888,4107.0,string,4096
91,Sun Jun 11 2023 19:55:16,248.7321,4107.0,string,4096
98,Sun Jun 11 2023 19:55:56,37.0757,4107.0,string,4096
105,Sun Jun 11 2023 19:56:44,148.9611,4107.0,string,4096
112,Sun Jun 11 2023 19:57:23,208.8709,4107.0,string,4096
119,Sun Jun 11 2023 19:58:41,43.7226,4107.0,string,4096
126,Sun Jun 11 2023 19:59:23,267.3268,4107.0,string,4096
133,Sun Jun 11 2023 20:00:03,71.4834,4107.0,string,4096
140,Sun Jun 18 2023 19:35:44,142.5869,4107.0,string,4096
147,Sun Jun 18 2023 19:35:55,382.2474,4107.0,string,4096
154,Sun Jun 18 2023 19:36:06,198.5767,4107.0,string,4096
161,Sun Jun 18 2023 19:36:24,224.1431,4107.0,string,4096
168,Sun Jun 18 2023 19:36:48,223.7741,4107.0,string,4096
175,Sun Jun 11 2023 20:56:21,161.0296,4107.0,string,4096
210,Sun Jun 11 2023 21:55:27,142.7911,4107.0,string,4096
245,Thu Jun 15 2023 23:59:13,142.4638,4107.0,string,4096
252,Fri Jun 16 2023 00:00:49,41.5202,4107.0,string,4096
259,Fri Jun 16 2023 00:11:04,40.3534,4107.0,string,4096
266,Fri Jun 16 2023 00:12:33,31.0201,4107.0,string,4096
273,Fri Jun 16 2023 00:17:06,86.2282,4107.0,string,4096
280,Fri Jun 16 2023 00:22:06,143.7731,4107.0,string,4096
287,Fri Jun 16 2023 00:23:00,35.1239,4107.0,string,4096
294,Fri Jun 16 2023 00:26:30,35.7453,4107.0,string,4096
301,Fri Jun 16 2023 00:33:28,80.8555,4107.0,string,4096
308,Fri Jun 16 2023 00:34:25,40.1464,4107.0,string,4096
322,Fri Jun 16 2023 00:41:58,83.5974,4107.0,string,4096
336,Fri Jun 16 2023 00:56:24,51.7427,4107.0,string,4096
343,Fri Jun 16 2023 00:57:10,62.8781,4107.0,string,4096
357,Fri Jun 16 2023 01:01:56,303.0633,4107.0,string,4096
371,Fri Jun 16 2023 01:14:16,61.591,4107.0,string,4096
378,Fri Jun 16 2023 01:15:46,64.1605,4107.0,string,4096
385,Sun Jun 18 2023 19:37:13,142.0376,4107.0,string,4096
