index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 18:51:25,144.0367,4107.0,string,4096
14,Sun Jun 11 2023 18:52:48,235.6302,4107.0,string,4096
21,Sun Jun 11 2023 18:59:28,288.568,4107.0,string,4096
35,Sun Jun 11 2023 19:04:56,176.4784,4107.0,string,4096
42,Sun Jun 11 2023 19:15:33,33.987,4107.0,string,4096
49,Sun Jun 11 2023 19:25:28,37.6584,4107.0,string,4096
56,Sun Jun 11 2023 19:44:43,250.6277,4107.0,string,4096
63,Sun Jun 11 2023 19:51:08,59.1537,4107.0,string,4096
70,Sun Jun 11 2023 19:52:37,157.6141,4107.0,string,4096
77,Sun Jun 11 2023 19:53:16,279.6085,4107.0,string,4096
84,Sun Jun 11 2023 19:53:55,45.7334,4107.0,string,4096
91,Sun Jun 11 2023 19:55:16,268.5367,4107.0,string,4096
98,Sun Jun 11 2023 19:55:56,82.6923,4107.0,string,4096
105,Sun Jun 11 2023 19:56:44,177.0696,4107.0,string,4096
112,Sun Jun 11 2023 19:57:23,232.4328,4107.0,string,4096
119,Sun Jun 11 2023 19:58:01,60.6434,4107.0,string,4096
126,Sun Jun 11 2023 19:59:23,282.6806,4107.0,string,4096
133,Sun Jun 11 2023 20:00:03,90.3933,4107.0,string,4096
140,Sun Jun 18 2023 19:35:44,146.0133,4107.0,string,4096
147,Sun Jun 18 2023 19:35:55,392.307,4107.0,string,4096
154,Sun Jun 18 2023 19:36:06,209.2169,4107.0,string,4096
161,Sun Jun 18 2023 19:36:36,227.0061,4107.0,string,4096
168,Sun Jun 18 2023 19:36:48,248.3807,4107.0,string,4096
175,Sun Jun 11 2023 20:56:21,144.3139,4107.0,string,4096
182,Sun Jun 11 2023 21:05:34,38.0006,4107.0,string,4096
203,Sun Jun 11 2023 21:35:25,50.7323,4107.0,string,4096
210,Sun Jun 11 2023 21:55:27,140.7087,4107.0,string,4096
231,Sun Jun 11 2023 22:23:55,33.9452,4107.0,string,4096
245,Thu Jun 15 2023 23:59:13,142.2284,4107.0,string,4096
252,Fri Jun 16 2023 00:00:49,38.9322,4107.0,string,4096
273,Fri Jun 16 2023 00:17:06,55.0355,4107.0,string,4096
280,Fri Jun 16 2023 00:22:06,147.7175,4107.0,string,4096
287,Fri Jun 16 2023 00:23:00,35.9067,4107.0,string,4096
294,Fri Jun 16 2023 00:26:30,38.3865,4107.0,string,4096
315,Fri Jun 16 2023 00:40:58,144.2034,4107.0,string,4096
322,Fri Jun 16 2023 00:41:58,37.0314,4107.0,string,4096
329,Fri Jun 16 2023 00:45:27,44.1466,4107.0,string,4096
350,Fri Jun 16 2023 01:00:53,147.106,4107.0,string,4096
371,Fri Jun 16 2023 01:10:19,33.7944,4107.0,string,4096
385,Sun Jun 18 2023 19:37:13,161.4863,4107.0,string,4096
427,Mon Jun 12 2023 22:46:27,57.0023,4107.0,string,4096
434,Mon Jun 12 2023 22:51:45,35.5063,4107.0,string,4096
462,Tue Jun 13 2023 00:36:31,38.0158,4107.0,string,4096
490,Sun Jun 18 2023 21:27:08,141.93,4107.0,string,4096
497,Sun Jun 18 2023 21:27:21,285.5761,4107.0,string,4096
525,Sun Jun 11 2023 22:53:54,144.2412,4107.0,string,4096
574,Mon Jun 12 2023 23:32:36,48.1513,4107.0,string,4096
581,Mon Jun 12 2023 23:41:13,32.3173,4107.0,string,4096
602,Fri Jun 16 2023 01:31:05,55.3466,4107.0,string,4096
609,Fri Jun 16 2023 01:34:39,33.4843,4107.0,string,4096
630,Sun Jun 18 2023 20:32:44,137.7787,4107.0,string,4096
1,Sun Jun 11 2023 18:51:25,143.9444,16398.0,string,16384
8,Sun Jun 11 2023 18:52:10,46.7767,16398.0,string,16384
15,Sun Jun 11 2023 18:52:48,198.1719,16398.0,string,16384
22,Sun Jun 11 2023 18:59:28,187.1673,16398.0,string,16384
36,Sun Jun 11 2023 19:04:56,153.1339,16398.0,string,16384
43,Sun Jun 11 2023 19:15:33,32.5767,16398.0,string,16384
50,Sun Jun 11 2023 19:25:28,37.02,16398.0,string,16384
57,Sun Jun 11 2023 19:44:43,194.7462,16398.0,string,16384
64,Sun Jun 11 2023 19:51:09,36.5788,16398.0,string,16384
71,Sun Jun 11 2023 19:52:37,145.2435,16398.0,string,16384
78,Sun Jun 11 2023 19:53:16,142.4133,16398.0,string,16384
85,Sun Jun 11 2023 19:53:55,39.4372,16398.0,string,16384
92,Sun Jun 11 2023 19:55:16,150.6565,16398.0,string,16384
99,Sun Jun 11 2023 19:55:57,37.332,16398.0,string,16384
106,Sun Jun 11 2023 19:56:44,139.2006,16398.0,string,16384
113,Sun Jun 11 2023 19:57:23,134.5797,16398.0,string,16384
120,Sun Jun 11 2023 19:58:01,41.8308,16398.0,string,16384
127,Sun Jun 11 2023 19:59:23,146.2096,16398.0,string,16384
134,Sun Jun 11 2023 20:00:04,38.5289,16398.0,string,16384
141,Sun Jun 18 2023 19:35:44,145.0377,16398.0,string,16384
148,Sun Jun 18 2023 19:35:55,156.6955,16398.0,string,16384
155,Sun Jun 18 2023 19:36:06,152.6143,16398.0,string,16384
162,Sun Jun 18 2023 19:36:36,155.2284,16398.0,string,16384
169,Sun Jun 18 2023 19:36:48,158.8244,16398.0,string,16384
197,Sun Jun 11 2023 21:25:32,149.4256,16398.0,string,16384
211,Sun Jun 11 2023 21:55:27,141.9872,16398.0,string,16384
246,Thu Jun 15 2023 23:59:13,140.1584,16398.0,string,16384
253,Fri Jun 16 2023 00:00:49,34.8208,16398.0,string,16384
260,Fri Jun 16 2023 00:13:21,37.3098,16398.0,string,16384
267,Fri Jun 16 2023 00:15:34,40.7994,16398.0,string,16384
281,Fri Jun 16 2023 00:22:06,111.6039,16398.0,string,16384
302,Fri Jun 16 2023 00:31:17,43.915,16398.0,string,16384
