index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 19:52:10,4725.0363,4107.0,string,4096
7,Sun Jun 11 2023 19:52:48,184.9845,4107.0,string,4096
14,Sun Jun 11 2023 19:57:29,3703.2178,4107.0,string,4096
21,Sun Jun 11 2023 19:59:28,246.1762,4107.0,string,4096
28,Sun Jun 11 2023 20:00:11,210.5902,4107.0,string,4096
35,Sun Jun 11 2023 20:14:57,4899.9938,4107.0,string,4096
42,Sun Jun 11 2023 20:24:51,3573.9638,4107.0,string,4096
49,Sun Jun 11 2023 20:34:45,246.4952,4107.0,string,4096
56,Sun Jun 11 2023 20:44:43,221.0509,4107.0,string,4096
63,Sun Jun 11 2023 20:51:09,195.8107,4107.0,string,4096
70,Sun Jun 11 2023 20:53:16,197.3476,4107.0,string,4096
77,Sun Jun 11 2023 20:53:55,162.7865,4107.0,string,4096
84,Sun Jun 11 2023 20:54:35,242.4971,4107.0,string,4096
91,Sun Jun 11 2023 20:55:16,201.4495,4107.0,string,4096
98,Sun Jun 11 2023 20:55:57,212.7416,4107.0,string,4096
105,Sun Jun 11 2023 20:57:23,139.8162,4107.0,string,4096
112,Sun Jun 11 2023 20:58:01,176.9988,4107.0,string,4096
119,Sun Jun 11 2023 20:58:42,214.661,4107.0,string,4096
126,Sun Jun 11 2023 20:59:23,194.353,4107.0,string,4096
133,Sun Jun 11 2023 21:00:04,194.0748,4107.0,string,4096
140,Sun Jun 18 2023 20:35:55,343.4004,4107.0,string,4096
147,Sun Jun 18 2023 20:36:06,162.8688,4107.0,string,4096
154,Sun Jun 18 2023 20:36:24,189.5372,4107.0,string,4096
161,Sun Jun 18 2023 20:36:36,186.4719,4107.0,string,4096
168,Sun Jun 18 2023 20:36:48,195.3311,4107.0,string,4096
175,Sun Jun 11 2023 22:05:37,3078.7536,4107.0,string,4096
182,Sun Jun 11 2023 22:15:33,1817.9503,4107.0,string,4096
189,Sun Jun 11 2023 22:25:31,3732.2852,4107.0,string,4096
196,Sun Jun 11 2023 22:35:25,173.7355,4107.0,string,4096
203,Sun Jun 11 2023 22:45:25,3629.593,4107.0,string,4096
210,Sun Jun 11 2023 23:04:03,1551.0897,4107.0,string,4096
217,Sun Jun 11 2023 23:14:05,5819.6734,4107.0,string,4096
224,Sun Jun 11 2023 23:24:35,140.4202,4107.0,string,4096
231,Sun Jun 11 2023 23:34:37,4234.7598,4107.0,string,4096
238,Sun Jun 11 2023 23:43:50,1588.0865,4107.0,string,4096
252,Fri Jun 16 2023 01:11:47,3597.6981,4107.0,string,4096
259,Fri Jun 16 2023 01:12:33,196.1349,4107.0,string,4096
266,Fri Jun 16 2023 01:14:14,213.4019,4107.0,string,4096
273,Fri Jun 16 2023 01:17:50,4021.6706,4107.0,string,4096
280,Fri Jun 16 2023 01:23:00,202.9066,4107.0,string,4096
287,Fri Jun 16 2023 01:26:30,264.107,4107.0,string,4096
294,Fri Jun 16 2023 01:30:41,4167.0482,4107.0,string,4096
301,Fri Jun 16 2023 01:33:29,220.3739,4107.0,string,4096
308,Fri Jun 16 2023 01:34:30,5172.6132,4107.0,string,4096
315,Fri Jun 16 2023 01:41:58,202.2927,4107.0,string,4096
329,Fri Jun 16 2023 01:55:39,4809.2736,4107.0,string,4096
336,Fri Jun 16 2023 01:56:24,206.7203,4107.0,string,4096
343,Fri Jun 16 2023 01:57:10,220.5538,4107.0,string,4096
350,Fri Jun 16 2023 02:01:56,247.8514,4107.0,string,4096
357,Fri Jun 16 2023 02:08:08,1442.9673,4107.0,string,4096
364,Fri Jun 16 2023 02:10:19,228.0239,4107.0,string,4096
371,Fri Jun 16 2023 02:14:16,208.9778,4107.0,string,4096
378,Fri Jun 16 2023 02:15:46,223.8324,4107.0,string,4096
392,Sun Jun 18 2023 20:54:54,5118.853,4107.0,string,4096
399,Sun Jun 18 2023 21:04:57,1268.1515,4107.0,string,4096
406,Sun Jun 18 2023 21:13:42,195.1584,4107.0,string,4096
413,Sun Jun 18 2023 21:23:50,192.8658,4107.0,string,4096
420,Mon Jun 12 2023 23:43:47,244.051,4107.0,string,4096
427,Mon Jun 12 2023 23:44:56,252.4991,4107.0,string,4096
434,Mon Jun 12 2023 23:47:10,3475.845,4107.0,string,4096
441,Mon Jun 12 2023 23:51:06,212.5823,4107.0,string,4096
448,Mon Jun 12 2023 23:53:02,194.3725,4107.0,string,4096
455,Tue Jun 13 2023 01:36:31,182.1671,4107.0,string,4096
462,Tue Jun 13 2023 01:37:11,241.8625,4107.0,string,4096
469,Tue Jun 13 2023 01:45:52,2862.1889,4107.0,string,4096
476,Tue Jun 13 2023 01:55:48,224.6132,4107.0,string,4096
483,Tue Jun 13 2023 02:05:45,1426.8741,4107.0,string,4096
490,Sun Jun 18 2023 22:27:21,245.61,4107.0,string,4096
497,Sun Jun 18 2023 22:35:37,5784.9753,4107.0,string,4096
518,Sun Jun 18 2023 23:04:38,3598.1859,4107.0,string,4096
525,Mon Jun 12 2023 00:03:12,1493.2776,4107.0,string,4096
532,Mon Jun 12 2023 00:12:35,5303.7438,4107.0,string,4096
539,Mon Jun 12 2023 00:22:30,1275.5834,4107.0,string,4096
546,Mon Jun 12 2023 00:32:34,5407.6436,4107.0,string,4096
553,Mon Jun 12 2023 00:42:27,1817.8016,4107.0,string,4096
567,Tue Jun 13 2023 00:22:36,174.2003,4107.0,string,4096
574,Tue Jun 13 2023 00:31:57,223.0396,4107.0,string,4096
581,Tue Jun 13 2023 00:41:14,147.5599,4107.0,string,4096
588,Tue Jun 13 2023 00:49:52,216.6974,4107.0,string,4096
595,Fri Jun 16 2023 02:31:05,200.0256,4107.0,string,4096
602,Fri Jun 16 2023 02:34:39,197.1011,4107.0,string,4096
609,Fri Jun 16 2023 02:38:50,293.5567,4107.0,string,4096
616,Fri Jun 16 2023 02:40:35,254.0181,4107.0,string,4096
623,Fri Jun 16 2023 02:48:47,202.5033,4107.0,string,4096
630,Sun Jun 18 2023 21:39:37,202.2048,4107.0,string,4096
637,Sun Jun 18 2023 21:49:50,5108.5128,4107.0,string,4096
644,Sun Jun 18 2023 21:59:15,1782.0534,4107.0,string,4096
651,Sun Jun 18 2023 22:08:04,2207.1338,4107.0,string,4096
1,Sun Jun 11 2023 19:52:10,155.2943,16398.0,string,16384
8,Sun Jun 11 2023 19:52:48,194.9631,16398.0,string,16384
15,Sun Jun 11 2023 19:57:29,158.7823,16398.0,string,16384
22,Sun Jun 11 2023 19:59:28,178.4796,16398.0,string,16384
29,Sun Jun 11 2023 20:00:11,174.7985,16398.0,string,16384
36,Sun Jun 11 2023 20:14:57,143.9034,16398.0,string,16384
43,Sun Jun 11 2023 20:24:52,158.9053,16398.0,string,16384
50,Sun Jun 11 2023 20:34:45,178.6954,16398.0,string,16384
57,Sun Jun 11 2023 20:44:43,187.3557,16398.0,string,16384
64,Sun Jun 11 2023 20:51:09,154.5133,16398.0,string,16384
71,Sun Jun 11 2023 20:53:16,128.8468,16398.0,string,16384
78,Sun Jun 11 2023 20:53:55,166.9024,16398.0,string,16384
85,Sun Jun 11 2023 20:54:35,191.0058,16398.0,string,16384
92,Sun Jun 11 2023 20:55:16,131.1359,16398.0,string,16384
99,Sun Jun 11 2023 20:55:57,185.819,16398.0,string,16384
106,Sun Jun 11 2023 20:57:23,128.675,16398.0,string,16384
113,Sun Jun 11 2023 20:58:01,190.7881,16398.0,string,16384
120,Sun Jun 11 2023 20:58:42,165.4461,16398.0,string,16384
127,Sun Jun 11 2023 20:59:23,139.8425,16398.0,string,16384
134,Sun Jun 11 2023 21:00:04,150.0604,16398.0,string,16384
141,Sun Jun 18 2023 20:35:55,156.1234,16398.0,string,16384
148,Sun Jun 18 2023 20:36:06,147.4598,16398.0,string,16384
155,Sun Jun 18 2023 20:36:24,138.1292,16398.0,string,16384
162,Sun Jun 18 2023 20:36:36,153.944,16398.0,string,16384
169,Sun Jun 18 2023 20:36:48,169.5053,16398.0,string,16384
176,Sun Jun 11 2023 22:05:37,164.0561,16398.0,string,16384
183,Sun Jun 11 2023 22:15:38,5038.2589,16398.0,string,16384
190,Sun Jun 11 2023 22:25:31,137.7984,16398.0,string,16384
197,Sun Jun 11 2023 22:35:32,6866.9728,16398.0,string,16384
204,Sun Jun 11 2023 22:45:25,170.4041,16398.0,string,16384
211,Sun Jun 11 2023 23:04:05,1402.5652,16398.0,string,16384
225,Sun Jun 11 2023 23:24:36,132.2378,16398.0,string,16384
232,Sun Jun 11 2023 23:34:37,179.3476,16398.0,string,16384
239,Sun Jun 11 2023 23:43:52,1470.9049,16398.0,string,16384
253,Fri Jun 16 2023 01:11:48,167.7284,16398.0,string,16384
260,Fri Jun 16 2023 01:12:43,10072.6853,16398.0,string,16384
267,Fri Jun 16 2023 01:14:58,4226.3028,16398.0,string,16384
281,Fri Jun 16 2023 01:23:43,3075.8147,16398.0,string,16384
288,Fri Jun 16 2023 01:27:17,6221.5228,16398.0,string,16384
295,Fri Jun 16 2023 01:30:42,175.8538,16398.0,string,16384
302,Fri Jun 16 2023 01:33:29,162.5684,16398.0,string,16384
309,Fri Jun 16 2023 01:34:30,175.3678,16398.0,string,16384
316,Fri Jun 16 2023 01:42:03,5016.2655,16398.0,string,16384
330,Fri Jun 16 2023 01:55:39,154.7974,16398.0,string,16384
337,Fri Jun 16 2023 01:56:26,1944.9714,16398.0,string,16384
351,Fri Jun 16 2023 02:02:37,1213.071,16398.0,string,16384
358,Fri Jun 16 2023 02:08:48,190.5509,16398.0,string,16384
365,Fri Jun 16 2023 02:10:20,153.542,16398.0,string,16384
372,Fri Jun 16 2023 02:14:20,3976.9071,16398.0,string,16384
379,Fri Jun 16 2023 02:15:46,159.7967,16398.0,string,16384
386,Sun Jun 18 2023 20:46:42,167.7953,16398.0,string,16384
393,Sun Jun 18 2023 20:54:54,138.6538,16398.0,string,16384
400,Sun Jun 18 2023 21:04:57,159.6141,16398.0,string,16384
407,Sun Jun 18 2023 21:13:49,7143.9562,16398.0,string,16384
414,Sun Jun 18 2023 21:23:50,153.709,16398.0,string,16384
