index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 18:51:26,1954.8865,4107.0,string,4096
7,Sun Jun 11 2023 18:52:10,4784.0274,4107.0,string,4096
315,Fri Jun 16 2023 00:41:39,1162.0741,4107.0,string,4096
350,Fri Jun 16 2023 01:00:54,1407.1781,4107.0,string,4096
406,Sun Jun 18 2023 20:04:18,2898.114,4107.0,string,4096
420,Mon Jun 12 2023 22:43:54,7483.9935,4107.0,string,4096
462,Tue Jun 13 2023 00:36:32,1211.9889,4107.0,string,4096
574,Mon Jun 12 2023 23:22:01,4380.8899,4107.0,string,4096
651,Sun Jun 18 2023 20:58:38,4623.3163,4107.0,string,4096
330,Fri Jun 16 2023 00:56:16,1457.0289,16398.0,string,16384
337,Fri Jun 16 2023 00:56:27,2233.2721,16398.0,string,16384
351,Fri Jun 16 2023 01:00:56,1674.7568,16398.0,string,16384
358,Fri Jun 16 2023 01:02:37,1082.6095,16398.0,string,16384
449,Mon Jun 12 2023 22:55:42,1470.1347,16398.0,string,16384
561,Mon Jun 12 2023 23:11:09,416.9932,16398.0,string,16384
596,Fri Jun 16 2023 01:30:41,1316.1861,16398.0,string,16384
603,Fri Jun 16 2023 01:31:10,4965.9438,16398.0,string,16384
652,Sun Jun 18 2023 20:58:48,9503.5186,16398.0,string,16384
177,Sun Jun 11 2023 20:58:00,19014.5921,65550.0,string,65536
247,Thu Jun 15 2023 23:59:15,2523.6532,65550.0,string,65536
268,Fri Jun 16 2023 00:13:14,1314.9561,65550.0,string,65536
282,Fri Jun 16 2023 00:22:47,1265.2388,65550.0,string,65536
303,Fri Jun 16 2023 00:34:10,1281.4258,65550.0,string,65536
317,Fri Jun 16 2023 00:41:40,655.6153,65550.0,string,65536
338,Fri Jun 16 2023 00:56:29,2630.4978,65550.0,string,65536
352,Fri Jun 16 2023 01:00:57,1355.8658,65550.0,string,65536
359,Fri Jun 16 2023 01:02:40,3631.3194,65550.0,string,65536
562,Mon Jun 12 2023 23:11:10,1533.5887,65550.0,string,65536
576,Mon Jun 12 2023 23:22:03,2035.1993,65550.0,string,65536
597,Fri Jun 16 2023 01:30:42,1510.3796,65550.0,string,65536
653,Sun Jun 18 2023 20:58:49,1044.3742,65550.0,string,65536
248,Thu Jun 15 2023 23:59:57,1415.2147,262158.0,string,262144
283,Fri Jun 16 2023 00:22:49,1459.2499,262158.0,string,262144
304,Fri Jun 16 2023 00:34:11,1199.8973,262158.0,string,262144
318,Fri Jun 16 2023 00:41:41,1497.0385,262158.0,string,262144
346,Fri Jun 16 2023 01:00:31,1221.945,262158.0,string,262144
353,Fri Jun 16 2023 01:00:59,1949.4183,262158.0,string,262144
563,Mon Jun 12 2023 23:11:12,1836.7821,262158.0,string,262144
598,Fri Jun 16 2023 01:30:44,1579.3324,262158.0,string,262144
605,Fri Jun 16 2023 01:31:15,4324.3032,262158.0,string,262144
312,Fri Jun 16 2023 00:36:29,4240.3893,1048832.0,string,1048576
613,Fri Jun 16 2023 01:37:24,4591.7691,1048832.0,string,1048576
159,Sun Jun 18 2023 19:36:11,2668.5586,4195305.0,string,4194304
166,Sun Jun 18 2023 19:36:26,1149.7026,4195305.0,string,4194304
173,Sun Jun 18 2023 19:36:54,3253.2972,4195305.0,string,4194304
299,Fri Jun 16 2023 00:28:33,2956.856,4195305.0,string,4194304
306,Fri Jun 16 2023 00:34:14,1197.1148,4195305.0,string,4194304
320,Fri Jun 16 2023 00:41:45,1882.4852,4195305.0,string,4194304
327,Fri Jun 16 2023 00:44:00,1551.2343,4195305.0,string,4194304
348,Fri Jun 16 2023 01:00:34,1526.2381,4195305.0,string,4194304
355,Fri Jun 16 2023 01:01:03,2082.6262,4195305.0,string,4194304
411,Sun Jun 18 2023 20:05:02,1465.9635,4195305.0,string,4194304
565,Mon Jun 12 2023 23:11:16,2126.1225,4195305.0,string,4194304
572,Mon Jun 12 2023 23:16:41,3126.825,4195305.0,string,4194304
628,Fri Jun 16 2023 01:54:50,1412.2022,4195305.0,string,4194304
160,Sun Jun 18 2023 19:36:16,5178.0762,16781194.0,string,16777216
174,Sun Jun 18 2023 19:37:01,7129.3384,16781194.0,string,16777216
370,Fri Jun 16 2023 01:14:09,26714.3331,16781194.0,string,16777216
608,Fri Jun 16 2023 01:31:20,4304.7019,16781194.0,string,16777216
