index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
14,Sun Jun 11 2023 18:57:26,1232.2942,4107.0,string,4096
63,Sun Jun 11 2023 19:51:50,1372.3607,4107.0,string,4096
203,Sun Jun 11 2023 21:45:25,3663.5286,4107.0,string,4096
259,Fri Jun 16 2023 00:11:47,3497.3674,4107.0,string,4096
364,Fri Jun 16 2023 01:08:08,1510.5257,4107.0,string,4096
420,Mon Jun 12 2023 22:43:57,10806.752,4107.0,string,4096
462,Tue Jun 13 2023 00:36:32,950.4655,4107.0,string,4096
609,Fri Jun 16 2023 01:39:31,1110.7979,4107.0,string,4096
316,Fri Jun 16 2023 00:41:39,1138.4494,16398.0,string,16384
337,Fri Jun 16 2023 00:56:26,2182.8654,16398.0,string,16384
561,Mon Jun 12 2023 23:11:09,466.1929,16398.0,string,16384
610,Fri Jun 16 2023 01:40:12,1232.2092,16398.0,string,16384
205,Sun Jun 11 2023 21:45:28,3269.4444,65550.0,string,65536
247,Thu Jun 15 2023 23:59:15,2571.3857,65550.0,string,65536
268,Fri Jun 16 2023 00:16:55,1392.4745,65550.0,string,65536
282,Fri Jun 16 2023 00:22:47,1281.6391,65550.0,string,65536
303,Fri Jun 16 2023 00:34:10,1298.7121,65550.0,string,65536
338,Fri Jun 16 2023 00:56:29,2657.4526,65550.0,string,65536
352,Fri Jun 16 2023 01:00:55,2423.582,65550.0,string,65536
562,Mon Jun 12 2023 23:11:10,1422.3229,65550.0,string,65536
597,Fri Jun 16 2023 01:30:01,1363.4471,65550.0,string,65536
611,Fri Jun 16 2023 01:40:14,1303.8032,65550.0,string,65536
248,Thu Jun 15 2023 23:59:57,1347.0682,262158.0,string,262144
255,Fri Jun 16 2023 00:02:11,1595.1678,262158.0,string,262144
262,Fri Jun 16 2023 00:11:51,3402.3408,262158.0,string,262144
283,Fri Jun 16 2023 00:22:49,1431.9877,262158.0,string,262144
304,Fri Jun 16 2023 00:34:11,1147.5501,262158.0,string,262144
318,Fri Jun 16 2023 00:41:41,1372.7224,262158.0,string,262144
346,Fri Jun 16 2023 01:00:31,1260.5449,262158.0,string,262144
353,Fri Jun 16 2023 01:00:57,1877.0602,262158.0,string,262144
563,Mon Jun 12 2023 23:11:12,1829.2638,262158.0,string,262144
598,Fri Jun 16 2023 01:30:43,1345.4116,262158.0,string,262144
612,Fri Jun 16 2023 01:40:15,1250.0747,262158.0,string,262144
60,Sun Jun 11 2023 19:50:30,27258.0463,1048832.0,string,1048576
277,Fri Jun 16 2023 00:19:50,3920.5642,1048832.0,string,1048576
312,Fri Jun 16 2023 00:37:09,4116.712,1048832.0,string,1048576
361,Fri Jun 16 2023 01:06:00,4572.5748,1048832.0,string,1048576
257,Fri Jun 16 2023 00:03:55,22407.7071,4195305.0,string,4194304
264,Fri Jun 16 2023 00:11:54,3308.4985,4195305.0,string,4194304
355,Fri Jun 16 2023 01:01:03,3422.8969,4195305.0,string,4194304
376,Fri Jun 16 2023 01:15:31,3416.1153,4195305.0,string,4194304
607,Fri Jun 16 2023 01:34:31,4888.3348,4195305.0,string,4194304
13,Sun Jun 11 2023 18:53:03,9521.4383,16781194.0,string,16777216
174,Sun Jun 18 2023 19:37:01,7151.2213,16781194.0,string,16777216
202,Sun Jun 11 2023 21:43:35,9793.0357,16781194.0,string,16777216
209,Sun Jun 11 2023 21:45:39,6358.7673,16781194.0,string,16777216
