index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
7,Sun Jun 11 2023 18:52:10,4762.4791,4107.0,string,4096
189,Sun Jun 11 2023 21:25:31,3777.9701,4107.0,string,4096
203,Sun Jun 11 2023 21:45:25,3676.7609,4107.0,string,4096
308,Fri Jun 16 2023 00:34:30,5235.8234,4107.0,string,4096
329,Fri Jun 16 2023 00:55:38,4140.5326,4107.0,string,4096
357,Fri Jun 16 2023 01:08:08,1497.3936,4107.0,string,4096
399,Sun Jun 18 2023 20:04:56,1091.2638,4107.0,string,4096
469,Tue Jun 13 2023 00:45:52,2695.1,4107.0,string,4096
483,Tue Jun 13 2023 01:05:45,1254.3389,4107.0,string,4096
497,Sun Jun 18 2023 21:35:37,5838.5916,4107.0,string,4096
539,Sun Jun 11 2023 23:22:30,1329.3019,4107.0,string,4096
567,Mon Jun 12 2023 23:22:00,4060.7747,4107.0,string,4096
609,Fri Jun 16 2023 01:39:31,1373.5238,4107.0,string,4096
197,Sun Jun 11 2023 21:35:32,6877.4112,16398.0,string,16384
288,Fri Jun 16 2023 00:23:44,3339.937,16398.0,string,16384
316,Fri Jun 16 2023 00:41:01,2747.897,16398.0,string,16384
323,Fri Jun 16 2023 00:47:40,13014.8094,16398.0,string,16384
337,Fri Jun 16 2023 00:56:26,2197.9903,16398.0,string,16384
351,Fri Jun 16 2023 01:00:54,1510.0258,16398.0,string,16384
386,Sun Jun 18 2023 19:37:55,1415.5426,16398.0,string,16384
512,Sun Jun 18 2023 21:55:45,1540.1361,16398.0,string,16384
561,Mon Jun 12 2023 23:11:10,1447.1099,16398.0,string,16384
575,Mon Jun 12 2023 23:32:00,3599.0831,16398.0,string,16384
596,Fri Jun 16 2023 01:30:41,1312.475,16398.0,string,16384
610,Fri Jun 16 2023 01:39:42,11126.3103,16398.0,string,16384
631,Sun Jun 18 2023 20:32:46,1533.6404,16398.0,string,16384
177,Sun Jun 11 2023 20:58:00,19047.5651,65550.0,string,65536
191,Sun Jun 11 2023 21:25:35,3030.6891,65550.0,string,65536
205,Sun Jun 11 2023 21:45:28,3282.8311,65550.0,string,65536
261,Fri Jun 16 2023 00:13:14,1218.1261,65550.0,string,65536
282,Fri Jun 16 2023 00:22:47,1258.7155,65550.0,string,65536
303,Fri Jun 16 2023 00:34:10,1193.9975,65550.0,string,65536
331,Fri Jun 16 2023 00:55:42,3767.4252,65550.0,string,65536
338,Fri Jun 16 2023 00:56:29,2591.3856,65550.0,string,65536
352,Fri Jun 16 2023 01:00:56,1311.4985,65550.0,string,65536
366,Fri Jun 16 2023 01:10:23,3777.7304,65550.0,string,65536
387,Sun Jun 18 2023 19:37:56,1426.9885,65550.0,string,65536
401,Sun Jun 18 2023 20:04:58,1445.7554,65550.0,string,65536
569,Mon Jun 12 2023 23:22:04,3399.8542,65550.0,string,65536
597,Fri Jun 16 2023 01:30:42,1421.2258,65550.0,string,65536
171,Sun Jun 18 2023 19:36:49,712.9307,262158.0,string,262144
199,Sun Jun 11 2023 21:35:37,4617.7677,262158.0,string,262144
283,Fri Jun 16 2023 00:22:49,1470.0324,262158.0,string,262144
290,Fri Jun 16 2023 00:23:45,1450.9596,262158.0,string,262144
304,Fri Jun 16 2023 00:34:11,1118.2085,262158.0,string,262144
346,Fri Jun 16 2023 01:00:31,1247.0587,262158.0,string,262144
353,Fri Jun 16 2023 01:00:58,1930.9104,262158.0,string,262144
388,Sun Jun 18 2023 19:37:57,891.326,262158.0,string,262144
402,Sun Jun 18 2023 20:04:59,1314.8502,262158.0,string,262144
563,Mon Jun 12 2023 23:11:12,1562.3958,262158.0,string,262144
598,Fri Jun 16 2023 01:30:44,1553.1409,262158.0,string,262144
633,Sun Jun 18 2023 20:32:49,2136.6691,262158.0,string,262144
333,Fri Jun 16 2023 00:55:47,4094.0563,1048832.0,string,1048576
368,Fri Jun 16 2023 01:10:28,4699.4474,1048832.0,string,1048576
571,Mon Jun 12 2023 23:22:09,4149.5658,1048832.0,string,1048576
585,Mon Jun 12 2023 23:43:18,3766.1426,1048832.0,string,1048576
606,Fri Jun 16 2023 01:37:24,3831.0544,1048832.0,string,1048576
152,Sun Jun 18 2023 19:36:11,2634.1726,4195305.0,string,4194304
173,Sun Jun 18 2023 19:36:54,3242.865,4195305.0,string,4194304
201,Sun Jun 11 2023 21:35:42,4824.3743,4195305.0,string,4194304
271,Fri Jun 16 2023 00:16:18,3549.7488,4195305.0,string,4194304
320,Fri Jun 16 2023 00:41:45,1888.3696,4195305.0,string,4194304
341,Fri Jun 16 2023 00:56:33,3754.1637,4195305.0,string,4194304
355,Fri Jun 16 2023 01:01:01,1826.9848,4195305.0,string,4194304
362,Fri Jun 16 2023 01:09:31,1927.6431,4195305.0,string,4194304
390,Sun Jun 18 2023 19:38:01,1964.2451,4195305.0,string,4194304
411,Sun Jun 18 2023 20:14:28,6049.6679,4195305.0,string,4194304
593,Mon Jun 12 2023 23:51:15,1767.1295,4195305.0,string,4194304
635,Sun Jun 18 2023 20:32:53,1943.125,4195305.0,string,4194304
153,Sun Jun 18 2023 19:36:16,5133.8949,16781194.0,string,16777216
174,Sun Jun 18 2023 19:37:01,7130.6203,16781194.0,string,16777216
195,Sun Jun 11 2023 21:25:46,7338.965,16781194.0,string,16777216
209,Sun Jun 11 2023 21:45:39,6348.3799,16781194.0,string,16777216
608,Fri Jun 16 2023 01:38:09,4570.922,16781194.0,string,16777216
