index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
7,Sun Jun 11 2023 18:52:10,5408.4445,4107.0,string,4096
189,Sun Jun 11 2023 21:15:33,1890.7264,4107.0,string,4096
196,Sun Jun 11 2023 21:25:31,3789.7789,4107.0,string,4096
259,Fri Jun 16 2023 00:12:41,8551.516,4107.0,string,4096
308,Fri Jun 16 2023 00:34:29,4414.9603,4107.0,string,4096
357,Fri Jun 16 2023 01:02:36,1105.2377,4107.0,string,4096
420,Mon Jun 12 2023 22:43:57,10633.8145,4107.0,string,4096
448,Mon Jun 12 2023 22:55:42,1347.2399,4107.0,string,4096
455,Tue Jun 13 2023 00:26:34,1821.2326,4107.0,string,4096
469,Tue Jun 13 2023 00:45:57,7938.4657,4107.0,string,4096
476,Tue Jun 13 2023 00:55:52,4546.5112,4107.0,string,4096
483,Tue Jun 13 2023 01:05:45,1354.8875,4107.0,string,4096
560,Mon Jun 12 2023 23:11:10,1831.7094,4107.0,string,4096
588,Mon Jun 12 2023 23:49:53,1285.3419,4107.0,string,4096
595,Fri Jun 16 2023 01:30:41,1272.9,4107.0,string,4096
616,Fri Jun 16 2023 01:39:31,1363.2156,4107.0,string,4096
190,Sun Jun 11 2023 21:15:38,5047.8817,16398.0,string,16384
218,Sun Jun 11 2023 22:06:32,29803.3748,16398.0,string,16384
232,Sun Jun 11 2023 22:23:58,3056.885,16398.0,string,16384
288,Fri Jun 16 2023 00:23:44,3357.2204,16398.0,string,16384
561,Mon Jun 12 2023 23:11:11,1298.2748,16398.0,string,16384
603,Fri Jun 16 2023 01:31:10,4925.3961,16398.0,string,16384
177,Sun Jun 11 2023 20:58:00,19092.0308,65550.0,string,65536
198,Sun Jun 11 2023 21:25:35,2991.2379,65550.0,string,65536
233,Sun Jun 11 2023 22:24:10,11183.7023,65550.0,string,65536
247,Thu Jun 15 2023 23:59:15,2555.1207,65550.0,string,65536
282,Fri Jun 16 2023 00:22:47,1294.8098,65550.0,string,65536
317,Fri Jun 16 2023 00:41:40,1508.5792,65550.0,string,65536
338,Fri Jun 16 2023 00:56:16,1265.211,65550.0,string,65536
345,Fri Jun 16 2023 01:00:31,1425.0401,65550.0,string,65536
352,Fri Jun 16 2023 01:00:55,2270.4018,65550.0,string,65536
373,Fri Jun 16 2023 01:10:49,29316.6867,65550.0,string,65536
597,Fri Jun 16 2023 01:30:42,1506.9537,65550.0,string,65536
192,Sun Jun 11 2023 21:17:04,5306.7518,262158.0,string,262144
234,Sun Jun 11 2023 22:25:18,28141.0332,262158.0,string,262144
248,Thu Jun 15 2023 23:59:57,1418.0067,262158.0,string,262144
283,Fri Jun 16 2023 00:22:49,1552.3809,262158.0,string,262144
290,Fri Jun 16 2023 00:23:45,1474.1928,262158.0,string,262144
311,Fri Jun 16 2023 00:35:14,4018.4187,262158.0,string,262144
318,Fri Jun 16 2023 00:41:41,1657.0821,262158.0,string,262144
325,Fri Jun 16 2023 00:43:21,3059.2409,262158.0,string,262144
346,Fri Jun 16 2023 01:00:33,1355.9383,262158.0,string,262144
353,Fri Jun 16 2023 01:00:57,1724.5023,262158.0,string,262144
563,Mon Jun 12 2023 23:11:14,1703.9623,262158.0,string,262144
598,Fri Jun 16 2023 01:30:44,1539.1262,262158.0,string,262144
605,Fri Jun 16 2023 01:31:15,4277.6047,262158.0,string,262144
619,Fri Jun 16 2023 01:40:13,1757.7745,262158.0,string,262144
277,Fri Jun 16 2023 00:19:51,4817.1855,1048832.0,string,1048576
19,Sun Jun 11 2023 18:52:53,3051.2571,4195305.0,string,4194304
173,Sun Jun 18 2023 19:36:54,3255.0237,4195305.0,string,4194304
194,Sun Jun 11 2023 21:18:26,2177.3341,4195305.0,string,4194304
236,Sun Jun 11 2023 22:25:26,7318.6267,4195305.0,string,4194304
257,Fri Jun 16 2023 00:03:58,27082.2974,4195305.0,string,4194304
264,Fri Jun 16 2023 00:14:06,4663.0515,4195305.0,string,4194304
313,Fri Jun 16 2023 00:35:17,3626.792,4195305.0,string,4194304
320,Fri Jun 16 2023 00:41:45,1912.4121,4195305.0,string,4194304
355,Fri Jun 16 2023 01:01:41,1919.1074,4195305.0,string,4194304
572,Mon Jun 12 2023 23:16:41,2981.8732,4195305.0,string,4194304
593,Mon Jun 12 2023 23:51:15,1674.1502,4195305.0,string,4194304
621,Fri Jun 16 2023 01:40:16,1716.2925,4195305.0,string,4194304
628,Fri Jun 16 2023 01:54:11,1648.4124,4195305.0,string,4194304
20,Sun Jun 11 2023 18:53:03,9525.1619,16781194.0,string,16777216
174,Sun Jun 18 2023 19:37:01,7143.3392,16781194.0,string,16777216
202,Sun Jun 11 2023 21:25:46,7408.6756,16781194.0,string,16777216
272,Fri Jun 16 2023 00:16:21,3521.819,16781194.0,string,16777216
356,Fri Jun 16 2023 01:01:44,3371.9091,16781194.0,string,16777216
