index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
7,Sun Jun 11 2023 18:52:10,4773.9155,4107.0,string,4096
63,Sun Jun 11 2023 19:51:50,1308.2954,4107.0,string,4096
189,Sun Jun 11 2023 21:15:33,1862.3753,4107.0,string,4096
196,Sun Jun 11 2023 21:25:31,3780.205,4107.0,string,4096
364,Fri Jun 16 2023 01:08:08,1474.3336,4107.0,string,4096
420,Mon Jun 12 2023 22:44:16,29391.1934,4107.0,string,4096
476,Tue Jun 13 2023 00:45:52,2703.5741,4107.0,string,4096
483,Tue Jun 13 2023 01:05:45,1263.5042,4107.0,string,4096
595,Fri Jun 16 2023 01:30:41,1369.5338,4107.0,string,4096
616,Fri Jun 16 2023 01:39:31,1302.3065,4107.0,string,4096
190,Sun Jun 11 2023 21:15:38,5034.5215,16398.0,string,16384
337,Fri Jun 16 2023 00:56:16,1573.5146,16398.0,string,16384
344,Fri Jun 16 2023 00:56:27,2200.3182,16398.0,string,16384
428,Mon Jun 12 2023 22:45:46,9765.1145,16398.0,string,16384
449,Mon Jun 12 2023 22:55:42,1258.9809,16398.0,string,16384
596,Fri Jun 16 2023 01:30:43,1649.3613,16398.0,string,16384
631,Sun Jun 18 2023 20:32:46,1377.5702,16398.0,string,16384
177,Sun Jun 11 2023 20:58:00,19055.3034,65550.0,string,65536
198,Sun Jun 11 2023 21:25:35,2948.3904,65550.0,string,65536
268,Fri Jun 16 2023 00:13:14,1280.9303,65550.0,string,65536
282,Fri Jun 16 2023 00:22:47,1264.5014,65550.0,string,65536
310,Fri Jun 16 2023 00:34:10,1272.5273,65550.0,string,65536
317,Fri Jun 16 2023 00:41:40,1457.3384,65550.0,string,65536
345,Fri Jun 16 2023 00:56:29,2621.3036,65550.0,string,65536
352,Fri Jun 16 2023 01:00:55,2328.7942,65550.0,string,65536
373,Fri Jun 16 2023 01:10:49,29352.3083,65550.0,string,65536
562,Mon Jun 12 2023 23:11:10,1303.1826,65550.0,string,65536
597,Fri Jun 16 2023 01:30:45,1738.1582,65550.0,string,65536
604,Fri Jun 16 2023 01:33:10,3933.9688,65550.0,string,65536
192,Sun Jun 11 2023 21:17:03,5284.9992,262158.0,string,262144
248,Thu Jun 15 2023 23:59:55,1607.3159,262158.0,string,262144
255,Fri Jun 16 2023 00:03:51,1567.73,262158.0,string,262144
276,Fri Jun 16 2023 00:16:55,1408.4648,262158.0,string,262144
283,Fri Jun 16 2023 00:22:49,1589.8924,262158.0,string,262144
311,Fri Jun 16 2023 00:34:11,1203.0073,262158.0,string,262144
318,Fri Jun 16 2023 00:41:42,1763.5687,262158.0,string,262144
325,Fri Jun 16 2023 00:45:19,1285.67,262158.0,string,262144
348,Fri Jun 16 2023 00:57:00,30001.9614,4195305.0,string,262144
353,Fri Jun 16 2023 01:00:57,1771.8745,262158.0,string,262144
563,Mon Jun 12 2023 23:11:13,1850.8941,262158.0,string,262144
598,Fri Jun 16 2023 01:30:47,1543.2629,262158.0,string,262144
619,Fri Jun 16 2023 01:40:14,1525.8008,262158.0,string,262144
200,Sun Jun 11 2023 21:25:38,3184.5047,1048832.0,string,1048576
298,Fri Jun 16 2023 00:27:53,2855.784,1048832.0,string,1048576
305,Fri Jun 16 2023 00:32:01,3600.7626,1048832.0,string,1048576
606,Fri Jun 16 2023 01:33:14,4065.6565,1048832.0,string,1048576
613,Fri Jun 16 2023 01:37:24,3064.5631,1048832.0,string,1048576
19,Sun Jun 11 2023 18:52:53,3076.9853,4195305.0,string,4194304
159,Sun Jun 18 2023 19:36:11,2653.3976,4195305.0,string,4194304
194,Sun Jun 11 2023 21:18:26,2202.125,4195305.0,string,4194304
257,Fri Jun 16 2023 00:03:54,2850.4225,4195305.0,string,4194304
313,Fri Jun 16 2023 00:34:14,1241.3335,4195305.0,string,4194304
320,Fri Jun 16 2023 00:41:46,2253.2777,4195305.0,string,4194304
355,Fri Jun 16 2023 01:01:03,3414.295,4195305.0,string,4194304
369,Fri Jun 16 2023 01:10:12,2399.4517,4195305.0,string,4194304
565,Mon Jun 12 2023 23:11:17,2034.4224,4195305.0,string,4194304
600,Fri Jun 16 2023 01:30:51,2335.7939,4195305.0,string,4194304
621,Fri Jun 16 2023 01:40:17,1715.6235,4195305.0,string,4194304
20,Sun Jun 11 2023 18:53:03,9522.8106,16781194.0,string,16777216
48,Sun Jun 11 2023 19:16:17,3571.0796,16781194.0,string,16777216
160,Sun Jun 18 2023 19:36:16,5182.7243,16781194.0,string,16777216
202,Sun Jun 11 2023 21:25:46,7686.3299,16781194.0,string,16777216
608,Fri Jun 16 2023 01:33:20,4592.4332,16781194.0,string,16777216
