index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
7,Sun Jun 11 2023 22:15:33,1817.9503,4107.0,string,4096
21,Sun Jun 11 2023 22:35:25,173.7355,4107.0,string,4096
35,Sun Jun 11 2023 23:04:03,1551.0897,4107.0,string,4096
49,Sun Jun 11 2023 23:24:35,140.4202,4107.0,string,4096
63,Sun Jun 11 2023 23:43:50,1588.0865,4107.0,string,4096
84,Fri Jun 16 2023 01:12:33,196.1349,4107.0,string,4096
91,Fri Jun 16 2023 01:14:14,213.4019,4107.0,string,4096
105,Fri Jun 16 2023 01:23:00,202.9066,4107.0,string,4096
112,Fri Jun 16 2023 01:26:30,264.107,4107.0,string,4096
126,Fri Jun 16 2023 01:33:29,220.3739,4107.0,string,4096
140,Fri Jun 16 2023 01:41:58,202.2927,4107.0,string,4096
161,Fri Jun 16 2023 01:56:24,206.7203,4107.0,string,4096
168,Fri Jun 16 2023 01:57:10,220.5538,4107.0,string,4096
175,Fri Jun 16 2023 02:01:56,247.8514,4107.0,string,4096
182,Fri Jun 16 2023 02:08:08,1442.9673,4107.0,string,4096
189,Fri Jun 16 2023 02:10:19,228.0239,4107.0,string,4096
196,Fri Jun 16 2023 02:14:16,208.9778,4107.0,string,4096
203,Fri Jun 16 2023 02:15:46,223.8324,4107.0,string,4096
224,Sun Jun 18 2023 21:04:57,1268.1515,4107.0,string,4096
231,Sun Jun 18 2023 21:13:42,195.1584,4107.0,string,4096
238,Sun Jun 18 2023 21:23:50,192.8658,4107.0,string,4096
280,Sun Jun 11 2023 21:55:27,123.4615,4107.0,string,4096
315,Thu Jun 15 2023 23:59:13,123.4659,4107.0,string,4096
322,Fri Jun 16 2023 00:00:49,33.6785,4107.0,string,4096
343,Fri Jun 16 2023 00:17:06,107.0271,4107.0,string,4096
350,Fri Jun 16 2023 00:22:06,122.9847,4107.0,string,4096
371,Fri Jun 16 2023 00:34:08,44.1934,4107.0,string,4096
378,Fri Jun 16 2023 00:34:25,51.9371,4107.0,string,4096
385,Fri Jun 16 2023 00:40:58,134.2533,4107.0,string,4096
392,Fri Jun 16 2023 00:41:58,76.3126,4107.0,string,4096
399,Fri Jun 16 2023 00:45:27,79.982,4107.0,string,4096
406,Fri Jun 16 2023 00:56:24,44.7254,4107.0,string,4096
413,Fri Jun 16 2023 00:57:10,51.153,4107.0,string,4096
420,Fri Jun 16 2023 01:00:53,130.1731,4107.0,string,4096
434,Fri Jun 16 2023 01:08:08,1510.5257,4107.0,string,4096
441,Fri Jun 16 2023 01:14:17,246.7788,4107.0,string,4096
455,Sun Jun 18 2023 19:37:13,140.1591,4107.0,string,4096
490,Sun Jun 11 2023 20:56:21,144.3139,4107.0,string,4096
497,Sun Jun 11 2023 21:05:34,38.0006,4107.0,string,4096
504,Sun Jun 11 2023 21:15:33,1890.7264,4107.0,string,4096
518,Sun Jun 11 2023 21:35:25,50.7323,4107.0,string,4096
525,Sun Jun 11 2023 21:55:27,140.7087,4107.0,string,4096
546,Sun Jun 11 2023 22:23:55,33.9452,4107.0,string,4096
560,Thu Jun 15 2023 23:59:13,142.2284,4107.0,string,4096
567,Fri Jun 16 2023 00:00:49,38.9322,4107.0,string,4096
588,Fri Jun 16 2023 00:17:06,55.0355,4107.0,string,4096
595,Fri Jun 16 2023 00:22:06,147.7175,4107.0,string,4096
602,Fri Jun 16 2023 00:23:00,35.9067,4107.0,string,4096
609,Fri Jun 16 2023 00:26:30,38.3865,4107.0,string,4096
630,Fri Jun 16 2023 00:40:58,144.2034,4107.0,string,4096
637,Fri Jun 16 2023 00:41:58,37.0314,4107.0,string,4096
644,Fri Jun 16 2023 00:45:27,44.1466,4107.0,string,4096
665,Fri Jun 16 2023 01:00:53,147.106,4107.0,string,4096
672,Fri Jun 16 2023 01:02:36,1105.2377,4107.0,string,4096
686,Fri Jun 16 2023 01:10:19,33.7944,4107.0,string,4096
700,Sun Jun 18 2023 19:37:13,161.4863,4107.0,string,4096
735,Sun Jun 11 2023 20:56:21,140.3394,4107.0,string,4096
742,Sun Jun 11 2023 21:05:34,34.8323,4107.0,string,4096
756,Sun Jun 11 2023 21:35:25,215.7957,4107.0,string,4096
770,Sun Jun 11 2023 21:55:27,139.5244,4107.0,string,4096
805,Thu Jun 15 2023 23:59:13,144.6623,4107.0,string,4096
819,Fri Jun 16 2023 00:12:33,62.2041,4107.0,string,4096
826,Fri Jun 16 2023 00:14:13,44.4847,4107.0,string,4096
840,Fri Jun 16 2023 00:22:06,135.3584,4107.0,string,4096
847,Fri Jun 16 2023 00:23:00,32.6267,4107.0,string,4096
861,Fri Jun 16 2023 00:33:28,40.503,4107.0,string,4096
875,Fri Jun 16 2023 00:40:58,152.0305,4107.0,string,4096
896,Fri Jun 16 2023 00:56:24,37.961,4107.0,string,4096
903,Fri Jun 16 2023 00:57:10,51.6284,4107.0,string,4096
910,Fri Jun 16 2023 01:00:53,155.3917,4107.0,string,4096
917,Fri Jun 16 2023 01:08:08,1497.3936,4107.0,string,4096
924,Fri Jun 16 2023 01:10:19,37.4279,4107.0,string,4096
931,Fri Jun 16 2023 01:14:16,47.0357,4107.0,string,4096
938,Fri Jun 16 2023 01:15:46,51.101,4107.0,string,4096
945,Sun Jun 18 2023 19:37:13,150.7727,4107.0,string,4096
952,Sun Jun 18 2023 19:55:29,33.0925,4107.0,string,4096
959,Sun Jun 18 2023 20:04:56,1091.2638,4107.0,string,4096
966,Sun Jun 18 2023 20:13:42,40.1949,4107.0,string,4096
973,Sun Jun 18 2023 20:23:50,46.0803,4107.0,string,4096
980,Sun Jun 11 2023 20:56:21,154.5781,4107.0,string,4096
987,Sun Jun 11 2023 21:05:34,31.6776,4107.0,string,4096
994,Sun Jun 11 2023 21:15:33,1862.3753,4107.0,string,4096
1015,Sun Jun 11 2023 21:55:27,154.9053,4107.0,string,4096
1050,Thu Jun 15 2023 23:59:13,157.0931,4107.0,string,4096
1057,Fri Jun 16 2023 00:03:50,6.9934,4107.0,string,4096
1071,Fri Jun 16 2023 00:12:33,34.2915,4107.0,string,4096
1078,Fri Jun 16 2023 00:14:13,34.8112,4107.0,string,4096
1085,Fri Jun 16 2023 00:22:06,160.8016,4107.0,string,4096
1092,Fri Jun 16 2023 00:23:00,47.7082,4107.0,string,4096
1099,Fri Jun 16 2023 00:26:30,47.6319,4107.0,string,4096
1113,Fri Jun 16 2023 00:33:28,49.3081,4107.0,string,4096
