index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 12 2023 00:03:12,1493.2776,4107.0,string,4096
14,Mon Jun 12 2023 00:22:30,1275.5834,4107.0,string,4096
28,Mon Jun 12 2023 00:42:27,1817.8016,4107.0,string,4096
42,Tue Jun 13 2023 00:22:36,174.2003,4107.0,string,4096
49,Tue Jun 13 2023 00:31:57,223.0396,4107.0,string,4096
56,Tue Jun 13 2023 00:41:14,147.5599,4107.0,string,4096
63,Tue Jun 13 2023 00:49:52,216.6974,4107.0,string,4096
70,Fri Jun 16 2023 02:31:05,200.0256,4107.0,string,4096
77,Fri Jun 16 2023 02:34:39,197.1011,4107.0,string,4096
84,Fri Jun 16 2023 02:38:50,293.5567,4107.0,string,4096
91,Fri Jun 16 2023 02:40:35,254.0181,4107.0,string,4096
98,Fri Jun 16 2023 02:48:47,202.5033,4107.0,string,4096
105,Sun Jun 18 2023 21:39:37,202.2048,4107.0,string,4096
119,Sun Jun 18 2023 21:59:15,1782.0534,4107.0,string,4096
126,Sun Jun 18 2023 22:08:04,2207.1338,4107.0,string,4096
140,Sun Jun 11 2023 22:53:54,122.7218,4107.0,string,4096
175,Mon Jun 12 2023 23:11:08,128.4211,4107.0,string,4096
196,Mon Jun 12 2023 23:31:56,43.667,4107.0,string,4096
203,Mon Jun 12 2023 23:49:52,36.0781,4107.0,string,4096
210,Fri Jun 16 2023 01:29:59,121.1899,4107.0,string,4096
224,Fri Jun 16 2023 01:39:31,1110.7979,4107.0,string,4096
231,Fri Jun 16 2023 01:40:36,305.5796,4107.0,string,4096
245,Sun Jun 18 2023 20:32:44,120.3928,4107.0,string,4096
280,Sun Jun 11 2023 22:53:54,144.2412,4107.0,string,4096
315,Mon Jun 12 2023 23:11:10,1831.7094,4107.0,string,4096
329,Mon Jun 12 2023 23:32:36,48.1513,4107.0,string,4096
336,Mon Jun 12 2023 23:41:13,32.3173,4107.0,string,4096
343,Mon Jun 12 2023 23:49:53,1285.3419,4107.0,string,4096
350,Fri Jun 16 2023 01:30:41,1272.9,4107.0,string,4096
357,Fri Jun 16 2023 01:31:05,55.3466,4107.0,string,4096
364,Fri Jun 16 2023 01:34:39,33.4843,4107.0,string,4096
371,Fri Jun 16 2023 01:39:31,1363.2156,4107.0,string,4096
385,Sun Jun 18 2023 20:32:44,137.7787,4107.0,string,4096
420,Sun Jun 11 2023 22:53:54,139.1399,4107.0,string,4096
434,Sun Jun 11 2023 23:22:30,1329.3019,4107.0,string,4096
455,Mon Jun 12 2023 23:11:08,150.5927,4107.0,string,4096
469,Mon Jun 12 2023 23:31:56,50.7924,4107.0,string,4096
476,Mon Jun 12 2023 23:41:13,30.2417,4107.0,string,4096
483,Mon Jun 12 2023 23:49:52,38.8359,4107.0,string,4096
490,Fri Jun 16 2023 01:29:59,144.8355,4107.0,string,4096
497,Fri Jun 16 2023 01:34:39,78.0184,4107.0,string,4096
504,Fri Jun 16 2023 01:39:31,1373.5238,4107.0,string,4096
511,Fri Jun 16 2023 01:40:36,309.0366,4107.0,string,4096
525,Sun Jun 18 2023 20:32:44,137.3353,4107.0,string,4096
560,Sun Jun 11 2023 22:53:54,155.1484,4107.0,string,4096
595,Mon Jun 12 2023 23:11:08,161.766,4107.0,string,4096
616,Mon Jun 12 2023 23:41:13,45.8938,4107.0,string,4096
623,Mon Jun 12 2023 23:49:52,50.7102,4107.0,string,4096
630,Fri Jun 16 2023 01:30:41,1369.5338,4107.0,string,4096
637,Fri Jun 16 2023 01:31:05,33.9315,4107.0,string,4096
644,Fri Jun 16 2023 01:34:39,49.7724,4107.0,string,4096
651,Fri Jun 16 2023 01:39:31,1302.3065,4107.0,string,4096
658,Fri Jun 16 2023 01:40:36,292.8839,4107.0,string,4096
665,Sun Jun 18 2023 20:32:44,151.6321,4107.0,string,4096
672,Sun Jun 18 2023 20:39:37,44.7603,4107.0,string,4096
700,Sun Jun 11 2023 22:53:54,142.7609,4107.0,string,4096
735,Mon Jun 12 2023 23:11:08,171.2047,4107.0,string,4096
756,Mon Jun 12 2023 23:32:36,28.3991,4107.0,string,4096
763,Mon Jun 12 2023 23:41:13,32.6516,4107.0,string,4096
770,Fri Jun 16 2023 01:29:59,157.8687,4107.0,string,4096
777,Fri Jun 16 2023 01:31:05,35.684,4107.0,string,4096
784,Fri Jun 16 2023 01:34:39,38.0808,4107.0,string,4096
791,Fri Jun 16 2023 01:40:36,294.5903,4107.0,string,4096
805,Sun Jun 18 2023 20:32:44,140.2429,4107.0,string,4096
1,Mon Jun 12 2023 00:03:13,1385.6874,16398.0,string,16384
8,Mon Jun 12 2023 00:12:36,155.1396,16398.0,string,16384
15,Mon Jun 12 2023 00:22:32,1721.1465,16398.0,string,16384
22,Mon Jun 12 2023 00:32:34,170.0595,16398.0,string,16384
29,Mon Jun 12 2023 00:42:29,1516.6426,16398.0,string,16384
43,Tue Jun 13 2023 00:22:37,162.6601,16398.0,string,16384
50,Tue Jun 13 2023 00:32:00,3505.89,16398.0,string,16384
57,Tue Jun 13 2023 00:41:14,147.4583,16398.0,string,16384
64,Tue Jun 13 2023 00:50:32,175.0922,16398.0,string,16384
85,Fri Jun 16 2023 02:39:31,1404.7911,16398.0,string,16384
106,Sun Jun 18 2023 21:40:17,164.5173,16398.0,string,16384
120,Sun Jun 18 2023 21:59:16,515.9515,16398.0,string,16384
127,Sun Jun 18 2023 22:08:06,2088.2146,16398.0,string,16384
134,Sun Jun 18 2023 22:18:53,182.8348,16398.0,string,16384
