index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
7,Mon Jun 12 2023 22:44:56,47.4508,4107.0,string,4096
28,Mon Jun 12 2023 22:55:41,171.9858,4107.0,string,4096
35,Tue Jun 13 2023 00:26:32,144.381,4107.0,string,4096
42,Tue Jun 13 2023 00:36:32,1211.9889,4107.0,string,4096
49,Tue Jun 13 2023 00:37:11,37.3019,4107.0,string,4096
70,Sun Jun 18 2023 21:27:08,140.69,4107.0,string,4096
77,Sun Jun 18 2023 21:27:21,275.7756,4107.0,string,4096
105,Mon Jun 12 2023 23:43:47,244.051,4107.0,string,4096
112,Mon Jun 12 2023 23:44:56,252.4991,4107.0,string,4096
126,Mon Jun 12 2023 23:51:06,212.5823,4107.0,string,4096
133,Mon Jun 12 2023 23:53:02,194.3725,4107.0,string,4096
140,Tue Jun 13 2023 01:36:31,182.1671,4107.0,string,4096
147,Tue Jun 13 2023 01:37:11,241.8625,4107.0,string,4096
154,Tue Jun 13 2023 01:45:52,2862.1889,4107.0,string,4096
161,Tue Jun 13 2023 01:55:48,224.6132,4107.0,string,4096
168,Tue Jun 13 2023 02:05:45,1426.8741,4107.0,string,4096
175,Sun Jun 18 2023 22:27:21,245.61,4107.0,string,4096
217,Mon Jun 12 2023 22:46:27,57.0023,4107.0,string,4096
224,Mon Jun 12 2023 22:51:45,35.5063,4107.0,string,4096
238,Mon Jun 12 2023 22:55:42,1347.2399,4107.0,string,4096
245,Tue Jun 13 2023 00:26:34,1821.2326,4107.0,string,4096
252,Tue Jun 13 2023 00:36:31,38.0158,4107.0,string,4096
273,Tue Jun 13 2023 01:05:45,1354.8875,4107.0,string,4096
280,Sun Jun 18 2023 21:27:08,141.93,4107.0,string,4096
287,Sun Jun 18 2023 21:27:21,285.5761,4107.0,string,4096
322,Mon Jun 12 2023 22:44:56,56.072,4107.0,string,4096
336,Mon Jun 12 2023 22:53:02,59.7559,4107.0,string,4096
343,Mon Jun 12 2023 22:55:40,132.7688,4107.0,string,4096
357,Tue Jun 13 2023 00:36:32,950.4655,4107.0,string,4096
364,Tue Jun 13 2023 00:37:11,55.0932,4107.0,string,4096
385,Sun Jun 18 2023 21:27:08,119.3776,4107.0,string,4096
392,Sun Jun 18 2023 21:27:21,298.5829,4107.0,string,4096
413,Sun Jun 18 2023 22:03:54,43.9598,4107.0,string,4096
420,Mon Jun 12 2023 22:44:56,47.9684,4107.0,string,4096
434,Mon Jun 12 2023 22:51:06,313.5332,4107.0,string,4096
441,Mon Jun 12 2023 22:53:02,101.1056,4107.0,string,4096
448,Mon Jun 12 2023 22:55:40,145.4969,4107.0,string,4096
455,Tue Jun 13 2023 00:26:32,147.6491,4107.0,string,4096
462,Tue Jun 13 2023 00:37:11,43.4205,4107.0,string,4096
469,Tue Jun 13 2023 00:45:52,2695.1,4107.0,string,4096
476,Tue Jun 13 2023 00:55:48,50.6258,4107.0,string,4096
483,Tue Jun 13 2023 01:05:45,1254.3389,4107.0,string,4096
490,Sun Jun 18 2023 21:27:08,141.6895,4107.0,string,4096
532,Mon Jun 12 2023 22:44:56,68.1788,4107.0,string,4096
539,Mon Jun 12 2023 22:51:06,329.9839,4107.0,string,4096
546,Mon Jun 12 2023 22:53:02,90.5747,4107.0,string,4096
553,Mon Jun 12 2023 22:55:41,162.5409,4107.0,string,4096
560,Tue Jun 13 2023 00:26:32,159.1504,4107.0,string,4096
567,Tue Jun 13 2023 00:36:31,47.376,4107.0,string,4096
574,Tue Jun 13 2023 00:37:11,51.9436,4107.0,string,4096
581,Tue Jun 13 2023 00:45:52,2703.5741,4107.0,string,4096
588,Tue Jun 13 2023 01:05:45,1263.5042,4107.0,string,4096
595,Sun Jun 18 2023 21:27:08,154.4505,4107.0,string,4096
602,Sun Jun 18 2023 21:27:21,279.0643,4107.0,string,4096
1,Mon Jun 12 2023 22:43:54,34.061,16398.0,string,16384
8,Mon Jun 12 2023 22:44:56,162.3946,16398.0,string,16384
22,Mon Jun 12 2023 22:52:26,32.4711,16398.0,string,16384
36,Tue Jun 13 2023 00:26:32,145.105,16398.0,string,16384
43,Tue Jun 13 2023 00:36:32,33.295,16398.0,string,16384
50,Tue Jun 13 2023 00:37:11,72.9867,16398.0,string,16384
71,Sun Jun 18 2023 21:27:08,141.3722,16398.0,string,16384
85,Sun Jun 18 2023 21:36:52,31.6304,16398.0,string,16384
92,Sun Jun 18 2023 21:46:21,154.283,16398.0,string,16384
106,Mon Jun 12 2023 23:43:47,159.3156,16398.0,string,16384
113,Mon Jun 12 2023 23:45:36,173.4253,16398.0,string,16384
120,Mon Jun 12 2023 23:47:10,180.4858,16398.0,string,16384
127,Mon Jun 12 2023 23:51:06,158.2363,16398.0,string,16384
134,Mon Jun 12 2023 23:53:02,138.9627,16398.0,string,16384
141,Tue Jun 13 2023 01:36:31,154.6343,16398.0,string,16384
148,Tue Jun 13 2023 01:37:11,162.2892,16398.0,string,16384
155,Tue Jun 13 2023 01:45:52,169.0737,16398.0,string,16384
162,Tue Jun 13 2023 01:56:18,183.6799,16398.0,string,16384
169,Tue Jun 13 2023 02:05:45,154.2458,16398.0,string,16384
176,Sun Jun 18 2023 22:27:22,154.6203,16398.0,string,16384
183,Sun Jun 18 2023 22:35:37,139.4581,16398.0,string,16384
190,Sun Jun 18 2023 22:46:21,173.9726,16398.0,string,16384
204,Sun Jun 18 2023 23:04:38,179.9467,16398.0,string,16384
211,Mon Jun 12 2023 22:43:57,35.1869,16398.0,string,16384
218,Mon Jun 12 2023 22:46:27,51.9616,16398.0,string,16384
225,Mon Jun 12 2023 22:51:46,34.0982,16398.0,string,16384
232,Mon Jun 12 2023 22:54:22,44.1871,16398.0,string,16384
239,Mon Jun 12 2023 22:55:42,150.5888,16398.0,string,16384
246,Tue Jun 13 2023 00:26:34,151.4868,16398.0,string,16384
253,Tue Jun 13 2023 00:36:31,34.5404,16398.0,string,16384
260,Tue Jun 13 2023 00:45:57,31.723,16398.0,string,16384
267,Tue Jun 13 2023 00:55:52,48.7292,16398.0,string,16384
274,Tue Jun 13 2023 01:05:45,37.8718,16398.0,string,16384
281,Sun Jun 18 2023 21:27:08,139.2651,16398.0,string,16384
316,Mon Jun 12 2023 22:43:58,28.482,16398.0,string,16384
323,Mon Jun 12 2023 22:44:56,129.3447,16398.0,string,16384
337,Mon Jun 12 2023 22:53:02,33.5313,16398.0,string,16384
344,Mon Jun 12 2023 22:55:41,130.9426,16398.0,string,16384
358,Tue Jun 13 2023 00:36:32,30.7127,16398.0,string,16384
365,Tue Jun 13 2023 00:37:11,35.5995,16398.0,string,16384
386,Sun Jun 18 2023 21:27:08,122.109,16398.0,string,16384
400,Sun Jun 18 2023 21:46:21,125.3334,16398.0,string,16384
414,Sun Jun 18 2023 22:03:54,41.8396,16398.0,string,16384
421,Mon Jun 12 2023 22:44:56,41.8546,16398.0,string,16384
428,Mon Jun 12 2023 22:48:27,50.9764,16398.0,string,16384
435,Mon Jun 12 2023 22:51:46,33.0075,16398.0,string,16384
442,Mon Jun 12 2023 22:53:02,40.2734,16398.0,string,16384
449,Mon Jun 12 2023 22:55:41,146.6606,16398.0,string,16384
456,Tue Jun 13 2023 00:26:32,147.4959,16398.0,string,16384
463,Tue Jun 13 2023 00:37:11,45.3284,16398.0,string,16384
470,Tue Jun 13 2023 00:45:52,31.4884,16398.0,string,16384
477,Tue Jun 13 2023 00:55:48,48.3432,16398.0,string,16384
484,Tue Jun 13 2023 01:05:45,38.2041,16398.0,string,16384
491,Sun Jun 18 2023 21:27:08,141.8775,16398.0,string,16384
498,Sun Jun 18 2023 21:36:18,31.294,16398.0,string,16384
505,Sun Jun 18 2023 21:46:21,37.0916,16398.0,string,16384
519,Sun Jun 18 2023 22:05:14,47.3524,16398.0,string,16384
