index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 22:05:37,3078.7536,4107.0,string,4096
14,Sun Jun 11 2023 22:25:31,3732.2852,4107.0,string,4096
28,Sun Jun 11 2023 22:45:25,3629.593,4107.0,string,4096
42,Sun Jun 11 2023 23:14:05,5819.6734,4107.0,string,4096
56,Sun Jun 11 2023 23:34:37,4234.7598,4107.0,string,4096
77,Fri Jun 16 2023 01:11:47,3597.6981,4107.0,string,4096
98,Fri Jun 16 2023 01:17:50,4021.6706,4107.0,string,4096
119,Fri Jun 16 2023 01:30:41,4167.0482,4107.0,string,4096
133,Fri Jun 16 2023 01:34:30,5172.6132,4107.0,string,4096
154,Fri Jun 16 2023 01:55:39,4809.2736,4107.0,string,4096
217,Sun Jun 18 2023 20:54:54,5118.853,4107.0,string,4096
273,Sun Jun 11 2023 21:45:25,3663.5286,4107.0,string,4096
329,Fri Jun 16 2023 00:11:47,3497.3674,4107.0,string,4096
511,Sun Jun 11 2023 21:25:31,3789.7789,4107.0,string,4096
574,Fri Jun 16 2023 00:12:41,8551.516,4107.0,string,4096
623,Fri Jun 16 2023 00:34:29,4414.9603,4107.0,string,4096
749,Sun Jun 11 2023 21:25:31,3777.9701,4107.0,string,4096
763,Sun Jun 11 2023 21:45:25,3676.7609,4107.0,string,4096
868,Fri Jun 16 2023 00:34:30,5235.8234,4107.0,string,4096
889,Fri Jun 16 2023 00:55:38,4140.5326,4107.0,string,4096
1001,Sun Jun 11 2023 21:25:31,3780.205,4107.0,string,4096
1456,Sun Jun 18 2023 20:04:18,2898.114,4107.0,string,4096
8,Sun Jun 11 2023 22:15:38,5038.2589,16398.0,string,16384
22,Sun Jun 11 2023 22:35:32,6866.9728,16398.0,string,16384
85,Fri Jun 16 2023 01:12:43,10072.6853,16398.0,string,16384
92,Fri Jun 16 2023 01:14:58,4226.3028,16398.0,string,16384
106,Fri Jun 16 2023 01:23:43,3075.8147,16398.0,string,16384
113,Fri Jun 16 2023 01:27:17,6221.5228,16398.0,string,16384
141,Fri Jun 16 2023 01:42:03,5016.2655,16398.0,string,16384
197,Fri Jun 16 2023 02:14:20,3976.9071,16398.0,string,16384
232,Sun Jun 18 2023 21:13:49,7143.9562,16398.0,string,16384
505,Sun Jun 11 2023 21:15:38,5047.8817,16398.0,string,16384
533,Sun Jun 11 2023 22:06:32,29803.3748,16398.0,string,16384
547,Sun Jun 11 2023 22:23:58,3056.885,16398.0,string,16384
603,Fri Jun 16 2023 00:23:44,3357.2204,16398.0,string,16384
757,Sun Jun 11 2023 21:35:32,6877.4112,16398.0,string,16384
848,Fri Jun 16 2023 00:23:44,3339.937,16398.0,string,16384
876,Fri Jun 16 2023 00:41:01,2747.897,16398.0,string,16384
883,Fri Jun 16 2023 00:47:40,13014.8094,16398.0,string,16384
995,Sun Jun 11 2023 21:15:38,5034.5215,16398.0,string,16384
492,Sun Jun 11 2023 20:58:00,19092.0308,65550.0,string,65536
548,Sun Jun 11 2023 22:24:10,11183.7023,65550.0,string,65536
688,Fri Jun 16 2023 01:10:49,29316.6867,65550.0,string,65536
737,Sun Jun 11 2023 20:58:00,19047.5651,65550.0,string,65536
982,Sun Jun 11 2023 20:58:00,19055.3034,65550.0,string,65536
1178,Fri Jun 16 2023 01:10:49,29352.3083,65550.0,string,65536
1227,Sun Jun 11 2023 20:58:00,19014.5921,65550.0,string,65536
10,Sun Jun 11 2023 22:17:03,5293.0916,262158.0,string,262144
24,Sun Jun 11 2023 22:35:37,4627.3122,262158.0,string,262144
45,Sun Jun 11 2023 23:16:16,5255.4122,262158.0,string,262144
199,Fri Jun 16 2023 02:14:24,3621.8235,262158.0,string,262144
234,Sun Jun 18 2023 21:13:53,3624.2617,262158.0,string,262144
507,Sun Jun 11 2023 21:17:04,5306.7518,262158.0,string,262144
549,Sun Jun 11 2023 22:25:18,28141.0332,262158.0,string,262144
626,Fri Jun 16 2023 00:35:14,4018.4187,262158.0,string,262144
759,Sun Jun 11 2023 21:35:37,4617.7677,262158.0,string,262144
997,Sun Jun 11 2023 21:17:03,5284.9992,262158.0,string,262144
1153,Fri Jun 16 2023 00:57:00,30001.9614,4195305.0,string,262144
26,Sun Jun 11 2023 22:35:42,4810.4542,4195305.0,string,4194304
47,Sun Jun 11 2023 23:17:41,5560.7014,4195305.0,string,4194304
54,Sun Jun 11 2023 23:25:25,7517.5448,4195305.0,string,4194304
75,Fri Jun 16 2023 01:03:55,21345.4043,4195305.0,string,4194304
89,Fri Jun 16 2023 01:12:52,4790.0634,4195305.0,string,4194304
327,Fri Jun 16 2023 00:03:55,22407.7071,4195305.0,string,4194304
551,Sun Jun 11 2023 22:25:26,7318.6267,4195305.0,string,4194304
572,Fri Jun 16 2023 00:03:58,27082.2974,4195305.0,string,4194304
579,Fri Jun 16 2023 00:14:06,4663.0515,4195305.0,string,4194304
761,Sun Jun 11 2023 21:35:42,4824.3743,4195305.0,string,4194304
971,Sun Jun 18 2023 20:14:28,6049.6679,4195305.0,string,4194304
20,Sun Jun 11 2023 22:25:46,7446.7617,16781194.0,string,16777216
34,Sun Jun 11 2023 22:45:39,6350.8308,16781194.0,string,16777216
181,Fri Jun 16 2023 02:02:51,6439.2105,16781194.0,string,16777216
272,Sun Jun 11 2023 21:43:35,9793.0357,16781194.0,string,16777216
279,Sun Jun 11 2023 21:45:39,6358.7673,16781194.0,string,16777216
517,Sun Jun 11 2023 21:25:46,7408.6756,16781194.0,string,16777216
755,Sun Jun 11 2023 21:25:46,7338.965,16781194.0,string,16777216
769,Sun Jun 11 2023 21:45:39,6348.3799,16781194.0,string,16777216
1007,Sun Jun 11 2023 21:25:46,7686.3299,16781194.0,string,16777216
1420,Fri Jun 16 2023 01:14:09,26714.3331,16781194.0,string,16777216
