index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
7,Mon Jun 12 2023 00:12:35,5303.7438,4107.0,string,4096
21,Mon Jun 12 2023 00:32:34,5407.6436,4107.0,string,4096
112,Sun Jun 18 2023 21:49:50,5108.5128,4107.0,string,4096
462,Mon Jun 12 2023 23:22:00,4060.7747,4107.0,string,4096
749,Mon Jun 12 2023 23:22:01,4380.8899,4107.0,string,4096
826,Sun Jun 18 2023 20:58:38,4623.3163,4107.0,string,4096
71,Fri Jun 16 2023 02:31:10,4955.4295,16398.0,string,16384
78,Fri Jun 16 2023 02:35:24,4808.2155,16398.0,string,16384
358,Fri Jun 16 2023 01:31:10,4925.3961,16398.0,string,16384
470,Mon Jun 12 2023 23:32:00,3599.0831,16398.0,string,16384
505,Fri Jun 16 2023 01:39:42,11126.3103,16398.0,string,16384
778,Fri Jun 16 2023 01:31:10,4965.9438,16398.0,string,16384
827,Sun Jun 18 2023 20:58:48,9503.5186,16398.0,string,16384
23,Mon Jun 12 2023 00:32:39,4266.7602,65550.0,string,65536
86,Fri Jun 16 2023 02:39:35,4034.5836,65550.0,string,65536
639,Fri Jun 16 2023 01:33:10,3933.9688,65550.0,string,65536
73,Fri Jun 16 2023 02:31:15,4414.4665,262158.0,string,262144
80,Fri Jun 16 2023 02:35:29,4535.8408,262158.0,string,262144
360,Fri Jun 16 2023 01:31:15,4277.6047,262158.0,string,262144
780,Fri Jun 16 2023 01:31:15,4324.3032,262158.0,string,262144
54,Tue Jun 13 2023 00:32:09,4901.5706,4195305.0,string,4194304
68,Tue Jun 13 2023 00:51:20,7154.5204,4195305.0,string,4194304
75,Fri Jun 16 2023 02:31:21,5015.0618,4195305.0,string,4194304
96,Fri Jun 16 2023 02:43:35,14949.5801,4195305.0,string,4194304
222,Fri Jun 16 2023 01:34:31,4888.3348,4195305.0,string,4194304
27,Mon Jun 12 2023 00:32:50,5696.6691,16781194.0,string,16777216
