index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Mon Jun 12 2023 22:43:54,7483.9935,4107.0,string,4096
119,Mon Jun 12 2023 23:47:10,3475.845,4107.0,string,4096
182,Sun Jun 18 2023 22:35:37,5784.9753,4107.0,string,4096
203,Sun Jun 18 2023 23:04:38,3598.1859,4107.0,string,4096
210,Mon Jun 12 2023 22:43:57,10633.8145,4107.0,string,4096
259,Tue Jun 13 2023 00:45:57,7938.4657,4107.0,string,4096
266,Tue Jun 13 2023 00:55:52,4546.5112,4107.0,string,4096
315,Mon Jun 12 2023 22:43:57,10806.752,4107.0,string,4096
497,Sun Jun 18 2023 21:35:37,5838.5916,4107.0,string,4096
525,Mon Jun 12 2023 22:44:16,29391.1934,4107.0,string,4096
29,Mon Jun 12 2023 22:55:42,1470.1347,16398.0,string,16384
197,Sun Jun 18 2023 22:55:45,1806.6717,16398.0,string,16384
512,Sun Jun 18 2023 21:55:45,1540.1361,16398.0,string,16384
533,Mon Jun 12 2023 22:45:46,9765.1145,16398.0,string,16384
554,Mon Jun 12 2023 22:55:42,1258.9809,16398.0,string,16384
149,Tue Jun 13 2023 01:37:26,14766.2521,65550.0,string,65536
334,Mon Jun 12 2023 22:49:09,1957.7492,4195305.0,string,4194304
