index,Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
0,Sun Jun 11 2023 19:52:10,4725.0363,4107.0,string,4096
14,Sun Jun 11 2023 19:57:29,3703.2178,4107.0,string,4096
35,Sun Jun 11 2023 20:14:57,4899.9938,4107.0,string,4096
42,Sun Jun 11 2023 20:24:51,3573.9638,4107.0,string,4096
189,Sun Jun 11 2023 18:57:26,1232.2942,4107.0,string,4096
238,Sun Jun 11 2023 19:51:50,1372.3607,4107.0,string,4096
357,Sun Jun 11 2023 18:52:10,5408.4445,4107.0,string,4096
532,Sun Jun 11 2023 18:52:10,4762.4791,4107.0,string,4096
707,Sun Jun 11 2023 18:52:10,4773.9155,4107.0,string,4096
763,Sun Jun 11 2023 19:51:50,1308.2954,4107.0,string,4096
875,Sun Jun 11 2023 18:51:26,1954.8865,4107.0,string,4096
882,Sun Jun 11 2023 18:52:10,4784.0274,4107.0,string,4096
190,Sun Jun 11 2023 18:57:26,37.2397,16398.0,string,16384
267,Sun Jun 11 2023 19:55:16,42.9771,16398.0,string,16384
302,Sun Jun 11 2023 19:59:22,42.9533,16398.0,string,16384
330,Sun Jun 18 2023 19:36:24,35.0357,16398.0,string,16384
358,Sun Jun 11 2023 18:52:10,46.7767,16398.0,string,16384
393,Sun Jun 11 2023 19:15:33,32.5767,16398.0,string,16384
400,Sun Jun 11 2023 19:25:28,37.02,16398.0,string,16384
414,Sun Jun 11 2023 19:51:09,36.5788,16398.0,string,16384
435,Sun Jun 11 2023 19:53:55,39.4372,16398.0,string,16384
449,Sun Jun 11 2023 19:55:57,37.332,16398.0,string,16384
470,Sun Jun 11 2023 19:58:01,41.8308,16398.0,string,16384
484,Sun Jun 11 2023 20:00:04,38.5289,16398.0,string,16384
568,Sun Jun 11 2023 19:15:33,30.9062,16398.0,string,16384
575,Sun Jun 11 2023 19:25:28,38.5347,16398.0,string,16384
582,Sun Jun 11 2023 19:34:45,35.6539,16398.0,string,16384
610,Sun Jun 11 2023 19:53:55,40.5796,16398.0,string,16384
617,Sun Jun 11 2023 19:54:35,37.693,16398.0,string,16384
645,Sun Jun 11 2023 19:58:01,67.0787,16398.0,string,16384
652,Sun Jun 11 2023 19:58:42,39.0168,16398.0,string,16384
743,Sun Jun 11 2023 19:15:33,44.6291,16398.0,string,16384
750,Sun Jun 11 2023 19:25:28,31.4647,16398.0,string,16384
778,Sun Jun 11 2023 19:53:16,48.0502,16398.0,string,16384
813,Sun Jun 11 2023 19:57:23,52.6582,16398.0,string,16384
925,Sun Jun 11 2023 19:34:45,36.7411,16398.0,string,16384
939,Sun Jun 11 2023 19:51:08,33.2063,16398.0,string,16384
960,Sun Jun 11 2023 19:54:35,36.7611,16398.0,string,16384
974,Sun Jun 11 2023 19:55:56,35.0035,16398.0,string,16384
995,Sun Jun 11 2023 19:58:41,39.4016,16398.0,string,16384
1009,Sun Jun 11 2023 20:00:03,35.9067,16398.0,string,16384
184,Sun Jun 11 2023 18:52:48,380.3094,65550.0,string,65536
366,Sun Jun 11 2023 18:52:48,382.4618,65550.0,string,65536
10,Sun Jun 11 2023 19:52:49,647.5315,262158.0,string,262144
171,Sun Jun 18 2023 20:36:49,689.7683,262158.0,string,262144
185,Sun Jun 11 2023 18:52:49,703.3721,262158.0,string,262144
346,Sun Jun 18 2023 19:36:49,710.0617,262158.0,string,262144
367,Sun Jun 11 2023 18:52:49,706.8433,262158.0,string,262144
507,Sun Jun 18 2023 19:36:07,564.4411,262158.0,string,262144
521,Sun Jun 18 2023 19:36:49,702.1223,262158.0,string,262144
