index,Retrieval Time (ms),Size (Bytes)
0,140.3394,4096
7,34.8323,4096
21,215.7957,4096
35,139.5244,4096
70,144.6623,4096
84,62.2041,4096
91,44.4847,4096
105,135.3584,4096
112,32.6267,4096
126,40.503,4096
140,152.0305,4096
161,37.961,4096
168,51.6284,4096
175,155.3917,4096
189,37.4279,4096
196,47.0357,4096
203,51.101,4096
210,150.7727,4096
217,33.0925,4096
231,40.1949,4096
238,46.0803,4096
15,139.1849,16384
29,195.0056,16384
78,39.6768,16384
85,33.9626,16384
106,98.6836,16384
113,3339.937,16384
120,165.2747,16384
127,38.8185,16384
134,160.2935,16384
141,2747.897,16384
155,31.4873,16384
162,2197.9903,16384
176,1510.0258,16384
183,30.2491,16384
190,41.5886,16384
197,135.7164,16384
204,48.2553,16384
211,1415.5426,16384
218,59.2432,16384
225,37.4867,16384
232,37.6015,16384
239,45.876,16384
16,3030.6891,65536
23,248.0006,65536
30,3282.8311,65536
72,45.4667,65536
79,53.1895,65536
86,1218.1261,65536
93,55.6106,65536
100,67.8178,65536
107,1258.7155,65536
114,266.9957,65536
121,243.5341,65536
128,1193.9975,65536
142,54.3321,65536
163,2591.3856,65536
177,1311.4985,65536
184,43.726,65536
198,141.3681,65536
212,1426.9885,65536
219,215.2204,65536
226,1445.7554,65536
233,51.9576,65536
240,67.9738,65536
17,348.9304,262144
31,310.8188,262144
73,56.084,262144
80,152.4255,262144
87,361.0901,262144
94,83.0489,262144
101,98.3713,262144
108,1470.0324,262144
115,1450.9596,262144
122,306.3285,262144
129,1118.2085,262144
143,522.1818,262144
157,57.0363,262144
164,69.7508,262144
171,1247.0587,262144
178,1930.9104,262144
185,56.2058,262144
192,317.8201,262144
199,143.9316,262144
213,891.326,262144
220,282.9932,262144
227,1314.8502,262144
234,144.5302,262144
241,87.8185,262144
18,3151.0479,1048576
25,351.5647,1048576
32,3451.5896,1048576
74,81.6303,1048576
81,79.5736,1048576
88,317.134,1048576
95,105.265,1048576
102,114.8394,1048576
109,1466.9339,1048576
116,2580.8776,1048576
123,334.1239,1048576
130,1621.1448,1048576
137,144.7631,1048576
144,1616.7718,1048576
165,316.2035,1048576
172,1267.5801,1048576
179,1726.0678,1048576
186,75.7441,1048576
200,159.779,1048576
214,1734.1289,1048576
221,312.5961,1048576
228,1515.4543,1048576
235,159.287,1048576
242,2482.6107,1048576
19,416.4944,4194304
33,470.8884,4194304
75,200.9738,4194304
82,206.5204,4194304
89,350.8768,4194304
96,3549.7488,4194304
110,676.2962,4194304
117,439.9065,4194304
124,453.7576,4194304
131,1385.461,4194304
138,294.0292,4194304
145,1888.3696,4194304
159,138.2229,4194304
166,3754.1637,4194304
173,1429.1987,4194304
180,1826.9848,4194304
187,1927.6431,4194304
194,120.4759,4194304
201,296.3789,4194304
215,1964.2451,4194304
222,410.7489,4194304
229,1478.0458,4194304
243,158.9342,4194304
27,1147.8619,16777216
76,480.1872,16777216
83,438.6857,16777216
90,1235.1853,16777216
97,506.8056,16777216
104,459.3309,16777216
111,2273.4145,16777216
118,3595.0643,16777216
125,1023.367,16777216
132,1565.8556,16777216
139,1012.3151,16777216
146,2356.7949,16777216
160,4065.922,16777216
167,477.0398,16777216
174,1796.2375,16777216
181,2494.6059,16777216
188,664.9567,16777216
195,1296.5402,16777216
202,1155.5059,16777216
216,2928.7259,16777216
223,947.2164,16777216
230,1910.2695,16777216
237,466.3079,16777216
244,2110.9128,16777216
