index,Retrieval Time (ms),Size (Bytes)
0,3078.7536,4096
7,1817.9503,4096
14,3732.2852,4096
21,173.7355,4096
28,3629.593,4096
35,1551.0897,4096
42,5819.6734,4096
49,140.4202,4096
56,4234.7598,4096
63,1588.0865,4096
77,3597.6981,4096
84,196.1349,4096
91,213.4019,4096
98,4021.6706,4096
105,202.9066,4096
112,264.107,4096
119,4167.0482,4096
126,220.3739,4096
133,5172.6132,4096
140,202.2927,4096
154,4809.2736,4096
161,206.7203,4096
168,220.5538,4096
175,247.8514,4096
182,1442.9673,4096
189,228.0239,4096
196,208.9778,4096
203,223.8324,4096
217,5118.853,4096
224,1268.1515,4096
231,195.1584,4096
238,192.8658,4096
1,164.0561,16384
8,5038.2589,16384
15,137.7984,16384
22,6866.9728,16384
29,170.4041,16384
36,1402.5652,16384
50,132.2378,16384
57,179.3476,16384
64,1470.9049,16384
78,167.7284,16384
85,10072.6853,16384
92,4226.3028,16384
106,3075.8147,16384
113,6221.5228,16384
120,175.8538,16384
127,162.5684,16384
134,175.3678,16384
141,5016.2655,16384
155,154.7974,16384
162,1944.9714,16384
176,1213.071,16384
183,190.5509,16384
190,153.542,16384
197,3976.9071,16384
204,159.7967,16384
211,167.7953,16384
218,138.6538,16384
225,159.6141,16384
232,7143.9562,16384
239,153.709,16384
2,3274.2038,65536
16,2965.4071,65536
23,244.1276,65536
30,3264.7562,65536
37,1802.8102,65536
44,5185.5928,65536
51,1560.6431,65536
58,4837.0972,65536
65,1578.3525,65536
72,3317.1435,65536
79,1907.8126,65536
86,200.4568,65536
93,246.1588,65536
100,4155.3388,65536
107,208.6132,65536
114,229.1205,65536
121,3810.1514,65536
128,1143.1546,65536
135,5084.6002,65536
142,247.8769,65536
156,4385.553,65536
163,2883.9185,65536
177,3297.4121,65536
184,232.9486,65536
191,3372.869,65536
198,241.9747,65536
212,255.9887,65536
219,4300.7359,65536
226,1288.7167,65536
233,238.8003,65536
240,182.064,65536
3,313.9558,262144
10,5293.0916,262144
17,261.8682,262144
24,4627.3122,262144
31,305.0549,262144
38,1707.09,262144
45,5255.4122,262144
52,285.8097,262144
59,330.4993,262144
66,1827.5342,262144
73,247.9535,262144
80,1507.7315,262144
87,3242.6266,262144
94,2484.1711,262144
108,1388.3102,262144
115,3290.0292,262144
122,309.0693,262144
129,1216.7881,262144
143,3146.8911,262144
157,253.9468,262144
164,325.7113,262144
171,1241.7927,262144
178,293.6976,262144
185,164.9332,262144
192,248.6738,262144
199,3621.8235,262144
213,303.2919,262144
220,246.8967,262144
227,1304.3483,262144
234,3624.2617,262144
241,160.7176,262144
4,3388.6618,1048576
18,3234.9441,1048576
25,385.4188,1048576
32,3479.1261,1048576
39,1830.7452,1048576
53,310.9151,1048576
60,4693.4036,1048576
67,2042.9196,1048576
74,310.5083,1048576
81,284.5638,1048576
88,298.3899,1048576
95,4362.7332,1048576
102,493.8981,1048576
109,2656.6237,1048576
116,369.5902,1048576
123,4100.5978,1048576
130,1626.6569,1048576
137,601.6709,1048576
144,386.625,1048576
158,3603.8486,1048576
165,239.4206,1048576
172,1496.1067,1048576
179,3144.6971,1048576
186,315.5303,1048576
193,5071.6448,1048576
200,355.7424,1048576
214,2427.8512,1048576
221,3393.1511,1048576
228,1500.36,1048576
235,353.2442,1048576
242,2167.9161,1048576
5,494.2413,4194304
12,2185.6172,4194304
19,412.9475,4194304
26,4810.4542,4194304
33,487.12,4194304
40,2116.3427,4194304
47,5560.7014,4194304
54,7517.5448,4194304
61,533.2193,4194304
68,2171.3286,4194304
75,21345.4043,4194304
82,3110.6698,4194304
89,4790.0634,4194304
96,516.3361,4194304
103,446.3904,4194304
110,424.314,4194304
117,3348.4623,4194304
124,452.7916,4194304
131,1501.8562,4194304
138,476.8598,4194304
145,3203.5729,4194304
159,395.5654,4194304
166,3991.124,4194304
173,1537.9384,4194304
180,474.1958,4194304
187,1665.771,4194304
194,512.9884,4194304
201,3796.6814,4194304
215,465.3243,4194304
222,431.5338,4194304
229,1419.8049,4194304
236,417.9024,4194304
243,392.016,4194304
6,5302.1775,16777216
13,3002.5892,16777216
20,7446.7617,16777216
27,1186.4038,16777216
34,6350.8308,16777216
41,3390.5332,16777216
55,1066.7403,16777216
62,4747.6447,16777216
69,3001.8931,16777216
83,1347.4492,16777216
90,1417.9102,16777216
97,5251.7056,16777216
104,1150.9399,16777216
111,3565.8991,16777216
118,1244.2683,16777216
125,5280.6058,16777216
132,2038.0881,16777216
139,1398.6442,16777216
146,1253.4304,16777216
160,4258.569,16777216
167,1324.2857,16777216
174,2827.3533,16777216
181,6439.2105,16777216
188,1499.1723,16777216
195,3804.7115,16777216
202,1483.1866,16777216
216,1469.1361,16777216
223,4010.6785,16777216
230,2996.1052,16777216
237,1289.8609,16777216
244,1774.8812,16777216
