index,Retrieval Time (ms),Size (Bytes)
0,154.5781,4096
7,31.6776,4096
14,1862.3753,4096
21,3780.205,4096
35,154.9053,4096
70,157.0931,4096
77,6.9934,4096
91,34.2915,4096
98,34.8112,4096
105,160.8016,4096
112,47.7082,4096
119,47.6319,4096
133,49.3081,4096
140,162.3482,4096
154,64.9381,4096
168,56.617,4096
175,153.6398,4096
189,1474.3336,4096
196,44.205,4096
210,151.8264,4096
15,5034.5215,16384
22,150.0426,16384
36,156.6096,16384
71,156.7042,16384
78,3.1327,16384
85,31.9285,16384
92,27.8647,16384
106,58.8486,16384
120,46.8102,16384
127,29.9608,16384
134,77.1437,16384
141,155.9931,16384
148,47.499,16384
162,1573.5146,16384
169,2200.3182,16384
176,114.6742,16384
190,215.0307,16384
197,69.8501,16384
204,47.8826,16384
211,150.6911,16384
2,19055.3034,65536
23,2948.3904,65536
72,241.2239,65536
79,3.3228,65536
86,39.4132,65536
93,1280.9303,65536
107,1264.5014,65536
128,41.8429,65536
135,1272.5273,65536
142,1457.3384,65536
163,67.7218,65536
170,2621.3036,65536
177,2328.7942,65536
191,389.8106,65536
198,29352.3083,65536
205,69.0497,65536
17,5284.9992,262144
24,293.7829,262144
73,1607.3159,262144
80,1567.73,262144
87,125.476,262144
94,317.6969,262144
101,1408.4648,262144
108,1589.8924,262144
115,102.2185,262144
122,102.8054,262144
129,54.3942,262144
136,1203.0073,262144
143,1763.5687,262144
150,1285.67,262144
164,87.5421,262144
171,103.8338,262144
173,30001.9614,262144
178,1771.8745,262144
185,98.0493,262144
199,92.4793,262144
206,89.641,262144
25,3184.5047,1048576
74,2187.2642,1048576
81,9.672,1048576
88,68.0255,1048576
95,293.4313,1048576
102,127.0243,1048576
109,1340.0729,1048576
116,116.6298,1048576
123,2855.784,1048576
130,3600.7626,1048576
137,1533.2301,1048576
144,1897.3991,1048576
151,146.1935,1048576
165,110.405,1048576
172,330.645,1048576
179,1848.0538,1048576
186,147.8198,1048576
193,105.2931,1048576
200,109.0233,1048576
207,122.0339,1048576
12,763.5814,4194304
19,2202.125,4194304
26,449.5959,4194304
75,280.7046,4194304
82,2850.4225,4194304
89,174.3704,4194304
96,383.9265,4194304
103,208.1132,4194304
110,683.4328,4194304
117,178.9369,4194304
124,183.9956,4194304
131,193.047,4194304
138,1241.3335,4194304
145,2253.2777,4194304
152,209.4237,4194304
166,212.4566,4194304
180,3414.295,4194304
187,200.2734,4194304
194,2399.4517,4194304
201,218.7836,4194304
208,173.7766,4194304
13,1363.1421,16777216
20,3125.3521,16777216
27,7686.3299,16777216
76,599.924,16777216
90,601.3966,16777216
97,1241.2041,16777216
104,707.3966,16777216
111,2337.88,16777216
118,692.1535,16777216
139,1721.7326,16777216
146,3253.4898,16777216
153,687.4846,16777216
167,602.6288,16777216
174,717.6162,16777216
181,2652.3051,16777216
188,749.9346,16777216
195,606.1049,16777216
209,613.0842,16777216
