index,Retrieval Time (ms),Size (Bytes)
0,142.7609,4096
35,171.2047,4096
49,4380.8899,4096
56,28.3991,4096
63,32.6516,4096
70,157.8687,4096
77,35.684,4096
84,38.0808,4096
91,294.5903,4096
105,140.2429,4096
126,4623.3163,4096
36,416.9932,16384
50,37.5918,16384
57,27.1339,16384
64,30.2894,16384
71,1316.1861,16384
78,4965.9438,16384
106,151.3699,16384
127,9503.5186,16384
37,1533.5887,65536
51,2035.1993,65536
65,45.881,65536
72,1510.3796,65536
79,49.4955,65536
86,45.861,65536
128,1044.3742,65536
38,1836.7821,262144
45,76.7642,262144
52,72.7451,262144
59,57.5469,262144
66,57.301,262144
73,1579.3324,262144
80,4324.3032,262144
87,66.8976,262144
39,1732.1432,1048576
46,76.7205,1048576
53,1826.8084,1048576
60,3363.8038,1048576
67,2606.8624,1048576
74,1699.6567,1048576
81,83.9206,1048576
88,4591.7691,1048576
102,1325.8528,1048576
40,2126.1225,4194304
47,3126.825,4194304
54,119.2864,4194304
61,109.4835,4194304
68,104.3107,4194304
75,759.6584,4194304
82,538.2525,4194304
89,109.0631,4194304
103,1412.2022,4194304
41,1670.1656,16777216
48,460.6174,16777216
55,2245.5763,16777216
62,456.1764,16777216
69,407.8173,16777216
76,2448.9891,16777216
83,4304.7019,16777216
90,2341.0604,16777216
104,1703.818,16777216
