index,Retrieval Time (ms),Size (Bytes)
0,139.1399,4096
14,1329.3019,4096
35,150.5927,4096
42,4060.7747,4096
49,50.7924,4096
56,30.2417,4096
63,38.8359,4096
70,144.8355,4096
77,78.0184,4096
84,1373.5238,4096
91,309.0366,4096
105,137.3353,4096
36,1447.1099,16384
43,39.6878,16384
50,3599.0831,16384
57,29.1119,16384
64,37.3464,16384
71,1312.475,16384
85,11126.3103,16384
106,1533.6404,16384
113,32.0965,16384
37,231.1995,65536
44,3399.8542,65536
51,70.3011,65536
58,42.7108,65536
65,52.2099,65536
72,1421.2258,65536
86,58.005,65536
107,212.4602,65536
38,1562.3958,262144
45,77.8448,262144
52,89.5244,262144
66,78.2861,262144
73,1553.1409,262144
80,64.9485,262144
87,116.1652,262144
108,2136.6691,262144
115,64.8633,262144
39,1875.1894,1048576
46,4149.5658,1048576
53,2664.9534,1048576
60,3766.1426,1048576
67,85.6927,1048576
74,1617.8841,1048576
81,3831.0544,1048576
88,1335.7015,1048576
102,1327.1445,1048576
109,1685.3373,1048576
116,1978.884,1048576
40,701.2329,4194304
47,134.3676,4194304
54,160.1351,4194304
61,183.249,4194304
68,1767.1295,4194304
75,696.7733,4194304
82,432.6481,4194304
89,1469.1328,4194304
103,816.0564,4194304
110,1943.125,4194304
117,123.2684,4194304
41,2749.4504,16777216
48,2274.4643,16777216
62,452.1997,16777216
69,422.5635,16777216
76,2329.668,16777216
83,4570.922,16777216
90,1733.194,16777216
104,1799.9056,16777216
111,2728.0432,16777216
118,3215.4019,16777216
