index,Retrieval Time (ms),Size (Bytes)
0,144.2412,4096
35,1831.7094,4096
49,48.1513,4096
56,32.3173,4096
63,1285.3419,4096
70,1272.9,4096
77,55.3466,4096
84,33.4843,4096
91,1363.2156,4096
105,137.7787,4096
36,1298.2748,16384
50,47.5577,16384
57,31.2401,16384
64,39.6607,16384
71,180.5306,16384
78,4925.3961,16384
92,42.0397,16384
106,142.9329,16384
37,267.6497,65536
58,46.2309,65536
65,53.9373,65536
72,1506.9537,65536
79,39.2461,65536
86,47.0199,65536
93,52.5676,65536
3,577.1811,262144
38,1703.9623,262144
45,78.0297,262144
52,106.3956,262144
59,57.8925,262144
66,82.3263,262144
73,1539.1262,262144
80,4277.6047,262144
87,68.4702,262144
94,1757.7745,262144
39,1867.7285,1048576
46,72.5072,1048576
53,2953.6131,1048576
60,2812.3994,1048576
67,80.1788,1048576
74,1620.4223,1048576
81,51.5818,1048576
88,2916.4329,1048576
95,1305.2917,1048576
102,1712.7566,1048576
40,724.7786,4194304
47,2981.8732,4194304
54,158.1719,4194304
61,113.9785,4194304
68,1674.1502,4194304
75,783.48,4194304
82,476.585,4194304
89,112.1643,4194304
96,1716.2925,4194304
103,1648.4124,4194304
41,2587.0005,16777216
48,469.1561,16777216
55,604.9397,16777216
62,390.7556,16777216
69,330.6978,16777216
76,2361.1938,16777216
97,1616.0659,16777216
104,1808.2087,16777216
