index,Retrieval Time (ms),Size (Bytes)
0,29391.1934,4096
7,68.1788,4096
14,329.9839,4096
21,90.5747,4096
28,162.5409,4096
35,159.1504,4096
42,47.376,4096
49,51.9436,4096
56,2703.5741,4096
63,1263.5042,4096
70,154.4505,4096
77,279.0643,4096
1,47.8299,16384
8,9765.1145,16384
15,45.5536,16384
29,1258.9809,16384
36,157.809,16384
43,50.4516,16384
64,45.7768,16384
71,154.9642,16384
2,68.9756,65536
9,77.4676,65536
16,64.8709,65536
23,46.6511,65536
30,32.6006,65536
37,240.0637,65536
44,68.8239,65536
72,229.666,65536
3,90.2176,262144
10,101.1379,262144
17,86.5303,262144
24,56.7129,262144
31,138.6984,262144
38,315.9531,262144
45,91.3044,262144
73,302.7512,262144
4,105.4503,1048576
11,114.7193,1048576
18,128.8351,1048576
25,74.2211,1048576
32,78.5949,1048576
39,353.8759,1048576
46,118.7885,1048576
74,338.1243,1048576
5,184.4651,4194304
12,221.0432,4194304
19,170.2,4194304
26,192.7209,4194304
33,227.5402,4194304
40,454.3138,4194304
47,195.5892,4194304
75,449.5957,4194304
6,621.2667,16777216
13,659.4291,16777216
20,638.5435,16777216
27,614.0909,16777216
34,849.74,16777216
41,1197.3668,16777216
48,724.6689,16777216
76,1080.6535,16777216
