index,Retrieval Time (ms),Size (Bytes)
7,184.9845,4096
21,246.1762,4096
28,210.5902,4096
49,246.4952,4096
56,221.0509,4096
63,195.8107,4096
70,197.3476,4096
77,162.7865,4096
84,242.4971,4096
91,201.4495,4096
98,212.7416,4096
105,139.8162,4096
112,176.9988,4096
119,214.661,4096
126,194.353,4096
133,194.0748,4096
147,162.8688,4096
154,189.5372,4096
161,186.4719,4096
168,195.3311,4096
1,155.2943,16384
8,194.9631,16384
15,158.7823,16384
22,178.4796,16384
29,174.7985,16384
36,143.9034,16384
43,158.9053,16384
50,178.6954,16384
57,187.3557,16384
64,154.5133,16384
71,128.8468,16384
78,166.9024,16384
85,191.0058,16384
92,131.1359,16384
99,185.819,16384
106,128.675,16384
113,190.7881,16384
120,165.4461,16384
127,139.8425,16384
134,150.0604,16384
141,156.1234,16384
148,147.4598,16384
155,138.1292,16384
162,153.944,16384
169,169.5053,16384
2,207.4512,65536
9,308.7493,65536
16,241.8318,65536
23,257.4219,65536
30,253.128,65536
37,206.4432,65536
44,234.0738,65536
51,183.451,65536
58,258.5804,65536
65,149.8127,65536
72,200.7542,65536
79,230.7554,65536
86,170.4653,65536
93,140.6861,65536
100,155.8925,65536
107,131.9312,65536
114,162.5897,65536
121,161.6565,65536
128,141.4872,65536
135,156.6297,65536
142,221.0366,65536
149,241.9254,65536
156,146.1679,65536
163,227.4715,65536
170,301.1377,65536
3,258.5096,262144
17,313.3344,262144
24,356.4454,262144
31,319.0387,262144
38,275.5913,262144
45,297.0237,262144
52,193.5856,262144
59,344.7765,262144
66,165.3329,262144
73,247.7811,262144
80,305.6703,262144
87,178.4861,262144
94,143.7475,262144
101,173.0945,262144
108,149.883,262144
115,182.6781,262144
122,173.8063,262144
129,151.3008,262144
136,180.819,262144
143,313.3384,262144
157,246.3518,262144
164,305.0102,262144
4,305.6576,1048576
18,374.819,1048576
25,418.6325,1048576
32,372.9233,1048576
39,331.1805,1048576
46,364.1518,1048576
53,224.4898,1048576
60,425.7672,1048576
67,221.5817,1048576
74,287.03,1048576
81,288.0331,1048576
88,209.515,1048576
95,206.2781,1048576
102,263.968,1048576
109,195.4939,1048576
116,212.0656,1048576
123,226.6724,1048576
130,209.2779,1048576
137,304.7912,1048576
144,350.8793,1048576
158,473.0772,1048576
165,367.5052,1048576
5,384.6763,4194304
19,458.1423,4194304
26,532.9601,4194304
33,467.6986,4194304
40,408.8856,4194304
47,511.8214,4194304
54,337.3279,4194304
61,492.3039,4194304
68,480.5346,4194304
75,549.1469,4194304
82,497.3728,4194304
89,431.2216,4194304
96,394.1852,4194304
103,474.6702,4194304
110,409.3059,4194304
117,489.6214,4194304
124,595.7286,4194304
131,390.4141,4194304
138,557.0009,4194304
145,468.3248,4194304
166,574.5424,4194304
6,1125.1792,16777216
20,1565.3848,16777216
27,2450.2782,16777216
34,1379.8777,16777216
41,995.3356,16777216
48,1315.7722,16777216
55,1305.1431,16777216
62,1239.0408,16777216
69,1748.9404,16777216
76,1230.9157,16777216
83,1393.82,16777216
90,1378.708,16777216
97,1216.7819,16777216
104,1798.3117,16777216
111,1317.6725,16777216
118,2363.3849,16777216
125,1541.3806,16777216
132,1400.7661,16777216
139,1669.5351,16777216
146,1551.9684,16777216
167,1355.2327,16777216
