Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:34:09,32.0394,string,4096
Tue Jun 13 2023 21:34:09,62.4386,string,16384
Tue Jun 13 2023 21:34:09,262.7264,string,65536
Tue Jun 13 2023 21:34:09,238.1192,string,262144
Tue Jun 13 2023 21:34:10,852.5943,string,1048576
Tue Jun 13 2023 21:34:12,2165.5600,string,4194304
Tue Jun 13 2023 21:34:21,8742.0832,string,16777216
Tue Jun 13 2023 21:34:39,31.9314,string,4096
Tue Jun 13 2023 21:34:39,31.1824,string,16384
Tue Jun 13 2023 21:34:40,500.9114,string,65536
Tue Jun 13 2023 21:34:40,361.1422,string,262144
Tue Jun 13 2023 21:34:41,1391.5127,string,1048576
Tue Jun 13 2023 21:34:44,3024.2494,string,4194304
Tue Jun 13 2023 21:35:17,10382.7383,string,16777216
Tue Jun 13 2023 21:35:42,33.2049,string,4096
Tue Jun 13 2023 21:35:42,60.5101,string,16384
Tue Jun 13 2023 21:35:43,274.1844,string,65536
Tue Jun 13 2023 21:35:43,253.4941,string,262144
Tue Jun 13 2023 21:35:44,1095.7093,string,1048576
-,-
Tue Jun 13 2023 21:36:38,9782.8789,string,16777216
Tue Jun 13 2023 21:37:55,34.9231,string,4096
Tue Jun 13 2023 21:37:55,32.8305,string,16384
Tue Jun 13 2023 21:37:56,242.0381,string,65536
Tue Jun 13 2023 21:37:56,281.1678,string,262144
Tue Jun 13 2023 21:37:57,941.8229,string,1048576
Tue Jun 13 2023 21:37:59,2513.7953,string,4194304
Tue Jun 13 2023 21:38:39,8347.5460,string,16777216
Tue Jun 13 2023 21:39:02,33.8824,string,4096
Tue Jun 13 2023 21:39:02,60.3867,string,16384
Tue Jun 13 2023 21:39:03,233.8589,string,65536
Tue Jun 13 2023 21:39:03,235.7674,string,262144
Tue Jun 13 2023 21:39:04,890.7809,string,1048576
Tue Jun 13 2023 21:39:06,2225.8755,string,4194304
Tue Jun 13 2023 21:39:47,7364.8014,string,16777216
Tue Jun 13 2023 21:44:56,2.8673,string,4096
Tue Jun 13 2023 21:44:56,91.6203,string,16384
Tue Jun 13 2023 21:44:56,425.8729,string,65536
Tue Jun 13 2023 21:44:57,387.7618,string,262144
Tue Jun 13 2023 21:44:58,1288.4759,string,1048576
Tue Jun 13 2023 21:45:02,3714.4857,string,4194304
Tue Jun 13 2023 21:45:10,7893.9172,string,16777216
Tue Jun 13 2023 21:45:27,3.3068,string,4096
Tue Jun 13 2023 21:45:27,68.2755,string,16384
Tue Jun 13 2023 21:45:28,370.7853,string,65536
Tue Jun 13 2023 21:45:28,260.8246,string,262144
Tue Jun 13 2023 21:45:29,778.7022,string,1048576
Tue Jun 13 2023 21:45:31,2436.7996,string,4194304
Tue Jun 13 2023 21:45:52,9212.5315,string,16777216
Tue Jun 13 2023 21:46:25,33.0062,string,4096
Tue Jun 13 2023 21:46:26,490.5378,string,16384
Tue Jun 13 2023 21:46:26,90.7492,string,65536
Tue Jun 13 2023 21:46:26,281.8274,string,262144
Tue Jun 13 2023 21:46:27,1000.0290,string,1048576
Tue Jun 13 2023 21:46:30,2219.4412,string,4194304
-,-
Tue Jun 13 2023 21:48:31,5.3009,string,4096
Tue Jun 13 2023 21:48:31,60.3508,string,16384
Tue Jun 13 2023 21:48:32,438.5138,string,65536
Tue Jun 13 2023 21:48:32,345.0686,string,262144
Tue Jun 13 2023 21:48:33,1101.0767,string,1048576
Tue Jun 13 2023 21:48:36,3202.6156,string,4194304
Tue Jun 13 2023 21:49:15,7149.6484,string,16777216
Tue Jun 13 2023 21:49:38,32.0538,string,4096
Tue Jun 13 2023 21:49:38,60.5998,string,16384
Tue Jun 13 2023 21:49:38,377.6102,string,65536
Tue Jun 13 2023 21:49:39,245.1523,string,262144
Tue Jun 13 2023 21:49:40,1232.9253,string,1048576
Tue Jun 13 2023 21:49:43,3022.8968,string,4194304
-,-
Sun Jun 18 2023 22:43:01,3.3264,string,4096
Sun Jun 18 2023 22:43:01,59.7045,string,16384
Sun Jun 18 2023 22:43:02,463.9936,string,65536
