Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:34:09,52.2083,string,4096
Tue Jun 13 2023 21:34:09,319.6969,string,16384
Tue Jun 13 2023 21:34:10,526.2116,string,65536
Tue Jun 13 2023 21:34:10,292.1634,string,262144
Tue Jun 13 2023 21:34:11,963.5200,string,1048576
Tue Jun 13 2023 21:34:14,3213.1085,string,4194304
Tue Jun 13 2023 21:34:24,9545.7740,string,16777216
Tue Jun 13 2023 21:34:39,52.4154,string,4096
Tue Jun 13 2023 21:34:39,52.5510,string,16384
Tue Jun 13 2023 21:34:39,297.6602,string,65536
Tue Jun 13 2023 21:34:40,412.2619,string,262144
Tue Jun 13 2023 21:34:41,917.3386,string,1048576
Tue Jun 13 2023 21:34:44,2853.5681,string,4194304
Tue Jun 13 2023 21:35:14,8605.5759,string,16777216
Tue Jun 13 2023 21:35:42,52.4714,string,4096
Tue Jun 13 2023 21:35:42,103.2403,string,16384
Tue Jun 13 2023 21:35:43,306.3023,string,65536
Tue Jun 13 2023 21:35:43,598.1829,string,262144
Tue Jun 13 2023 21:35:45,1576.5500,string,1048576
Tue Jun 13 2023 21:35:50,5078.6550,string,4194304
Tue Jun 13 2023 21:36:23,9807.3169,string,16777216
Tue Jun 13 2023 21:36:52,256.1526,string,4096
Tue Jun 13 2023 21:36:53,551.2819,string,16384
Tue Jun 13 2023 21:36:53,572.2880,string,65536
Tue Jun 13 2023 21:36:54,570.3220,string,262144
Tue Jun 13 2023 21:36:55,1402.8760,string,1048576
Tue Jun 13 2023 21:36:59,3781.7441,string,4194304
Tue Jun 13 2023 21:37:41,10147.7101,string,16777216
Tue Jun 13 2023 21:39:02,53.3802,string,4096
Tue Jun 13 2023 21:39:03,186.7183,string,16384
Tue Jun 13 2023 21:39:03,530.7355,string,65536
Tue Jun 13 2023 21:39:03,372.1510,string,262144
Tue Jun 13 2023 21:39:05,1124.5250,string,1048576
Tue Jun 13 2023 21:39:07,2741.4323,string,4194304
Tue Jun 13 2023 21:39:49,9405.1807,string,16777216
Tue Jun 13 2023 21:44:56,2.6682,string,4096
Tue Jun 13 2023 21:44:56,151.9909,string,16384
Tue Jun 13 2023 21:44:56,257.2222,string,65536
Tue Jun 13 2023 21:44:57,519.4531,string,262144
Tue Jun 13 2023 21:44:58,1009.9982,string,1048576
Tue Jun 13 2023 21:45:01,2816.3449,string,4194304
Tue Jun 13 2023 21:45:10,9272.8446,string,16777216
Tue Jun 13 2023 21:45:27,3.1722,string,4096
Tue Jun 13 2023 21:45:27,101.3222,string,16384
Tue Jun 13 2023 21:45:28,304.4723,string,65536
Tue Jun 13 2023 21:45:28,304.3750,string,262144
