index,Retrieval Time (ms),Size (Bytes)
0,32.0394,4096
7,31.9314,4096
14,33.2049,4096
21,34.9231,4096
28,33.8824,4096
35,2.8673,4096
42,3.3068,4096
49,33.0062,4096
56,5.3009,4096
63,32.0538,4096
70,3.3264,4096
77,2.7688,4096
84,4.5118,4096
91,2.8968,4096
98,32.1916,4096
1,62.4386,16384
8,31.1824,16384
15,60.5101,16384
22,32.8305,16384
29,60.3867,16384
36,91.6203,16384
43,68.2755,16384
50,490.5378,16384
57,60.3508,16384
64,60.5998,16384
71,59.7045,16384
78,286.1167,16384
85,61.6925,16384
92,31.2794,16384
99,270.586,16384
2,262.7264,65536
9,500.9114,65536
16,274.1844,65536
23,242.0381,65536
30,233.8589,65536
37,425.8729,65536
44,370.7853,65536
51,90.7492,65536
58,438.5138,65536
65,377.6102,65536
72,463.9936,65536
79,258.4167,65536
86,296.8198,65536
93,264.6075,65536
100,538.6893,65536
3,238.1192,262144
10,361.1422,262144
17,253.4941,262144
24,281.1678,262144
31,235.7674,262144
38,387.7618,262144
45,260.8246,262144
52,281.8274,262144
59,345.0686,262144
66,245.1523,262144
73,811.7211,262144
80,714.8014,262144
87,708.2187,262144
94,420.3693,262144
101,269.7863,262144
4,852.5943,1048576
11,1391.5127,1048576
18,1095.7093,1048576
25,941.8229,1048576
32,890.7809,1048576
39,1288.4759,1048576
46,778.7022,1048576
53,1000.029,1048576
60,1101.0767,1048576
67,1232.9253,1048576
74,1423.7908,1048576
81,1082.2182,1048576
88,1050.0511,1048576
95,1679.8354,1048576
102,1251.2034,1048576
5,2165.56,4194304
12,3024.2494,4194304
26,2513.7953,4194304
33,2225.8755,4194304
40,3714.4857,4194304
47,2436.7996,4194304
54,2219.4412,4194304
61,3202.6156,4194304
68,3022.8968,4194304
75,3471.5798,4194304
82,2946.863,4194304
89,3252.1573,4194304
96,3388.0,4194304
103,3205.3874,4194304
6,8742.0832,16777216
13,10382.7383,16777216
20,9782.8789,16777216
27,8347.546,16777216
34,7364.8014,16777216
41,7893.9172,16777216
48,9212.5315,16777216
62,7149.6484,16777216
76,6809.4776,16777216
