index,Retrieval Time (ms),Size (Bytes)
0,2.5173,4096
7,108.696,4096
14,332.3321,4096
21,107.6092,4096
28,117.2924,4096
35,104.1676,4096
42,104.7133,4096
49,3.6647,4096
56,109.3701,4096
63,113.7881,4096
70,101.204,4096
77,190.5876,4096
84,112.0967,4096
91,373.3832,4096
98,102.1804,4096
1,255.0031,16384
8,105.9875,16384
15,678.8415,16384
22,218.9145,16384
29,419.0983,16384
36,265.0409,16384
43,322.2985,16384
50,428.895,16384
57,217.6059,16384
64,202.6486,16384
71,372.7507,16384
78,485.2608,16384
85,215.0868,16384
92,215.8372,16384
99,469.3694,16384
2,326.0221,65536
9,437.6163,65536
16,512.4811,65536
23,422.8333,65536
30,999.7962,65536
37,783.9046,65536
44,153.6493,65536
51,431.99,65536
58,791.4014,65536
65,444.5729,65536
72,530.0165,65536
79,482.8467,65536
86,928.2182,65536
93,475.7676,65536
100,732.5918,65536
3,581.3674,262144
10,826.8752,262144
17,453.1292,262144
24,328.4858,262144
31,501.2274,262144
38,599.4569,262144
45,921.5032,262144
52,834.0009,262144
59,600.3465,262144
66,439.176,262144
73,752.6502,262144
80,572.8401,262144
87,927.7524,262144
94,693.6111,262144
101,545.2022,262144
4,2310.4053,1048576
11,1625.7668,1048576
18,2089.0599,1048576
25,1424.6952,1048576
32,1547.4427,1048576
39,1976.7394,1048576
46,1661.359,1048576
53,1454.3127,1048576
60,1388.4584,1048576
67,1296.2468,1048576
74,2205.3795,1048576
81,1376.2623,1048576
88,2259.574,1048576
95,1616.1244,1048576
102,1461.1937,1048576
5,5889.1454,4194304
12,4716.6426,4194304
19,4467.7204,4194304
26,4992.7449,4194304
33,4174.3232,4194304
40,4863.8534,4194304
47,4452.7671,4194304
54,4581.9829,4194304
61,3705.7179,4194304
68,4020.7619,4194304
75,4711.0123,4194304
82,4230.1251,4194304
89,5134.1522,4194304
96,4595.5602,4194304
103,4381.3346,4194304
6,9405.9248,16777216
41,8623.2759,16777216
76,11623.0415,16777216
