index,Retrieval Time (ms),Size (Bytes)
0,51.4968,4096
7,53.8638,4096
14,246.4115,4096
21,50.7386,4096
28,49.9822,4096
35,2.7001,4096
42,53.9149,4096
49,51.1669,4096
56,2.5693,4096
63,49.3644,4096
70,2.58,4096
77,76.7259,4096
84,50.2664,4096
91,2.9653,4096
98,50.8823,4096
1,98.3646,16384
8,97.6878,16384
15,485.7001,16384
22,250.8103,16384
29,97.4938,16384
36,192.7788,16384
43,304.0293,16384
50,245.5336,16384
57,97.4317,16384
64,97.5204,16384
71,98.7135,16384
78,794.0807,16384
85,97.5376,16384
92,98.619,16384
99,293.1742,16384
2,569.8751,65536
9,579.7247,65536
16,299.5641,65536
23,262.6175,65536
30,258.91,65536
37,264.5868,65536
44,145.6202,65536
51,256.4932,65536
58,306.2925,65536
65,417.3908,65536
72,329.5968,65536
79,279.3355,65536
86,351.8114,65536
93,278.3341,65536
100,587.5642,65536
3,266.178,262144
10,517.0225,262144
17,298.9685,262144
24,417.4025,262144
31,427.7282,262144
38,518.8828,262144
45,540.9777,262144
52,621.9002,262144
59,276.133,262144
66,271.7852,262144
73,469.5125,262144
80,597.098,262144
87,764.6355,262144
94,465.2964,262144
101,342.754,262144
4,1058.6156,1048576
11,1309.91,1048576
18,888.3585,1048576
25,1035.1994,1048576
32,1247.8863,1048576
39,989.4842,1048576
46,1406.7239,1048576
53,1019.9283,1048576
60,961.6802,1048576
67,1076.735,1048576
74,1187.7431,1048576
81,1472.8154,1048576
88,1236.5236,1048576
95,1494.2704,1048576
102,1361.6748,1048576
5,2576.3825,4194304
12,4614.7511,4194304
19,2796.3283,4194304
26,2771.0368,4194304
33,2760.2656,4194304
40,2775.987,4194304
47,3507.5066,4194304
54,3430.889,4194304
61,2930.845,4194304
68,3172.8593,4194304
75,2919.5627,4194304
82,4049.316,4194304
89,3817.1162,4194304
96,4077.8021,4194304
103,3754.8668,4194304
6,7788.5358,16777216
13,7829.8312,16777216
20,8777.2393,16777216
27,6824.0413,16777216
34,6864.3522,16777216
41,7056.9269,16777216
55,8685.6836,16777216
62,6698.0226,16777216
76,6698.3783,16777216
