Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 22:34:39,2.5173,string,4096
Tue Jun 13 2023 22:34:39,255.0031,string,16384
Tue Jun 13 2023 22:34:40,326.0221,string,65536
Tue Jun 13 2023 22:34:40,581.3674,string,262144
Tue Jun 13 2023 22:34:42,2310.4053,string,1048576
Tue Jun 13 2023 22:34:48,5889.1454,string,4194304
Tue Jun 13 2023 22:35:20,9405.9248,string,16777216
Tue Jun 13 2023 22:35:42,108.6960,string,4096
Tue Jun 13 2023 22:35:42,105.9875,string,16384
Tue Jun 13 2023 22:35:43,437.6163,string,65536
Tue Jun 13 2023 22:35:44,826.8752,string,262144
Tue Jun 13 2023 22:35:45,1625.7668,string,1048576
Tue Jun 13 2023 22:35:50,4716.6426,string,4194304
-,-
Tue Jun 13 2023 22:36:52,332.3321,string,4096
Tue Jun 13 2023 22:36:53,678.8415,string,16384
Tue Jun 13 2023 22:36:54,512.4811,string,65536
Tue Jun 13 2023 22:36:54,453.1292,string,262144
Tue Jun 13 2023 22:36:56,2089.0599,string,1048576
Tue Jun 13 2023 22:37:01,4467.7204,string,4194304
-,-
Tue Jun 13 2023 22:37:55,107.6092,string,4096
Tue Jun 13 2023 22:37:56,218.9145,string,16384
Tue Jun 13 2023 22:37:56,422.8333,string,65536
Tue Jun 13 2023 22:37:56,328.4858,string,262144
Tue Jun 13 2023 22:37:58,1424.6952,string,1048576
Tue Jun 13 2023 22:38:03,4992.7449,string,4194304
-,-
Tue Jun 13 2023 22:39:02,117.2924,string,4096
Tue Jun 13 2023 22:39:03,419.0983,string,16384
Tue Jun 13 2023 22:39:04,999.7962,string,65536
Tue Jun 13 2023 22:39:04,501.2274,string,262144
Tue Jun 13 2023 22:39:06,1547.4427,string,1048576
Tue Jun 13 2023 22:39:10,4174.3232,string,4194304
-,-
Tue Jun 13 2023 22:45:27,104.1676,string,4096
Tue Jun 13 2023 22:45:28,265.0409,string,16384
Tue Jun 13 2023 22:45:28,783.9046,string,65536
Tue Jun 13 2023 22:45:29,599.4569,string,262144
Tue Jun 13 2023 22:45:31,1976.7394,string,1048576
Tue Jun 13 2023 22:45:36,4863.8534,string,4194304
Tue Jun 13 2023 22:46:07,8623.2759,string,16777216
Tue Jun 13 2023 22:46:26,104.7133,string,4096
Tue Jun 13 2023 22:46:26,322.2985,string,16384
Tue Jun 13 2023 22:46:26,153.6493,string,65536
Tue Jun 13 2023 22:46:27,921.5032,string,262144
Tue Jun 13 2023 22:46:29,1661.3590,string,1048576
Tue Jun 13 2023 22:46:33,4452.7671,string,4194304
-,-
Tue Jun 13 2023 22:47:30,3.6647,string,4096
Tue Jun 13 2023 22:47:30,428.8950,string,16384
Tue Jun 13 2023 22:47:31,431.9900,string,65536
Tue Jun 13 2023 22:47:31,834.0009,string,262144
Tue Jun 13 2023 22:47:33,1454.3127,string,1048576
Tue Jun 13 2023 22:47:38,4581.9829,string,4194304
-,-
Tue Jun 13 2023 22:48:31,109.3701,string,4096
Tue Jun 13 2023 22:48:31,217.6059,string,16384
Tue Jun 13 2023 22:48:32,791.4014,string,65536
Tue Jun 13 2023 22:48:33,600.3465,string,262144
Tue Jun 13 2023 22:48:34,1388.4584,string,1048576
Tue Jun 13 2023 22:48:38,3705.7179,string,4194304
-,-
Tue Jun 13 2023 22:49:38,113.7881,string,4096
Tue Jun 13 2023 22:49:38,202.6486,string,16384
Tue Jun 13 2023 22:49:39,444.5729,string,65536
Tue Jun 13 2023 22:49:39,439.1760,string,262144
Tue Jun 13 2023 22:49:40,1296.2468,string,1048576
Tue Jun 13 2023 22:49:44,4020.7619,string,4194304
-,-
Sun Jun 18 2023 23:43:36,101.2040,string,4096
Sun Jun 18 2023 23:43:37,372.7507,string,16384
Sun Jun 18 2023 23:43:37,530.0165,string,65536
Sun Jun 18 2023 23:43:38,752.6502,string,262144
Sun Jun 18 2023 23:43:40,2205.3795,string,1048576
Sun Jun 18 2023 23:43:45,4711.0123,string,4194304
Sun Jun 18 2023 23:43:57,11623.0415,string,16777216
Sun Jun 18 2023 23:44:21,190.5876,string,4096
Sun Jun 18 2023 23:44:22,485.2608,string,16384
Sun Jun 18 2023 23:44:22,482.8467,string,65536
Sun Jun 18 2023 23:44:23,572.8401,string,262144
Sun Jun 18 2023 23:44:24,1376.2623,string,1048576
Sun Jun 18 2023 23:44:28,4230.1251,string,4194304
-,-
Sun Jun 18 2023 23:45:07,112.0967,string,4096
Sun Jun 18 2023 23:45:08,215.0868,string,16384
Sun Jun 18 2023 23:45:09,928.2182,string,65536
Sun Jun 18 2023 23:45:10,927.7524,string,262144
Sun Jun 18 2023 23:45:12,2259.5740,string,1048576
Sun Jun 18 2023 23:45:17,5134.1522,string,4194304
-,-
Sun Jun 18 2023 23:45:52,373.3832,string,4096
Sun Jun 18 2023 23:45:52,215.8372,string,16384
Sun Jun 18 2023 23:45:53,475.7676,string,65536
Sun Jun 18 2023 23:45:54,693.6111,string,262144
Sun Jun 18 2023 23:45:55,1616.1244,string,1048576
Sun Jun 18 2023 23:46:00,4595.5602,string,4194304
-,-
Sun Jun 18 2023 23:46:40,102.1804,string,4096
Sun Jun 18 2023 23:46:41,469.3694,string,16384
Sun Jun 18 2023 23:46:41,732.5918,string,65536
Sun Jun 18 2023 23:46:42,545.2022,string,262144
Sun Jun 18 2023 23:46:43,1461.1937,string,1048576
Sun Jun 18 2023 23:46:48,4381.3346,string,4194304
-,-
