Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:34:09,51.4968,string,4096
Tue Jun 13 2023 21:34:09,98.3646,string,16384
Tue Jun 13 2023 21:34:09,569.8751,string,65536
Tue Jun 13 2023 21:34:10,266.1780,string,262144
Tue Jun 13 2023 21:34:11,1058.6156,string,1048576
Tue Jun 13 2023 21:34:13,2576.3825,string,4194304
Tue Jun 13 2023 21:34:21,7788.5358,string,16777216
Tue Jun 13 2023 21:35:42,53.8638,string,4096
Tue Jun 13 2023 21:35:42,97.6878,string,16384
Tue Jun 13 2023 21:35:43,579.7247,string,65536
Tue Jun 13 2023 21:35:44,517.0225,string,262144
Tue Jun 13 2023 21:35:45,1309.9100,string,1048576
Tue Jun 13 2023 21:35:49,4614.7511,string,4194304
Tue Jun 13 2023 21:36:21,7829.8312,string,16777216
Tue Jun 13 2023 21:36:52,246.4115,string,4096
Tue Jun 13 2023 21:36:53,485.7001,string,16384
Tue Jun 13 2023 21:36:53,299.5641,string,65536
Tue Jun 13 2023 21:36:53,298.9685,string,262144
Tue Jun 13 2023 21:36:54,888.3585,string,1048576
Tue Jun 13 2023 21:36:57,2796.3283,string,4194304
Tue Jun 13 2023 21:37:39,8777.2393,string,16777216
Tue Jun 13 2023 21:37:55,50.7386,string,4096
Tue Jun 13 2023 21:37:56,250.8103,string,16384
Tue Jun 13 2023 21:37:56,262.6175,string,65536
Tue Jun 13 2023 21:37:56,417.4025,string,262144
Tue Jun 13 2023 21:37:57,1035.1994,string,1048576
Tue Jun 13 2023 21:38:00,2771.0368,string,4194304
Tue Jun 13 2023 21:38:39,6824.0413,string,16777216
Tue Jun 13 2023 21:39:02,49.9822,string,4096
Tue Jun 13 2023 21:39:02,97.4938,string,16384
Tue Jun 13 2023 21:39:03,258.9100,string,65536
Tue Jun 13 2023 21:39:03,427.7282,string,262144
Tue Jun 13 2023 21:39:04,1247.8863,string,1048576
Tue Jun 13 2023 21:39:07,2760.2656,string,4194304
Tue Jun 13 2023 21:39:47,6864.3522,string,16777216
Tue Jun 13 2023 21:44:56,2.7001,string,4096
Tue Jun 13 2023 21:44:56,192.7788,string,16384
Tue Jun 13 2023 21:44:56,264.5868,string,65536
Tue Jun 13 2023 21:44:57,518.8828,string,262144
Tue Jun 13 2023 21:44:58,989.4842,string,1048576
Tue Jun 13 2023 21:45:01,2775.9870,string,4194304
Tue Jun 13 2023 21:45:08,7056.9269,string,16777216
Tue Jun 13 2023 21:46:26,53.9149,string,4096
Tue Jun 13 2023 21:46:26,304.0293,string,16384
Tue Jun 13 2023 21:46:26,145.6202,string,65536
Tue Jun 13 2023 21:46:27,540.9777,string,262144
Tue Jun 13 2023 21:46:28,1406.7239,string,1048576
Tue Jun 13 2023 21:46:31,3507.5066,string,4194304
-,-
Tue Jun 13 2023 21:47:30,51.1669,string,4096
Tue Jun 13 2023 21:47:30,245.5336,string,16384
Tue Jun 13 2023 21:47:30,256.4932,string,65536
Tue Jun 13 2023 21:47:31,621.9002,string,262144
Tue Jun 13 2023 21:47:32,1019.9283,string,1048576
Tue Jun 13 2023 21:47:35,3430.8890,string,4194304
Tue Jun 13 2023 21:48:18,8685.6836,string,16777216
Tue Jun 13 2023 21:48:31,2.5693,string,4096
Tue Jun 13 2023 21:48:31,97.4317,string,16384
Tue Jun 13 2023 21:48:32,306.2925,string,65536
Tue Jun 13 2023 21:48:32,276.1330,string,262144
Tue Jun 13 2023 21:48:33,961.6802,string,1048576
Tue Jun 13 2023 21:48:36,2930.8450,string,4194304
Tue Jun 13 2023 21:49:15,6698.0226,string,16777216
Tue Jun 13 2023 21:49:38,49.3644,string,4096
Tue Jun 13 2023 21:49:38,97.5204,string,16384
Tue Jun 13 2023 21:49:38,417.3908,string,65536
Tue Jun 13 2023 21:49:39,271.7852,string,262144
Tue Jun 13 2023 21:49:40,1076.7350,string,1048576
Tue Jun 13 2023 21:49:43,3172.8593,string,4194304
-,-
Sun Jun 18 2023 22:43:01,2.5800,string,4096
Sun Jun 18 2023 22:43:01,98.7135,string,16384
Sun Jun 18 2023 22:43:02,329.5968,string,65536
Sun Jun 18 2023 22:43:02,469.5125,string,262144
Sun Jun 18 2023 22:43:03,1187.7431,string,1048576
Sun Jun 18 2023 22:43:06,2919.5627,string,4194304
Sun Jun 18 2023 22:43:13,6698.3783,string,16777216
Sun Jun 18 2023 22:44:21,76.7259,string,4096
Sun Jun 18 2023 22:44:22,794.0807,string,16384
Sun Jun 18 2023 22:44:22,279.3355,string,65536
Sun Jun 18 2023 22:44:23,597.0980,string,262144
Sun Jun 18 2023 22:44:24,1472.8154,string,1048576
Sun Jun 18 2023 22:44:28,4049.3160,string,4194304
-,-
Sun Jun 18 2023 22:45:07,50.2664,string,4096
Sun Jun 18 2023 22:45:08,97.5376,string,16384
Sun Jun 18 2023 22:45:08,351.8114,string,65536
Sun Jun 18 2023 22:45:09,764.6355,string,262144
Sun Jun 18 2023 22:45:10,1236.5236,string,1048576
Sun Jun 18 2023 22:45:14,3817.1162,string,4194304
-,-
Sun Jun 18 2023 22:45:52,2.9653,string,4096
Sun Jun 18 2023 22:45:52,98.6190,string,16384
Sun Jun 18 2023 22:45:52,278.3341,string,65536
Sun Jun 18 2023 22:45:53,465.2964,string,262144
Sun Jun 18 2023 22:45:54,1494.2704,string,1048576
Sun Jun 18 2023 22:45:58,4077.8021,string,4194304
-,-
Sun Jun 18 2023 22:46:40,50.8823,string,4096
Sun Jun 18 2023 22:46:40,293.1742,string,16384
Sun Jun 18 2023 22:46:41,587.5642,string,65536
Sun Jun 18 2023 22:46:41,342.7540,string,262144
Sun Jun 18 2023 22:46:43,1361.6748,string,1048576
Sun Jun 18 2023 22:46:46,3754.8668,string,4194304
-,-
