Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:34:09,53.2328,string,4096
Tue Jun 13 2023 21:34:09,104.1397,string,16384
Tue Jun 13 2023 21:34:09,507.3697,string,65536
Tue Jun 13 2023 21:34:10,264.3310,string,262144
Tue Jun 13 2023 21:34:11,962.4686,string,1048576
Tue Jun 13 2023 21:34:14,3580.4049,string,4194304
Tue Jun 13 2023 21:34:22,8017.7847,string,16777216
Tue Jun 13 2023 21:34:39,52.4540,string,4096
Tue Jun 13 2023 21:34:39,52.7246,string,16384
Tue Jun 13 2023 21:34:39,337.3290,string,65536
Tue Jun 13 2023 21:34:40,277.7846,string,262144
Tue Jun 13 2023 21:34:41,910.6954,string,1048576
Tue Jun 13 2023 21:34:43,2688.1607,string,4194304
Tue Jun 13 2023 21:35:14,8174.5094,string,16777216
Tue Jun 13 2023 21:36:52,249.9166,string,4096
Tue Jun 13 2023 21:36:53,492.0456,string,16384
Tue Jun 13 2023 21:36:53,623.7630,string,65536
Tue Jun 13 2023 21:36:54,313.5816,string,262144
Tue Jun 13 2023 21:36:55,944.9698,string,1048576
Tue Jun 13 2023 21:36:59,4160.8157,string,4194304
Tue Jun 13 2023 21:37:42,10857.3012,string,16777216
Tue Jun 13 2023 21:37:55,53.5995,string,4096
Tue Jun 13 2023 21:37:56,258.1626,string,16384
Tue Jun 13 2023 21:37:56,250.6401,string,65536
Tue Jun 13 2023 21:37:56,440.4984,string,262144
Tue Jun 13 2023 21:37:57,1021.3267,string,1048576
Tue Jun 13 2023 21:38:01,3757.8699,string,4194304
Tue Jun 13 2023 21:38:42,7886.3597,string,16777216
Tue Jun 13 2023 21:39:02,53.1370,string,4096
Tue Jun 13 2023 21:39:02,152.1147,string,16384
Tue Jun 13 2023 21:39:03,265.7347,string,65536
Tue Jun 13 2023 21:39:03,266.8456,string,262144
Tue Jun 13 2023 21:39:04,922.1944,string,1048576
Tue Jun 13 2023 21:39:06,2510.0165,string,4194304
Tue Jun 13 2023 21:39:47,7244.5923,string,16777216
Tue Jun 13 2023 21:44:56,3.4927,string,4096
Tue Jun 13 2023 21:44:56,154.1858,string,16384
Tue Jun 13 2023 21:44:56,269.9845,string,65536
Tue Jun 13 2023 21:44:57,542.6248,string,262144
Tue Jun 13 2023 21:44:58,1007.5230,string,1048576
Tue Jun 13 2023 21:45:01,2840.6519,string,4194304
Tue Jun 13 2023 21:45:09,8212.4910,string,16777216
Tue Jun 13 2023 21:45:27,3.0670,string,4096
Tue Jun 13 2023 21:45:27,104.2042,string,16384
Tue Jun 13 2023 21:45:28,309.2738,string,65536
Tue Jun 13 2023 21:45:28,303.1620,string,262144
Tue Jun 13 2023 21:45:29,988.4675,string,1048576
Tue Jun 13 2023 21:45:32,2782.7237,string,4194304
Tue Jun 13 2023 21:45:53,9355.7787,string,16777216
Tue Jun 13 2023 21:47:30,56.4082,string,4096
Tue Jun 13 2023 21:47:30,259.8632,string,16384
Tue Jun 13 2023 21:47:30,267.6970,string,65536
Tue Jun 13 2023 21:47:31,530.6691,string,262144
Tue Jun 13 2023 21:47:32,1025.3889,string,1048576
Tue Jun 13 2023 21:47:36,3615.6251,string,4194304
Tue Jun 13 2023 21:48:19,10139.7425,string,16777216
Tue Jun 13 2023 21:48:31,3.1387,string,4096
Tue Jun 13 2023 21:48:31,103.9620,string,16384
Tue Jun 13 2023 21:48:32,612.7533,string,65536
Tue Jun 13 2023 21:48:32,394.1585,string,262144
Tue Jun 13 2023 21:48:34,1474.3386,string,1048576
Tue Jun 13 2023 21:48:38,4229.9030,string,4194304
Tue Jun 13 2023 21:49:20,9777.1674,string,16777216
Tue Jun 13 2023 21:49:38,54.1432,string,4096
Tue Jun 13 2023 21:49:38,104.2254,string,16384
Tue Jun 13 2023 21:49:39,579.1015,string,65536
Tue Jun 13 2023 21:49:39,267.7275,string,262144
Tue Jun 13 2023 21:49:40,922.6628,string,1048576
Tue Jun 13 2023 21:49:43,3243.9852,string,4194304
-,-
Sun Jun 18 2023 22:43:01,3.0463,string,4096
Sun Jun 18 2023 22:43:01,104.4607,string,16384
Sun Jun 18 2023 22:43:02,339.0869,string,65536
Sun Jun 18 2023 22:43:02,824.6234,string,262144
Sun Jun 18 2023 22:43:04,1443.0810,string,1048576
Sun Jun 18 2023 22:43:08,3954.3017,string,4194304
Sun Jun 18 2023 22:43:14,6457.4771,string,16777216
Sun Jun 18 2023 22:43:36,52.5372,string,4096
Sun Jun 18 2023 22:43:37,338.5171,string,16384
Sun Jun 18 2023 22:43:37,357.0928,string,65536
Sun Jun 18 2023 22:43:38,485.0714,string,262144
Sun Jun 18 2023 22:43:38,942.5758,string,1048576
Sun Jun 18 2023 22:43:41,2780.5221,string,4194304
-,-
Sun Jun 18 2023 22:44:21,78.8444,string,4096
Sun Jun 18 2023 22:44:22,581.1955,string,16384
Sun Jun 18 2023 22:44:22,276.4731,string,65536
Sun Jun 18 2023 22:44:23,617.0542,string,262144
Sun Jun 18 2023 22:44:24,1400.3825,string,1048576
Sun Jun 18 2023 22:44:28,3979.7073,string,4194304
-,-
Sun Jun 18 2023 22:45:52,4.3952,string,4096
Sun Jun 18 2023 22:45:52,104.9576,string,16384
Sun Jun 18 2023 22:45:52,287.5864,string,65536
Sun Jun 18 2023 22:45:53,467.4419,string,262144
