Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:34:09,65.6403,string,4096
Tue Jun 13 2023 21:34:09,266.9853,string,16384
Tue Jun 13 2023 21:34:10,529.5313,string,65536
Tue Jun 13 2023 21:34:10,476.8372,string,262144
Tue Jun 13 2023 21:34:11,1244.2572,string,1048576
Tue Jun 13 2023 21:34:15,3408.2885,string,4194304
Tue Jun 13 2023 21:34:25,9939.7893,string,16777216
Tue Jun 13 2023 21:34:39,62.8052,string,4096
Tue Jun 13 2023 21:34:39,180.8455,string,16384
Tue Jun 13 2023 21:34:40,335.0743,string,65536
Tue Jun 13 2023 21:34:40,466.7057,string,262144
Tue Jun 13 2023 21:34:41,1104.3570,string,1048576
Tue Jun 13 2023 21:34:45,3516.1271,string,4194304
Tue Jun 13 2023 21:35:29,11362.4411,string,16777216
Tue Jun 13 2023 21:35:42,2.5142,string,4096
Tue Jun 13 2023 21:35:42,123.5444,string,16384
Tue Jun 13 2023 21:35:43,555.4306,string,65536
Tue Jun 13 2023 21:35:44,621.8109,string,262144
Tue Jun 13 2023 21:35:45,1567.2334,string,1048576
Tue Jun 13 2023 21:35:50,4940.9248,string,4194304
-,-
Tue Jun 13 2023 21:36:52,266.5744,string,4096
Tue Jun 13 2023 21:36:53,575.0580,string,16384
Tue Jun 13 2023 21:36:54,630.5207,string,65536
Tue Jun 13 2023 21:36:54,524.1226,string,262144
Tue Jun 13 2023 21:36:55,1354.7734,string,1048576
Tue Jun 13 2023 21:37:00,4451.6503,string,4194304
-,-
Tue Jun 13 2023 21:37:55,62.2614,string,4096
Tue Jun 13 2023 21:37:56,321.9466,string,16384
Tue Jun 13 2023 21:37:56,327.6374,string,65536
Tue Jun 13 2023 21:37:56,446.2893,string,262144
Tue Jun 13 2023 21:37:58,1352.3554,string,1048576
Tue Jun 13 2023 21:38:01,3016.0366,string,4194304
-,-
Tue Jun 13 2023 21:44:56,64.4690,string,4096
Tue Jun 13 2023 21:44:56,62.0371,string,16384
Tue Jun 13 2023 21:44:56,328.4684,string,65536
Tue Jun 13 2023 21:44:57,668.4140,string,262144
Tue Jun 13 2023 21:44:59,1639.0817,string,1048576
Tue Jun 13 2023 21:45:02,3669.1147,string,4194304
Tue Jun 13 2023 21:45:12,9764.1387,string,16777216
Tue Jun 13 2023 21:45:27,60.8632,string,4096
Tue Jun 13 2023 21:45:27,120.1005,string,16384
Tue Jun 13 2023 21:45:28,320.7160,string,65536
Tue Jun 13 2023 21:45:28,321.2589,string,262144
Tue Jun 13 2023 21:45:29,1006.5495,string,1048576
Tue Jun 13 2023 21:45:32,2939.2939,string,4194304
Tue Jun 13 2023 21:46:13,8911.8602,string,16777216
Tue Jun 13 2023 21:46:26,62.7540,string,4096
Tue Jun 13 2023 21:46:26,326.8404,string,16384
Tue Jun 13 2023 21:46:26,333.5359,string,65536
Tue Jun 13 2023 21:46:27,428.6815,string,262144
Tue Jun 13 2023 21:46:28,1111.4534,string,1048576
Tue Jun 13 2023 21:46:31,3115.0883,string,4194304
Tue Jun 13 2023 21:47:11,7841.3027,string,16777216
Tue Jun 13 2023 21:47:30,266.1210,string,4096
Tue Jun 13 2023 21:47:30,340.3375,string,16384
Tue Jun 13 2023 21:47:31,334.9178,string,65536
Tue Jun 13 2023 21:47:31,665.2829,string,262144
Tue Jun 13 2023 21:47:32,994.0943,string,1048576
Tue Jun 13 2023 21:47:36,3429.6052,string,4194304
-,-
Tue Jun 13 2023 21:48:31,62.9179,string,4096
Tue Jun 13 2023 21:48:31,124.7909,string,16384
Tue Jun 13 2023 21:48:32,637.0667,string,65536
Tue Jun 13 2023 21:48:33,597.7326,string,262144
