Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:55:30,31.6258,string,4096
Tue Jun 13 2023 21:55:30,59.7390,string,16384
Tue Jun 13 2023 21:55:31,257.8711,string,65536
Tue Jun 13 2023 21:55:31,378.8853,string,262144
Tue Jun 13 2023 21:55:32,769.2853,string,1048576
Tue Jun 13 2023 21:55:34,2686.9642,string,4194304
Tue Jun 13 2023 21:55:42,8035.5122,string,16777216
Tue Jun 13 2023 21:56:00,61.3082,string,4096
Tue Jun 13 2023 21:56:00,61.0036,string,16384
Tue Jun 13 2023 21:56:00,47.1220,string,65536
Tue Jun 13 2023 21:56:01,594.6445,string,262144
Tue Jun 13 2023 21:56:02,1033.6908,string,1048576
Tue Jun 13 2023 21:56:05,2655.6803,string,4194304
-,-
Tue Jun 13 2023 21:57:05,8.7491,string,4096
Tue Jun 13 2023 21:57:06,78.0260,string,16384
Tue Jun 13 2023 21:57:06,237.0528,string,65536
Tue Jun 13 2023 21:57:06,391.1742,string,262144
Tue Jun 13 2023 21:57:07,894.9394,string,1048576
Tue Jun 13 2023 21:57:10,2722.2775,string,4194304
-,-
Tue Jun 13 2023 21:59:08,35.9588,string,4096
Tue Jun 13 2023 21:59:09,479.2272,string,16384
Tue Jun 13 2023 21:59:09,76.3757,string,65536
Tue Jun 13 2023 21:59:09,273.9293,string,262144
Tue Jun 13 2023 21:59:10,961.7985,string,1048576
Tue Jun 13 2023 21:59:12,2385.0049,string,4194304
Tue Jun 13 2023 21:59:53,7831.4939,string,16777216
Tue Jun 13 2023 22:00:12,32.0108,string,4096
Tue Jun 13 2023 22:00:13,76.4224,string,16384
Tue Jun 13 2023 22:00:13,266.1458,string,65536
Tue Jun 13 2023 22:00:13,385.7013,string,262144
Tue Jun 13 2023 22:00:14,718.3146,string,1048576
Tue Jun 13 2023 22:00:17,2628.5321,string,4194304
-,-
Tue Jun 13 2023 22:06:05,3.6867,string,4096
Tue Jun 13 2023 22:06:05,61.9301,string,16384
Tue Jun 13 2023 22:06:05,239.5105,string,65536
Tue Jun 13 2023 22:06:05,476.0003,string,262144
Tue Jun 13 2023 22:06:06,918.7518,string,1048576
Tue Jun 13 2023 22:06:09,2935.5304,string,4194304
Tue Jun 13 2023 22:06:17,8063.6517,string,16777216
Tue Jun 13 2023 22:06:35,31.9075,string,4096
Tue Jun 13 2023 22:06:35,119.1597,string,16384
Tue Jun 13 2023 22:06:35,268.9002,string,65536
Tue Jun 13 2023 22:06:36,270.9060,string,262144
Tue Jun 13 2023 22:06:36,785.1006,string,1048576
Tue Jun 13 2023 22:06:39,2464.7412,string,4194304
-,-
Tue Jun 13 2023 22:07:41,3.1770,string,4096
Tue Jun 13 2023 22:07:41,75.7048,string,16384
Tue Jun 13 2023 22:07:41,235.6071,string,65536
Tue Jun 13 2023 22:07:41,364.0082,string,262144
Tue Jun 13 2023 22:07:42,767.4119,string,1048576
Tue Jun 13 2023 22:07:45,2540.2883,string,4194304
-,-
Tue Jun 13 2023 22:09:45,5.7580,string,4096
Tue Jun 13 2023 22:09:46,228.0265,string,16384
Tue Jun 13 2023 22:09:46,226.6926,string,65536
Tue Jun 13 2023 22:09:46,264.2753,string,262144
Tue Jun 13 2023 22:09:47,1077.1276,string,1048576
Tue Jun 13 2023 22:09:50,2462.1835,string,4194304
-,-
Tue Jun 13 2023 22:10:49,247.2343,string,4096
Tue Jun 13 2023 22:10:49,268.4518,string,16384
Tue Jun 13 2023 22:10:49,278.6387,string,65536
Tue Jun 13 2023 22:10:50,365.3093,string,262144
Tue Jun 13 2023 22:10:51,1035.9266,string,1048576
Tue Jun 13 2023 22:10:54,2812.4980,string,4194304
-,-
Sun Jun 18 2023 22:52:14,31.7034,string,4096
Sun Jun 18 2023 22:52:14,32.8718,string,16384
Sun Jun 18 2023 22:52:15,522.1927,string,65536
Sun Jun 18 2023 22:52:15,390.5754,string,262144
Sun Jun 18 2023 22:52:17,1379.6243,string,1048576
Sun Jun 18 2023 22:52:20,3687.2889,string,4194304
Sun Jun 18 2023 22:52:27,6276.0536,string,16777216
Sun Jun 18 2023 22:52:49,2.9004,string,4096
Sun Jun 18 2023 22:52:49,294.0055,string,16384
Sun Jun 18 2023 22:52:50,504.5829,string,65536
Sun Jun 18 2023 22:52:50,552.8650,string,262144
Sun Jun 18 2023 22:52:51,1155.4477,string,1048576
Sun Jun 18 2023 22:52:55,3242.7548,string,4194304
Sun Jun 18 2023 22:53:17,9670.4754,string,16777216
Sun Jun 18 2023 22:54:19,4.5229,string,4096
Sun Jun 18 2023 22:54:19,483.3355,string,16384
Sun Jun 18 2023 22:54:20,270.0646,string,65536
Sun Jun 18 2023 22:54:20,299.7995,string,262144
Sun Jun 18 2023 22:54:21,1428.4946,string,1048576
Sun Jun 18 2023 22:54:25,3857.1365,string,4194304
-,-
Sun Jun 18 2023 22:55:01,2.7404,string,4096
Sun Jun 18 2023 22:55:01,30.2485,string,16384
Sun Jun 18 2023 22:55:01,266.7970,string,65536
Sun Jun 18 2023 22:55:01,581.6683,string,262144
Sun Jun 18 2023 22:55:03,1087.7016,string,1048576
Sun Jun 18 2023 22:55:07,4002.0667,string,4194304
-,-
Sun Jun 18 2023 22:55:49,32.0242,string,4096
Sun Jun 18 2023 22:55:49,59.5733,string,16384
Sun Jun 18 2023 22:55:49,301.5843,string,65536
Sun Jun 18 2023 22:55:49,272.7579,string,262144
Sun Jun 18 2023 22:55:50,863.0227,string,1048576
Sun Jun 18 2023 22:55:53,3374.5349,string,4194304
-,-
