Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:55:30,51.4146,string,4096
Tue Jun 13 2023 21:55:30,124.2638,string,16384
Tue Jun 13 2023 21:55:31,514.9746,string,65536
Tue Jun 13 2023 21:55:32,679.5464,string,262144
Tue Jun 13 2023 21:55:33,1425.5007,string,1048576
Tue Jun 13 2023 21:55:37,4053.7854,string,4194304
Tue Jun 13 2023 21:55:46,8567.0015,string,16777216
Tue Jun 13 2023 21:56:00,52.1287,string,4096
Tue Jun 13 2023 21:56:00,102.7363,string,16384
Tue Jun 13 2023 21:56:00,76.3843,string,65536
Tue Jun 13 2023 21:56:01,397.5627,string,262144
Tue Jun 13 2023 21:56:02,856.0678,string,1048576
Tue Jun 13 2023 21:56:04,2529.7704,string,4194304
-,-
Tue Jun 13 2023 21:57:06,3.1825,string,4096
Tue Jun 13 2023 21:57:06,101.9744,string,16384
Tue Jun 13 2023 21:57:06,261.3161,string,65536
Tue Jun 13 2023 21:57:06,446.5658,string,262144
Tue Jun 13 2023 21:57:07,1038.9983,string,1048576
Tue Jun 13 2023 21:57:10,2573.8020,string,4194304
-,-
Tue Jun 13 2023 21:58:08,1.9316,string,4096
Tue Jun 13 2023 21:58:08,308.9639,string,16384
Tue Jun 13 2023 21:58:08,263.6318,string,65536
Tue Jun 13 2023 21:58:09,321.6394,string,262144
Tue Jun 13 2023 21:58:10,989.2242,string,1048576
Tue Jun 13 2023 21:58:13,3644.0909,string,4194304
Tue Jun 13 2023 21:58:57,10619.0441,string,16777216
Tue Jun 13 2023 22:00:12,54.0065,string,4096
Tue Jun 13 2023 22:00:13,516.8036,string,16384
Tue Jun 13 2023 22:00:13,308.4346,string,65536
Tue Jun 13 2023 22:00:14,389.3949,string,262144
Tue Jun 13 2023 22:00:15,1054.5075,string,1048576
Tue Jun 13 2023 22:00:18,2975.2052,string,4194304
-,-
Tue Jun 13 2023 22:06:05,2.6880,string,4096
Tue Jun 13 2023 22:06:05,101.6975,string,16384
Tue Jun 13 2023 22:06:05,262.1460,string,65536
Tue Jun 13 2023 22:06:05,507.7632,string,262144
Tue Jun 13 2023 22:06:07,1073.5828,string,1048576
Tue Jun 13 2023 22:06:10,3559.1222,string,4194304
Tue Jun 13 2023 22:06:18,7792.6701,string,16777216
Tue Jun 13 2023 22:06:35,52.3920,string,4096
Tue Jun 13 2023 22:06:35,71.0037,string,16384
Tue Jun 13 2023 22:06:36,619.7537,string,65536
Tue Jun 13 2023 22:06:36,558.5491,string,262144
Tue Jun 13 2023 22:06:38,1310.7149,string,1048576
Tue Jun 13 2023 22:06:41,3297.8252,string,4194304
-,-
Tue Jun 13 2023 22:07:41,1.9550,string,4096
Tue Jun 13 2023 22:07:41,100.9149,string,16384
Tue Jun 13 2023 22:07:41,548.2000,string,65536
Tue Jun 13 2023 22:07:42,664.2218,string,262144
Tue Jun 13 2023 22:07:44,1503.2925,string,1048576
Tue Jun 13 2023 22:07:48,4195.8437,string,4194304
-,-
Tue Jun 13 2023 22:08:43,182.7632,string,4096
Tue Jun 13 2023 22:08:43,183.5746,string,16384
Tue Jun 13 2023 22:08:44,303.3255,string,65536
Tue Jun 13 2023 22:08:44,382.8233,string,262144
Tue Jun 13 2023 22:08:45,1489.9771,string,1048576
Tue Jun 13 2023 22:08:48,2918.9357,string,4194304
-,-
Tue Jun 13 2023 22:10:49,253.1162,string,4096
Tue Jun 13 2023 22:10:49,299.0450,string,16384
Tue Jun 13 2023 22:10:49,305.6137,string,65536
Tue Jun 13 2023 22:10:50,432.6356,string,262144
Tue Jun 13 2023 22:10:51,1008.8690,string,1048576
Tue Jun 13 2023 22:10:54,3007.9067,string,4194304
-,-
Sun Jun 18 2023 22:52:14,52.7835,string,4096
Sun Jun 18 2023 22:52:14,54.1203,string,16384
Sun Jun 18 2023 22:52:15,571.5764,string,65536
Sun Jun 18 2023 22:52:15,440.1962,string,262144
Sun Jun 18 2023 22:52:17,1825.3633,string,1048576
Sun Jun 18 2023 22:52:21,4173.9637,string,4194304
Sun Jun 18 2023 22:52:31,9452.0038,string,16777216
Sun Jun 18 2023 22:52:49,53.8431,string,4096
Sun Jun 18 2023 22:52:49,339.6322,string,16384
Sun Jun 18 2023 22:52:50,383.0118,string,65536
Sun Jun 18 2023 22:52:50,592.6399,string,262144
Sun Jun 18 2023 22:52:52,1586.6281,string,1048576
Sun Jun 18 2023 22:52:55,3555.3088,string,4194304
Sun Jun 18 2023 22:53:19,10661.2283,string,16777216
Sun Jun 18 2023 22:53:34,292.2326,string,4096
Sun Jun 18 2023 22:53:35,429.0015,string,16384
Sun Jun 18 2023 22:53:35,593.0075,string,65536
Sun Jun 18 2023 22:53:36,485.8333,string,262144
Sun Jun 18 2023 22:53:37,1379.3579,string,1048576
Sun Jun 18 2023 22:53:41,3500.7210,string,4194304
-,-
Sun Jun 18 2023 22:54:19,52.3593,string,4096
Sun Jun 18 2023 22:54:19,569.0188,string,16384
Sun Jun 18 2023 22:54:20,342.4464,string,65536
Sun Jun 18 2023 22:54:20,569.4956,string,262144
Sun Jun 18 2023 22:54:22,1227.6186,string,1048576
Sun Jun 18 2023 22:54:25,3472.4910,string,4194304
-,-
Sun Jun 18 2023 22:55:49,53.7447,string,4096
Sun Jun 18 2023 22:55:49,100.9628,string,16384
Sun Jun 18 2023 22:55:49,338.6480,string,65536
Sun Jun 18 2023 22:55:49,432.8524,string,262144
Sun Jun 18 2023 22:55:51,1183.7174,string,1048576
Sun Jun 18 2023 22:55:55,4139.2050,string,4194304
-,-
