index,Retrieval Time (ms),Size (Bytes)
0,64.5248,4096
7,62.4558,4096
14,280.0318,4096
21,63.0181,4096
28,62.1503,4096
35,95.8698,4096
42,62.0835,4096
49,280.5853,4096
56,207.1581,4096
63,64.8569,4096
70,65.0299,4096
77,2.7463,4096
91,2.5049,4096
98,62.0382,4096
1,123.3518,16384
8,121.233,16384
15,62.3805,16384
22,282.9353,16384
29,721.1832,16384
36,61.6474,16384
43,62.1463,16384
50,63.759,16384
57,146.4228,16384
64,353.2946,16384
71,152.0952,16384
78,361.1454,16384
85,438.2221,16384
92,585.5571,16384
99,61.6754,16384
2,533.9646,65536
9,181.6861,65536
16,343.5645,65536
23,330.29,65536
30,270.8432,65536
37,362.4006,65536
44,512.0443,65536
51,620.8979,65536
58,646.1651,65536
65,327.2912,65536
72,588.4035,65536
79,660.648,65536
86,594.342,65536
93,300.637,65536
100,360.9559,65536
3,453.4462,262144
10,668.7576,262144
17,282.8593,262144
24,278.8445,262144
31,463.7626,262144
38,547.7371,262144
45,598.9021,262144
52,575.2389,262144
59,472.0139,262144
66,335.173,262144
73,537.5501,262144
80,739.8834,262144
87,458.932,262144
94,580.3099,262144
101,665.4346,262144
4,1166.39,1048576
11,1128.2782,1048576
18,1208.5746,1048576
25,1085.5573,1048576
32,1724.6117,1048576
39,958.3422,1048576
46,1371.9316,1048576
53,1825.3258,1048576
60,1487.5695,1048576
67,1363.7651,1048576
74,1841.2389,1048576
81,1807.8939,1048576
88,1295.9395,1048576
95,1049.819,1048576
102,1651.8369,1048576
5,2946.8601,4194304
12,2912.0868,4194304
19,3168.8297,4194304
26,3389.1462,4194304
33,4507.6433,4194304
40,3134.4946,4194304
47,3984.9113,4194304
54,4108.9707,4194304
61,4021.1693,4194304
68,3757.963,4194304
75,4132.7973,4194304
82,4060.4828,4194304
89,3654.921,4194304
96,3453.3271,4194304
103,4270.118,4194304
6,7988.1235,16777216
13,9591.3155,16777216
20,8572.7313,16777216
41,8412.1599,16777216
55,10440.093,16777216
76,8696.1979,16777216
