index,Retrieval Time (ms),Size (Bytes)
0,51.4146,4096
7,52.1287,4096
14,3.1825,4096
21,1.9316,4096
28,54.0065,4096
35,2.688,4096
42,52.392,4096
49,1.955,4096
56,182.7632,4096
63,253.1162,4096
70,52.7835,4096
77,53.8431,4096
84,292.2326,4096
91,52.3593,4096
98,53.7447,4096
1,124.2638,16384
8,102.7363,16384
15,101.9744,16384
22,308.9639,16384
29,516.8036,16384
36,101.6975,16384
43,71.0037,16384
50,100.9149,16384
57,183.5746,16384
64,299.045,16384
71,54.1203,16384
78,339.6322,16384
85,429.0015,16384
92,569.0188,16384
99,100.9628,16384
2,514.9746,65536
9,76.3843,65536
16,261.3161,65536
23,263.6318,65536
30,308.4346,65536
37,262.146,65536
44,619.7537,65536
51,548.2,65536
58,303.3255,65536
65,305.6137,65536
72,571.5764,65536
79,383.0118,65536
86,593.0075,65536
93,342.4464,65536
100,338.648,65536
3,679.5464,262144
10,397.5627,262144
17,446.5658,262144
24,321.6394,262144
31,389.3949,262144
38,507.7632,262144
45,558.5491,262144
52,664.2218,262144
59,382.8233,262144
66,432.6356,262144
73,440.1962,262144
80,592.6399,262144
87,485.8333,262144
94,569.4956,262144
101,432.8524,262144
4,1425.5007,1048576
11,856.0678,1048576
18,1038.9983,1048576
25,989.2242,1048576
32,1054.5075,1048576
39,1073.5828,1048576
46,1310.7149,1048576
53,1503.2925,1048576
60,1489.9771,1048576
67,1008.869,1048576
74,1825.3633,1048576
81,1586.6281,1048576
88,1379.3579,1048576
95,1227.6186,1048576
102,1183.7174,1048576
5,4053.7854,4194304
12,2529.7704,4194304
19,2573.802,4194304
26,3644.0909,4194304
33,2975.2052,4194304
40,3559.1222,4194304
47,3297.8252,4194304
54,4195.8437,4194304
61,2918.9357,4194304
68,3007.9067,4194304
75,4173.9637,4194304
82,3555.3088,4194304
89,3500.721,4194304
96,3472.491,4194304
103,4139.205,4194304
6,8567.0015,16777216
27,10619.0441,16777216
41,7792.6701,16777216
76,9452.0038,16777216
83,10661.2283,16777216
