index,Retrieval Time (ms),Size (Bytes)
0,117.9759,4096
7,326.1593,4096
14,104.2515,4096
21,119.6773,4096
28,100.8381,4096
35,3.4431,4096
42,351.8945,4096
49,1.2644,4096
56,105.4804,4096
63,364.7306,4096
70,113.376,4096
77,375.9458,4096
84,99.0674,4096
91,101.7022,4096
98,114.0058,4096
1,423.7842,16384
8,292.1671,16384
15,444.9797,16384
22,670.7289,16384
29,154.6411,16384
36,503.794,16384
43,298.669,16384
50,219.3898,16384
57,499.4668,16384
64,459.6963,16384
71,479.633,16384
78,376.7729,16384
85,494.7404,16384
92,240.7179,16384
99,374.0782,16384
2,311.5883,65536
9,431.8486,65536
16,426.0215,65536
23,298.9473,65536
30,429.1513,65536
37,343.0019,65536
44,492.627,65536
51,358.8054,65536
58,456.9297,65536
65,492.4295,65536
72,525.9611,65536
79,376.9746,65536
86,466.6812,65536
93,479.0054,65536
100,379.5215,65536
3,1484.604,262144
10,595.2678,262144
17,448.7251,262144
24,583.9694,262144
31,945.6852,262144
38,649.5085,262144
45,654.2662,262144
52,812.1261,262144
59,471.6855,262144
66,510.6757,262144
73,939.573,262144
80,480.7519,262144
87,379.5118,262144
94,678.0606,262144
101,659.0433,262144
4,2097.4423,1048576
11,1298.7518,1048576
18,1412.4124,1048576
25,1812.2694,1048576
32,1089.9312,1048576
39,2080.8148,1048576
46,1536.6863,1048576
53,1513.8515,1048576
60,2108.7,1048576
67,2595.8845,1048576
74,1841.3454,1048576
81,1660.7881,1048576
88,1558.9179,1048576
95,1367.4783,1048576
102,1668.1872,1048576
5,6226.995,4194304
12,4414.3848,4194304
19,4135.8185,4194304
26,3527.2934,4194304
33,3790.4314,4194304
40,5655.191,4194304
47,4143.2601,4194304
54,5071.0104,4194304
61,4046.2151,4194304
68,5139.1179,4194304
75,5194.6305,4194304
82,3699.6172,4194304
89,3964.3509,4194304
96,4987.6302,4194304
103,6286.3724,4194304
62,11706.0801,16777216
76,11186.995,16777216
