index,Retrieval Time (ms),Size (Bytes)
0,54.1886,4096
7,52.8802,4096
14,5.1227,4096
21,53.6153,4096
28,54.0056,4096
35,2.8391,4096
42,51.6752,4096
49,55.1035,4096
56,2.7114,4096
63,251.9659,4096
70,53.254,4096
77,54.0876,4096
84,287.9827,4096
91,4.3656,4096
98,56.7224,4096
1,101.9799,16384
8,103.2597,16384
15,303.7753,16384
22,496.46,16384
29,178.9749,16384
36,105.0374,16384
43,152.4535,16384
50,103.771,16384
57,248.6109,16384
64,296.7162,16384
71,53.7575,16384
78,662.08,16384
85,102.8659,16384
92,131.6629,16384
99,101.8652,16384
2,511.8117,65536
9,78.9319,65536
16,255.5622,65536
23,313.0952,65536
30,307.1191,65536
37,429.4334,65536
44,319.3399,65536
51,312.4436,65536
58,259.2426,65536
65,305.3052,65536
72,1194.7525,65536
79,374.415,65536
86,598.2087,65536
93,290.0421,65536
100,346.0147,65536
3,441.4666,262144
10,549.9204,262144
17,320.8506,262144
24,317.0528,262144
31,492.4613,262144
38,512.546,262144
45,318.7065,262144
52,523.998,262144
59,315.3571,262144
66,399.811,262144
73,294.2238,262144
80,586.6831,262144
87,348.0125,262144
94,770.2385,262144
101,298.9136,262144
4,931.8514,1048576
11,1028.3387,1048576
18,1025.2483,1048576
25,976.9805,1048576
32,1010.9024,1048576
39,1284.2182,1048576
46,1195.301,1048576
53,1665.5759,1048576
60,1673.3049,1048576
67,981.3044,1048576
74,1292.6723,1048576
81,1334.3661,1048576
88,1373.4731,1048576
95,1849.6986,1048576
102,1173.6179,1048576
5,2956.17,4194304
12,3050.6636,4194304
19,2717.5341,4194304
26,3757.2019,4194304
33,3298.6812,4194304
40,4438.1217,4194304
47,3045.0039,4194304
54,4139.3552,4194304
61,3291.6942,4194304
68,3579.5326,4194304
75,3630.0152,4194304
82,3495.0124,4194304
89,3402.0273,4194304
96,4811.6658,4194304
103,4344.1095,4194304
6,7078.5402,16777216
20,9024.1219,16777216
27,8764.1015,16777216
41,8312.1749,16777216
76,7542.1382,16777216
83,8335.2604,16777216
